feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Schiller,0.10284961865642099,0.01744011410414638,0.10762052877138413,0.5502023989299735,0.8121962586796854
Age,0.016544690510118334,0.003067219630205641,0.03421461897356144,0.12834073316864014,0.7953252097274056
First sexual intercourse,0.014969892812821036,0.00244140625,0.025194401244167962,0.08889573102269283,0.777730811116649
Number of sexual partners,0.01172853946161326,-127796807681.26396,0.01835147744945568,0.05402580975590029,0.6585188514710303
Num of pregnancies,0.010063734239751035,156507954242.03186,0.012130637636080872,0.049742258710282,0.8648957894608017
Hormonal Contraceptives (years),0.007786954028918313,-265345307231.95288,0.008709175738724729,0.031687153931339994,0.12000038561692561
Dx:CIN,0.0065093172681125605,0.0016411261227167063,0.007153965785381027,0.01593961516394127,0.8128679372425519
Citology,0.005213582718150098,325830571244.1186,0.005598755832037325,0.0012557310389697983,0.48856326240250214
STDs:genital herpes,0.0030130326995056207,0.0010859424036894331,0.003110419906687403,0.024458048898415245,0.1810965939161172
IUD,0.002856975266664807,212141605330.59705,0.0037325038880248835,0.015576550387596902,0.08263699056246543
STDs: Time since first diagnosis,0.002143609930835728,-185779598318.1803,0.0018662519440124418,0.01993798449612403,0.9088805233106798
STDs:HIV,0.0021082663304557484,-116460615882.99803,0.0015552099533437014,0.01993798449612403,0.43365647866102564
Hormonal Contraceptives,0.0,-0.0015075271290736936,0.0,0.0,0.3673230559498252
STDs:Hepatitis B,0.0,-212141605330.5958,0.0,0.0,0.5714230993780228
Smokes,0.0,0.0002853480652287431,0.0,0.0,0.6503109364368089
Hinselmann,0.0,-116460615882.99803,0.0,0.0,0.5364167897662114
Dx,0.0,-75441487293.4776,0.0,0.0,0.556060163806847
Dx:HPV,0.0,-198033763562.85315,0.0,0.0,0.019746388448748986
Smokes (years),0.0,0.00013896019738911993,0.0,0.0,0.275216040256124
Dx:Cancer,0.0,0.00048162984144156624,0.0,0.0,0.1848898485700079
STDs: Time since last diagnosis,0.0,6996248.970888932,0.0,0.0,0.795224827062421
STDs: Number of diagnosis,0.0,-0.00034667218391462297,0.0,0.0,0.06349830116158828
STDs:HPV,0.0,-75441245353.96758,0.0,0.0,0.0994412550719751
STDs:AIDS,0.0,30271259951.850986,0.0,0.0,0.6445966489816977
STDs:molluscum contagiosum,0.0,-6996248.97187535,0.0,0.0,0.4841914772983952
STDs:pelvic inflammatory disease,0.0,-28387771680.748165,0.0,0.0,0.7943437143629715
Smokes (packs/year),0.0,265345307231.95456,0.0,0.0,0.6531954738879076
STDs:vulvo-perineal condylomatosis,0.0,0.0009267411304355799,0.0,0.0,0.27372480700705826
STDs:vaginal condylomatosis,0.0,-0.0008371815983963787,0.0,0.0,0.5726305654607591
STDs:cervical condylomatosis,0.0,185779598318.18076,0.0,0.0,0.5729819088231722
STDs:condylomatosis,0.0,150882732647.4454,0.0,0.0,0.02302676131464898
STDs (number),0.0,156507954242.0311,0.0,0.0,0.5097484977911043
STDs,0.0,-58659031632.59781,0.0,0.0,0.668792209837425
IUD (years),0.0,-0.0009063939495032265,0.0,0.0,0.4892184409604171
STDs:syphilis,0.0,-0.00024570690400680745,0.0,0.0,0.7453592948209735
