feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Schiller,0.05630735847884427,-622807174716.7274,0.06438569206842923,0.28575553000893433,0.6573180530054205
Citology,0.017230801165673597,-2891265697.089316,0.00933125972006221,0.06324835725035681,0.8205082082109707
Hinselmann,0.01566286017973284,-0.0017325518492668128,0.004043545878693623,0.09208111324680684,0.3721422595057051
Age,0.007648727279853685,479250734821.368,0.011508553654743391,0.10447301288124354,0.5226662599353726
Hormonal Contraceptives (years),0.007523897387455028,330863276744.40674,0.004043545878693623,0.056237962794274454,0.18807365105798335
Number of sexual partners,0.007186714153259159,-484479027088.3701,0.0068429237947122854,0.05135273774221798,0.9860195219278124
Num of pregnancies,0.006756814823631334,727989067948.621,0.004665629860031104,0.04801942393293843,0.5382094868316527
First sexual intercourse,0.005779076022556217,2891265697.0908623,0.005287713841368585,0.06799552728647887,0.3521171257359693
Dx,0.0050262343911607575,-0.0012571897119451115,0.003110419906687403,0.02016245040021672,0.1926274203840268
Dx:CIN,0.004271899534556796,479250734821.3676,0.003110419906687403,0.0222232358345255,0.995359269031285
STDs: Time since first diagnosis,0.003093753188835389,-0.0010739252974757104,0.0,0.013040678219302548,0.5359043196124054
Hormonal Contraceptives,0.003079431914635812,0.00015985588592198915,0.0006220839813374805,0.018757283068759612,0.23710035560081855
STDs:genital herpes,0.002373911688734494,0.0022610463662752762,0.0015552099533437014,0.01910856751801708,0.38178231306201915
STDs: Time since last diagnosis,0.0022098252352495936,-0.0003694746118631927,0.0,0.010191574933288266,0.07055804602480076
IUD (years),0.0021488487067192795,-330863276744.409,0.0,0.014364614778953405,0.8326278046906957
Smokes (years),0.001894509350546752,0.001874172485253141,0.001244167962674961,0.017725929779817635,0.09900913136167067
Smokes (packs/year),0.0018209251950285336,1978779265337.9412,0.0,0.01619595784414268,0.8197632956857648
IUD,0.0017314231256222966,-1107286201805.1042,0.00031104199066874026,0.014172644076746852,0.29970922958914314
STDs (number),0.0017264891123330251,-0.0025402269796719894,0.0,0.009449631634221755,0.6021443870072858
STDs:HIV,0.0014650886064943409,0.0008987638574686614,0.0,0.006378377299656226,0.08325407612875457
STDs:vulvo-perineal condylomatosis,0.0012704334526601408,-0.0031163745345519946,0.0,0.004276985915887894,0.6223127426357196
Dx:Cancer,0.0012072103556357249,1002672319251.3613,0.0,0.007884360741756306,0.7326748987242555
Smokes,0.0011946052386379513,-1094023400556.1544,0.00031104199066874026,0.007419953431661955,0.2098395056123309
Dx:HPV,0.0010410304794294875,727989067948.6208,0.0,0.005541806545415251,0.6968029338536502
STDs:syphilis,0.001016374057235546,-418029131342.90674,0.0,0.004687284086675884,0.07435965947694034
STDs,0.000849920837587635,959268019342.5514,0.0,0.005378587357256544,0.9574229280219078
STDs:Hepatitis B,0.0007349543172664128,-541238887999.6458,0.0,0.0009715551650878294,0.25417939332519224
STDs:HPV,0.0007251580168814831,-0.0011417506102531412,0.0,0.0027202070815868728,0.4253433640316078
STDs:condylomatosis,0.0006991691534354844,683061793385.7865,0.0,0.0043289387332777355,0.21603996747570586
STDs: Number of diagnosis,0.0006441385707941545,976106946086.583,0.0,0.0038516787379491977,0.6945153708997662
STDs:vaginal condylomatosis,0.0006373080802784513,0.003970310412034091,0.0,0.00014732542811069323,0.12849211490977108
STDs:pelvic inflammatory disease,0.0004863561810703901,-0.0007348495685864744,0.0,0.0005923426181134553,0.25496737108137035
STDs:molluscum contagiosum,0.000398013926815394,0.0003889836831698077,0.0,0.0012643636263208902,0.9036599335321737
STDs:AIDS,0.0,0.007056151507114672,0.0,0.0,0.40005937558463023
STDs:cervical condylomatosis,0.0,-410961607170.3684,0.0,0.0,0.3590651622220554
