feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
STDs: Time since last diagnosis,4.280224242391905e-08,-9424773.71574616,-1,-1,0.8144994163859585
Age,3.851481220681399e-08,-660855445.3665301,-1,-1,0.8446983176429017
Smokes (years),2.7509568600159948e-08,72229588.48898952,-1,-1,0.3153362492357604
Number of sexual partners,1.68184250332267e-08,-18849547.431480248,-1,-1,0.7794632176110412
Num of pregnancies,1.3416475807270999e-08,-72229588.48896152,-1,-1,0.9546605949794268
STDs: Time since first diagnosis,1.2832227190465087e-08,3.352885513075382e-05,-1,-1,0.3805048882232397
Smokes,1.0045651355971738e-08,8.22233725158563e-06,-1,-1,0.3274610479962531
Hormonal Contraceptives (years),9.605735209388452e-09,0.0005104510727666995,-1,-1,0.3029295069224306
STDs,6.352362967376855e-09,-207908344.77232862,-1,-1,0.9363022664180268
First sexual intercourse,5.0669272928931015e-09,-2.8831906669733905e-05,-1,-1,0.5400762509444326
Hormonal Contraceptives,4.145996547355993e-09,-8.069227207271448e-05,-1,-1,0.208807253850262
STDs: Number of diagnosis,3.74225774029828e-09,1.2138859118701924e-05,-1,-1,0.2056322676761726
IUD (years),3.3672234974436316e-09,-660855445.3663791,-1,-1,0.2710779401136848
STDs (number),6.44463769545693e-10,1.2456750557504008e-05,-1,-1,0.21723580935854714
Smokes (packs/year),6.353557876183964e-10,343145777.4039971,-1,-1,0.2301038552684116
IUD,2.701967476950731e-10,861609948.9611422,-1,-1,0.42428363852950646
STDs:vulvo-perineal condylomatosis,2.662711777815713e-10,9.21077958178331e-06,-1,-1,0.43964094015292887
Hinselmann,2.529134814047827e-10,-3.5447326940802487e-06,-1,-1,0.12170375259878474
Citology,2.22056443375046e-10,-2.9394403781177514e-05,-1,-1,0.12035832509916844
STDs:syphilis,1.8514834193893568e-10,3.890445516190836e-06,-1,-1,0.8341572429836817
STDs:HIV,1.6099801441181183e-10,4.212601793135743e-05,-1,-1,0.38041656501005805
STDs:condylomatosis,1.47149164430034e-10,387326895.1306315,-1,-1,0.3553447650916609
Dx:Cancer,1.4506146052202487e-10,9424773.71574616,-1,-1,0.09285181737872794
Schiller,1.1549706762495148e-10,-982562135.0335441,-1,-1,0.756606356871411
Dx:HPV,7.824729468116636e-11,-1.2153138035851807e-05,-1,-1,0.9132832108311618
Dx,5.5723991723263876e-11,9.21077958178331e-06,-1,-1,0.7245183402038826
Dx:CIN,3.515230758917299e-11,-1.0745600547077169e-05,-1,-1,0.1750967838369557
STDs:HPV,2.331061860551148e-11,-3.1142805332261416e-05,-1,-1,0.39917820095000955
STDs:vaginal condylomatosis,2.231796747704773e-11,-387326895.1306317,-1,-1,0.8988796319394308
STDs:molluscum contagiosum,2.192629389152e-11,1.4187140408337993e-06,-1,-1,0.7439423788650937
STDs:pelvic inflammatory disease,1.0637476069166127e-11,4.7370169872361514e-05,-1,-1,0.37511394191849146
STDs:Hepatitis B,7.666509870055471e-12,-1.4187140408337993e-06,-1,-1,0.446812387097976
STDs:genital herpes,1.6565589452050872e-12,9.21077958178331e-06,-1,-1,0.4439524625802992
STDs:AIDS,0.0,-343145777.40397865,-1,-1,0.7399127647920276
STDs:cervical condylomatosis,0.0,-861609948.9611217,-1,-1,0.13731216548113212
