feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
First sexual intercourse,0.0007973643244675921,-4625951754.121602,-1,-1,0.1889694241326243
Age,0.0006311172335432733,3709632173.089724,-1,-1,0.9336155914039856
Hormonal Contraceptives (years),0.0004035469425171892,-0.00019915898640950522,-1,-1,0.9504143986910742
STDs: Time since last diagnosis,0.00025808533508758774,-0.0002281665802001953,-1,-1,0.9641765379723426
STDs,0.00012892065309914714,-4.760424296061198e-05,-1,-1,0.20064929799409814
STDs: Time since first diagnosis,0.000117686273519168,2760514756.881681,-1,-1,0.14336345007362472
STDs: Number of diagnosis,0.00010606260310255699,-7.16845194498698e-05,-1,-1,0.556853131660059
Number of sexual partners,9.004233228319444e-05,0.00013415018717447916,-1,-1,0.7667901812084585
Num of pregnancies,7.542409109420777e-05,2760514756.8818555,-1,-1,0.2104313576587301
Smokes (packs/year),6.515275129984721e-05,4253177221.553472,-1,-1,0.9485894154959211
IUD (years),6.326504787570981e-05,7.875760396321614e-05,-1,-1,0.35011721746649904
Smokes (years),5.9181436221376046e-05,-6995778017.388039,-1,-1,0.5688013509974713
STDs (number),5.425087986014799e-05,-900940819.3707671,-1,-1,0.6441351701053094
STDs:condylomatosis,3.8311758006644255e-05,-1933376496.027773,-1,-1,0.3913118644061263
Citology,3.717772892941327e-05,2.5873831270274333e-05,-1,-1,0.9328005635861774
Schiller,3.54136151836585e-05,0.0001327991485595703,-1,-1,0.16991524192749974
Smokes,3.3456559881439157e-05,1.629193623860677e-05,-1,-1,0.3179213109892449
STDs:vulvo-perineal condylomatosis,2.3586808627812975e-05,2.1457672119140625e-06,-1,-1,0.06364938039508161
Hormonal Contraceptives,1.4844252980554494e-05,1.1285146077473959e-05,-1,-1,0.3413474921843972
STDs:syphilis,1.3452707166600994e-05,6995778017.388057,-1,-1,0.18396316190968176
STDs:vaginal condylomatosis,7.525712592106737e-06,1.3510386149088541e-05,-1,-1,0.29180559892650393
Dx,7.328721779807567e-06,2.3126602172851562e-05,-1,-1,0.534273766111298
STDs:HIV,6.94775395107383e-06,4.938148176941893e-06,-1,-1,0.0693828824417464
Hinselmann,5.590252502730598e-06,-2110944799.284528,-1,-1,0.6185862252152149
IUD,4.660646616443546e-06,-3.417332967122396e-06,-1,-1,0.9218397749627307
STDs:molluscum contagiosum,2.009212224165495e-06,-8681950339.323202,-1,-1,0.4388715924718206
STDs:genital herpes,1.2185337578244509e-06,4625951754.120923,-1,-1,0.6580122166960022
Dx:HPV,7.625277891502787e-07,-4.3619769100076333e-05,-1,-1,0.409924168274159
Dx:CIN,6.26186078822412e-07,-2126588610.7767792,-1,-1,0.6847628285373102
Dx:Cancer,5.889332769083293e-07,-1.6371409098307293e-05,-1,-1,0.0567131274295285
STDs:HPV,4.312088235330494e-07,2126588610.7767792,-1,-1,0.5285566023573766
STDs:pelvic inflammatory disease,3.9058419470805884e-07,900940819.3708305,-1,-1,0.19433909159815776
STDs:Hepatitis B,4.7725657338618196e-08,-1933376496.0277998,-1,-1,0.24577612133070859
STDs:AIDS,0.0,3.973642985026042e-07,-1,-1,0.8713373127619214
STDs:cervical condylomatosis,0.0,-2861373366.948555,-1,-1,0.1530975173921979
