feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Schiller,0.09853554419871752,0.015797327832650736,0.09642301710730947,0.5502023989299735,0.9381433300673455
Age,0.01861869287483529,0.003542422671505102,0.03297045101088647,0.1218134168157424,0.2218570916050029
First sexual intercourse,0.014808835486988596,-24007435673.928482,0.023950233281493004,0.07361587683295491,0.7334123234793231
Num of pregnancies,0.011303567815163862,24733614327.69023,0.017107309486780714,0.0413457563108726,0.3539364973125956
Hormonal Contraceptives (years),0.008796607594669211,27476609663.43282,0.016174183514774496,0.07049501661129572,0.800259989002021
Number of sexual partners,0.0070437896981971355,0.0023350535671002736,0.00933125972006221,0.023614449475353946,0.01671923845020762
Dx:CIN,0.006498027504794427,12696076025.075033,0.007465007776049767,0.01593961516394127,0.972008864740015
Citology,0.0058737915801881,-0.0011084630958684428,0.01057542768273717,0.0012557310389697983,0.00035361256353916293
STDs:genital herpes,0.0030138290317732828,0.002390846953342054,0.003110419906687403,0.024458048898415245,0.7511041813797202
STDs:condylomatosis,0.0023015452639388013,0.0003054441235601745,0.001244167962674961,0.01993798449612403,0.37447212009690545
Smokes (years),0.0021368287188255133,-0.0014358820728083567,0.0015552099533437014,0.01993798449612403,0.15177119197609268
STDs (number),0.001983613074905022,-0.0002050735342879977,0.0015552099533437014,0.020768733850129204,0.5308700737860311
IUD,0.0015381284386255395,36108093594.15575,0.0018662519440124418,0.016614987080103363,0.36265615030718745
Hormonal Contraceptives,0.0,-12696076025.074677,0.0,0.0,0.5250452238842488
STDs:HPV,0.0,-0.0002099505171984491,0.0,0.0,0.2784213799902213
Smokes,0.0,0.0008834035303006627,0.0,0.0,0.6009362994129783
Hinselmann,0.0,45462372641.01132,0.0,0.0,0.13611987770756806
Dx,0.0,24007435673.933758,0.0,0.0,0.46800414712668414
Dx:HPV,0.0,-0.0004816550789137838,0.0,0.0,0.8937444945912497
Dx:Cancer,0.0,0.0002601941426595052,0.0,0.0,0.9009566196929556
STDs: Time since last diagnosis,0.0,0.0013366839510341327,0.0,0.0,0.2964964314533203
STDs: Time since first diagnosis,0.0,-45462372641.01055,0.0,0.0,0.9488991081779662
STDs: Number of diagnosis,0.0,0.0018446636704214554,0.0,0.0,0.9590567646112023
STDs:AIDS,0.0,-27476609663.429447,0.0,0.0,0.9421919878954473
STDs:Hepatitis B,0.0,-0.0002601941426595052,0.0,0.0,0.8582951963111469
STDs:HIV,0.0,0.0002099505171984491,0.0,0.0,0.6096655534507016
STDs:molluscum contagiosum,0.0,0.0020253031347383997,0.0,0.0,0.1520510803224262
STDs:pelvic inflammatory disease,0.0,-0.001662890116373698,0.0,0.0,0.843238792796797
Smokes (packs/year),0.0,-0.0012107793649269465,0.0,0.0,0.8599261979055519
STDs:vulvo-perineal condylomatosis,0.0,0.0007390480460862161,0.0,0.0,0.6343126211981536
STDs:vaginal condylomatosis,0.0,0.00016642590434584538,0.0,0.0,0.1656355160095344
STDs:cervical condylomatosis,0.0,0.00021931153651278356,0.0,0.0,0.10013807326850965
STDs,0.0,24733614327.686604,0.0,0.0,0.9471634998707089
IUD (years),0.0,-36108093594.15617,0.0,0.0,0.23042354504536644
STDs:syphilis,0.0,0.0007180832039932523,0.0,0.0,0.6181842627097479
