feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Schiller,0.6330516652747544,0.0057242983008051465,0.03608087091757387,4.046607575080117,0.5252046001683193
STDs: Time since first diagnosis,0.32245665821139524,-0.00012359976358244335,0.019906687402799376,0.7902259897021555,0.8888204505331987
STDs: Time since last diagnosis,0.19295713728738173,3.2082494220547654e-05,0.011508553654743393,0.48043270896540746,0.034222772232821774
Num of pregnancies,0.1515651681587708,-1.4690524249522948e-05,-0.0018662519440124426,0.14749634298191236,0.8023802728192925
Smokes (years),0.1303112284120533,0.0001606499728810344,0.004354587869362364,0.0680456577869566,0.660952190258239
STDs,0.12665866082455962,-0.0006131983170033287,0.0015552099533437016,0.7383397758066382,0.9653001885964013
IUD (years),0.11725503348179427,-0.000297304420627271,-0.003110419906687402,0.1640453458621977,0.936291586746273
First sexual intercourse,0.1035822492631926,-0.0007365095548435303,-0.004043545878693622,0.05419573146791244,0.061181460292670686
Age,0.09981491945073122,-0.0005325820336888003,-0.0009331259720062185,0.015431273218672527,0.6950702106193654
Smokes,0.07925719898707238,-0.00032954971416215747,0.0012441679626749621,0.3424960872329219,0.8663450609136314
Citology,0.06738175170276955,0.0005507083187160139,-0.002177293934681181,0.6212406979698146,0.15817257836546927
Dx,0.06651200537860015,0.0009264855009300097,0.0009331259720062226,1.2920185168096623,0.3770367708988658
Number of sexual partners,0.05382876545444075,0.0007303474682169125,-0.0003110419906687381,0.0504007159903056,0.7622878405376584
Hinselmann,0.052752023575131375,0.0010524445021438864,0.0027993779160186624,0.6797865414260844,0.5985074767658316
STDs: Number of diagnosis,0.045767042500259016,0.0008021651235592247,0.0012441679626749636,0.27271904120099144,0.33158204725754914
Hormonal Contraceptives (years),0.039140578482624436,-0.0009264855009300115,0.0012441679626749621,0.016894353522019376,0.15748269423275552
Smokes (packs/year),0.039072347660103576,-0.00023838818536592332,0.0003110419906687409,0.0566102444913288,0.3717040391084181
STDs (number),0.038613368068145686,-0.0011772615786555705,1.3877787807814458e-18,0.13037647648736797,0.7419666708217381
Hormonal Contraceptives,0.035053134608844745,9.779418997318964e-05,0.0,0.087989938843758,0.41487637030520064
STDs:syphilis,0.03198068690869507,0.00025861130287450624,0.0009331259720062213,0.7041299918635495,0.16237371437236758
Dx:CIN,0.031808704658479396,-1.4690524249525452e-05,0.0009331259720062226,1.4770077641895383,0.9135769337985985
IUD,0.013111424051489198,0.0005493244917580586,-0.0003110419906687395,0.08485580933845188,0.1724199889200737
STDs:HIV,0.0074580372929621075,-0.001648130908070758,0.0,0.1882410907718571,0.26518134491081213
STDs:condylomatosis,0.007347464510506304,0.0005215202735522276,0.0,0.0700888055337535,0.8103196745266602
Dx:HPV,0.004343993852865023,-0.005724298300805145,-0.0003110419906687395,0.10964712542571373,0.046499450053832825
Dx:Cancer,0.0041022118211902665,0.0002122038038071617,-0.0003110419906687395,0.1035442842038641,0.8720281954433083
STDs:genital herpes,0.002557967743587214,-0.0002586113028745138,0.0,0.8238141596295028,0.3060648173366062
STDs:vulvo-perineal condylomatosis,0.0024753931194585227,0.00012359976358244104,0.0,0.02424301857743685,0.10939157595155224
STDs:vaginal condylomatosis,0.0023901592915822746,9.779418997318588e-05,0.0,0.19344991650146887,0.8790774116289205
STDs:molluscum contagiosum,0.00024634568572957786,0.0004852446208590121,0.0,0.07933761658114764,0.6253124875812539
STDs:HPV,0.00021590704699150164,-0.0007193199897451693,0.0,0.0653487401922096,0.7832688989179584
STDs:pelvic inflammatory disease,1.8384126884447267e-05,0.0002973044206272684,0.0,0.0059207564590294855,0.4975553915208346
STDs:Hepatitis B,2.6808882038557083e-08,-0.00021220380380716113,0.0,8.711881987056302e-05,0.32107273510454726
STDs:AIDS,0.0,0.0001606499728810349,0.0,0.0,0.908980852674134
STDs:cervical condylomatosis,0.0,0.0005567170169212689,0.0,0.0,0.1816146922489107
