feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Schiller,0.3213334885283594,38743316032.943726,0.10793157076205288,2.0540353973185166,0.5739850117037317
STDs: Time since first diagnosis,0.22755427423453767,34072139313.28896,0.06531881804043546,0.5576541745652461,0.6208723969623547
STDs: Time since last diagnosis,0.21831503043936945,0.0014088948567708333,0.0494556765163297,0.543569846424699,0.18178670507083827
IUD (years),0.07835664644466649,-0.0012359619140625,0.0018662519440124411,0.10962465989669479,0.020400761658707633
STDs: Number of diagnosis,0.04791317675204217,0.0008366902669270834,0.0,0.2855075379764078,0.18848209557296147
STDs,0.028227108737387895,-48456075983.12976,0.001244167962674958,0.1645461668483975,0.6061594267256624
IUD,0.022022176286813164,-80988167605.10884,0.0,0.14252529586969964,0.5238672737610923
Smokes (years),0.01860347927253211,-0.0013605753580729167,0.0,0.009714327764777412,0.9856360230388139
STDs:syphilis,0.0185853182187755,0.0006357828776041666,0.0,0.4091994647747812,0.5291209668858236
Age,0.01613809786585704,68144278626.57958,0.0,0.00249493160709946,0.8790645320118526
Num of pregnancies,0.015972358065347372,-0.0006281534830729166,0.0009331259720062185,0.015543573975839386,0.40142775476431314
Hormonal Contraceptives,0.015393853810479833,-51202662240.30655,0.0,0.03864145875878666,0.3397201705852708
Smokes,0.00989654226945707,-0.0026642561310775705,0.0,0.042766172003847025,0.22664020472169422
Smokes (packs/year),0.009469035514431132,-126426487696.13617,0.0,0.013719278407127097,0.6330073258397608
STDs (number),0.007264077211204624,142530880167.90085,0.001244167962674958,0.024526863081657246,0.9820101228142409
Number of sexual partners,0.006112696004733739,-0.0011189778645833333,0.0,0.00572341298687995,0.49968182363163294
Hinselmann,0.005928854537162214,2391925527.5451303,0.0,0.07640191308861677,0.599718305276098
First sexual intercourse,0.005505900308212648,142530880167.90018,0.0,0.0028807667019741245,0.18456638053436247
STDs:vulvo-perineal condylomatosis,0.003986633021811668,77970411713.00743,0.0,0.039043502888278465,0.9635997562492543
Citology,0.003963088454571358,63724508825.578636,0.0,0.03653855495616076,0.8914367663912295
STDs:condylomatosis,0.0038505838753195095,15387870708.862968,0.0,0.03673142266189439,0.05914620073668719
Dx:CIN,0.0036159529979126422,-114927171065.8864,0.0,0.16790343115835404,0.34524796230320465
STDs:genital herpes,0.003112209155739633,-79982.73009490967,0.0015552099533436975,1.0023120802263839,0.3847535200883737
STDs:HIV,0.0022739453571419543,-40494083804.17919,0.0003110419906687395,0.0573944507877344,0.5633647022756637
STDs:vaginal condylomatosis,0.002118616469938248,-0.0022684733072916665,0.0,0.17147232849776908,0.1685131117830343
Hormonal Contraceptives (years),0.0016728640172976284,81586861177.46222,0.0,0.0007220628104676052,0.7518153868170669
Dx:Cancer,0.0015740829885989213,-0.00215911865234375,0.0,0.039731565174190187,0.21837385725806924
Dx:HPV,0.0015740829885989213,40494083800.92902,0.0,0.039731565174190187,0.872097094976761
STDs:HPV,0.0007805054067346131,34072139313.28896,0.0,0.23623612917702838,0.9557117013066482
Dx,0.00028616282625368024,-42843545144.53179,0.0,0.005558811048287815,0.9126146298249898
STDs:molluscum contagiosum,0.00010039207716011525,0.00054168701171875,0.0,0.032332078810008165,0.027653558552549473
STDs:pelvic inflammatory disease,7.179078643580806e-06,-79982.73022206624,0.0,0.002312080226383819,0.00466102605208496
STDs:Hepatitis B,7.114913418810935e-07,2391925527.5476556,0.0,0.002312080226383819,0.859358624140838
STDs:AIDS,0.0,0.0005009969075520834,0.0,0.0,0.905145045877089
STDs:cervical condylomatosis,0.0,-15387870708.865967,0.0,0.0,0.3731469817123586
