,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
echoing,0.4549092005695902,-0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5501676987104148
echoing green,0.10389020345329765,-0.3333333333333333,0.09468786069548203,0.6284915928186235,0.617464906876437
epsilon,-0.14711729081123656,-0.3333333333333333,-0.1649907456548004,0.29407904184763106,0.637421182069504
iota,-0.2939164959799172,-0.3333333333333333,-0.15956046812020597,0.2574154118978536,0.6590580244427015
lambda,0.28685488006819543,-0.3333333333333333,-0.1970767390668748,0.19830717211204166,0.7017504697093125
omicron,-0.053896403390926585,-0.3333333333333333,-0.21711454881222858,0.1607567195627287,0.6582068235978987
pi,0.31112682610138004,-0.3333333333333333,-0.23531795551121926,0.11701009405287256,0.6491688965520176
rho,-0.11039041665818376,-0.3333333333333333,-0.25153131469063655,0.07075171035427065,0.8406730671339738
sigmaf,0.2048556802158615,-0.3333333333333333,-0.2579187755663574,0.03738699868055211,0.5135189763522613
tau,-0.3657542181867042,-0.3333333333333333,-0.2751656911118128,0.024489402180615957,0.6830260826168533
