feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
epsilon,7.008901632409804e-11,1.1248685537787763e-06,-1,-1,0.5950351064500277
tau,5.994455345674874e-11,-6.197505290597396e-07,-1,-1,0.6193815103321031
lambda,4.173063141891603e-11,4.575874597382661e-07,-1,-1,0.2352038950009312
rho,3.621824764506279e-11,6.370967815774425e-07,-1,-1,0.24621534778862486
iota,2.8502482371334508e-11,6.907504229282226e-07,-1,-1,0.6752125536040902
omicron,2.5565513646105468e-11,-9.345943256028946e-07,-1,-1,0.11988661394712419
sigmaf,1.3676161229345498e-11,1.1663470002772561e-07,-1,-1,0.5945191535334412
pi,7.345041760857067e-12,3.680882472896963e-07,-1,-1,0.8902873141294375
echoing,0.0,6.197505290597396e-07,-1,-1,0.08011146524058688
echoing green,0.0,9.34594325602895e-07,-1,-1,0.1858249609807232
