feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
tau,1.4353678128201624e-05,2.2445246971469496e-05,-1,-1,0.30519086733860057
iota,9.44445007321466e-06,-2.2445246971469665e-05,-1,-1,0.10809562640295711
omicron,8.337582089473376e-06,-1.1691919394901689e-05,-1,-1,0.8585932513377816
lambda,8.20839675613071e-06,-1.1845933539530705e-05,-1,-1,0.8721667829060897
pi,6.068226798652751e-06,-9.108173941813084e-06,-1,-1,0.22243371754566443
rho,4.3518737207613684e-06,9.741487484125422e-06,-1,-1,0.816586605596929
epsilon,4.006566516228003e-06,2.3428693650237815e-06,-1,-1,0.7873745091354711
sigmaf,2.039457909737832e-06,-2.3428693650236832e-06,-1,-1,0.4603032346789421
echoing,0.0,-2.244524697146953e-05,-1,-1,0.810749316574389
echoing green,0.0,-7.035606673785269e-05,-1,-1,0.26680570959447203
