feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
pi,4.0838213266797835e-05,5.109339873285435e-06,0.0,0.5003573981652283,0.09693081422882333
echoing green,4.082362558759642e-05,1.021867974657087e-05,0.0,0.49964260183477155,0.5710430933252845
echoing,0.0,-1.5419705409172494e-18,0.0,0.0,0.935514240580671
epsilon,0.0,5.109339873285435e-06,0.0,0.0,0.47267102631179414
iota,0.0,-3.083764616637156e-18,0.0,0.0,0.7846194242907534
lambda,0.0,-9.249882128332712e-18,0.0,0.0,0.8074969977666434
omicron,0.0,1.5427293412658323e-18,0.0,0.0,0.1904099143618777
rho,0.0,-3.0834822723214048e-18,0.0,0.0,0.4310511824063775
sigmaf,0.0,3.080941173479642e-18,0.0,0.0,0.4235786230199208
tau,0.0,-3.089411502952185e-18,0.0,0.0,0.467024668036675
