feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
echoing,1.9856649922645803e-05,6.029067914667706e-09,0.0,0.019671131344833517,0.31617719627185403
echoing green,1.9856649922645803e-05,6.032113799199952e-09,0.0,0.019671131344833517,0.7518644924144021
tau,9.774338736395177e-06,2.6946373373378427e-09,0.0,0.013801301436500069,0.9332593779937091
iota,9.33509934070023e-06,2.791144275581125e-09,0.0,0.013487635494761435,0.4582855226185861
omicron,5.836330361194313e-06,1.770727721857787e-09,0.0,0.010664642019113695,0.9960964478550944
epsilon,5.169898174621937e-06,1.967930593174375e-09,0.0,0.010037310135636416,0.07254311449315731
rho,2.908067723224974e-06,7.519045293798631e-10,0.0,0.007527982601727311,0.2131543122670404
lambda,2.4435846840987942e-06,7.789333221640417e-10,0.0,0.0069006507182500345,0.9984544408544423
pi,2.226489350594261e-06,5.874457247805834e-10,0.0,0.0065869847765114,0.073260721099633
sigmaf,2.0194914744618613e-06,5.019003083509927e-10,0.0,0.006273318834772758,0.26520041475040135
