feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
echoing green,1.684442620311348e-05,3.3024179310213603e-06,0.0,0.2833989416923076,0.21007653833975404
echoing,1.0029585833568502e-05,8.562321649119913e-07,0.0,0.17837030883264784,0.8989246365264746
lambda,7.4507351005320565e-06,1.008068617238308e-06,0.0,0.08575516829852448,0.7801162418714427
omicron,6.217753494800743e-06,1.2264220161866639e-06,0.0,0.11912433533101667,0.8841347014510089
iota,5.860377998255688e-06,1.4665785171748735e-06,0.0,0.0958482504865987,0.10279362167178563
epsilon,3.6346463205427213e-06,9.097331425123029e-07,0.0,0.05415774023383273,0.24952973922292443
sigmaf,3.4599318268091428e-06,7.559193473856879e-07,0.0,0.0874910650453753,0.15455333833220464
tau,2.3582669119146417e-06,3.9341917025074647e-07,0.0,0.05,0.9298810156936744
rho,1.633112682684924e-06,-8.562321649119916e-07,0.0,0.03750893495325775,0.6206615101507128
pi,8.173489210679308e-07,2.045198895640586e-07,0.0,0.008345255126438899,0.4063773898321168
