feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
echoing,0.0,-1.2839532962581583e-33,0.0,0.0,0.8171041351154616
echoing green,0.0,-1.2839532962581583e-33,0.0,0.0,0.2993787521999779
epsilon,0.0,6.271703979431357e-33,0.0,0.0,0.6633887149660773
iota,0.0,-1.6672286400730738e-33,0.0,0.0,0.9389300039271039
lambda,0.0,-2.3942555922540095e-33,0.0,0.0,0.13429111439336772
omicron,0.0,-2.599242859479577e-34,0.0,0.0,0.11542867041910221
pi,0.0,3.6243192418969375e-33,0.0,0.0,0.10703597770941764
rho,0.0,-3.7965365730874046e-33,0.0,0.0,0.5532236408848159
sigmaf,0.0,6.889649647846586e-33,0.0,0.0,0.2723482123148163
tau,0.0,-4.074493576031085e-33,0.0,0.0,0.6048298270302239
