feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
adr,1.778429784467275e-08,-332098906.45556676,-1,-1,0.5508778036099597
agent,1.345091970878488e-08,0.0007027077561558986,-1,-1,0.3819809775475882
lead_time,9.263993615378028e-09,3.141348087618507e-07,-1,-1,0.8239317860862847
total_of_special_requests,4.1145586426537865e-09,3.936692379432809e-06,-1,-1,0.6343055412496752
arrival_date_day_of_month,3.502861450941602e-09,3.547353618359289e-05,-1,-1,0.9652274644351736
stays_in_week_nights,3.351277068198955e-09,164295337.5114474,-1,-1,0.9716047049733884
children,2.166231316490594e-09,2.7946895133029e-06,-1,-1,0.9787623872457588
meal_HB,1.8683464330352306e-09,-1.1633824945092375e-06,-1,-1,0.7528976976533488
stays_in_weekend_nights,1.222714843132227e-09,-17988871.49009561,-1,-1,0.17673523914804457
required_car_parking_spaces,1.1990500864239153e-09,-99494714.69059612,-1,-1,0.8700257884430113
arrival_date_week_number,8.259449851255903e-10,-4.306318788576989e-06,-1,-1,0.2192795927113046
reserved_room_type_E,6.467714306625934e-10,2.9329838599792774e-06,-1,-1,0.6475642717036921
adults,5.695722240045551e-10,-2.0055336779035887e-06,-1,-1,0.5373886947133957
reserved_room_type_G,4.056137580498225e-10,70521583.58892019,-1,-1,0.1629186487589258
meal_BB,3.4987637252931844e-10,5.158829327165801e-07,-1,-1,0.5816637995079208
reserved_room_type_A,1.4859527728267115e-10,-6.783882677098537e-08,-1,-1,0.18885992146773622
company,1.0576964401496295e-10,147583410.71052948,-1,-1,0.6538247187237826
arrival_date_month_August,7.731436040995959e-11,6.257226687771946e-07,-1,-1,0.22063903752165304
distribution_channel_Direct,6.006024012136653e-11,-9.103166120038748e-06,-1,-1,0.18502802264390872
market_segment_Offline TA/TO,5.599615320221111e-11,9691382.805056544,-1,-1,0.9021681433842099
reserved_room_type_D,4.995702497186295e-11,3.251696333712776e-06,-1,-1,0.729479992243697
market_segment_Online TA,4.796439541327884e-11,2.622273723302587e-06,-1,-1,0.09369106215209644
distribution_channel_TA/TO,4.5227153711156395e-11,-99494714.69059694,-1,-1,0.86235217136227
reserved_room_type_F,4.520164214493107e-11,1.938160108150913e-06,-1,-1,0.021047303901316372
arrival_date_month_July,4.414955392927836e-11,-3.5285450949291804e-06,-1,-1,0.2687935024791853
market_segment_Direct,3.7129155826756006e-11,-5.248512304134684e-07,-1,-1,0.7262861239455906
babies,3.5443230587689265e-11,332098906.45549184,-1,-1,0.7781859929786391
customer_type_Transient-Party,3.0070342464009055e-11,5.2789389122496885e-06,-1,-1,0.9091310549163725
customer_type_Contract,2.7827115246749926e-11,4.35554975463994e-06,-1,-1,0.06945411967875326
customer_type_Transient,2.4454775753788096e-11,3.450996551132253e-08,-1,-1,0.2452538345383417
reserved_room_type_C,2.16873743797332e-11,-2.13799655574478e-06,-1,-1,0.4905183832597364
meal_FB,1.5095791272900027e-11,-3.7279524673080356e-06,-1,-1,0.8077329610155621
reserved_room_type_H,8.046423833054129e-12,-3.13076235598569e-06,-1,-1,0.17773426933213465
market_segment_Groups,3.535542782668285e-12,-164295337.51143074,-1,-1,0.3686400066937072
reserved_room_type_L,3.0479061479472736e-12,-3.238450914093712e-06,-1,-1,0.3941973350000889
market_segment_Corporate,7.868427864969401e-13,-47436625.014417835,-1,-1,0.23172314263740101
distribution_channel_Corporate,6.613980225701766e-13,-7.89983387258645e-07,-1,-1,0.18151354386948126
customer_type_Group,4.999356626413742e-13,-4.360379081031792e-06,-1,-1,0.0720486896216499
market_segment_Complementary,5.093963295699388e-14,-5.194731169315968e-07,-1,-1,0.1556414771531217
hotel_Resort Hotel,0.0,-77061827.1215882,-1,-1,0.8168470296426481
previous_bookings_not_canceled,0.0,9691382.805056974,-1,-1,0.7457697889813437
previous_cancellations,0.0,47436625.01442094,-1,-1,0.10644273253233871
is_repeated_guest,0.0,1.1312034157230756e-05,-1,-1,0.7805131866280824
deposit_type_No Deposit,0.0,-17988871.49009443,-1,-1,0.60782207688576
