feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
adr,0.020082059931568193,0.00279117534052169,-1,-1,0.19170672758081964
lead_time,0.007772763393170143,-0.005329558822884068,-1,-1,0.12035434723674454
stays_in_weekend_nights,0.006883880755667419,3164562644.0411534,-1,-1,0.6543551595316018
agent,0.005627892385081547,-967160178.0966177,-1,-1,0.9896446150614918
arrival_date_week_number,0.005493864956314559,-1420804029.7617679,-1,-1,0.5865614560867114
arrival_date_day_of_month,0.004305795564669988,-0.0009104235558784142,-1,-1,0.9121768316927654
meal_HB,0.0033016926131062708,4.378968193962228e-05,-1,-1,0.9751261573086644
children,0.003236530768729951,1134636385.3781192,-1,-1,0.925500639517884
meal_BB,0.00246069777598991,-1867633724.0175843,-1,-1,0.8534382942772509
reserved_room_type_A,0.0023140194232723534,1.9358856640539618e-05,-1,-1,0.5991536622803556
distribution_channel_Direct,0.002306118339274709,0.00022738254560400548,-1,-1,0.5038694276726631
market_segment_Offline TA/TO,0.0021760615413711393,-798541121.4376508,-1,-1,0.06770849587634664
distribution_channel_TA/TO,0.0020823690127519555,0.00027476995016748615,-1,-1,0.0218748984257513
customer_type_Transient,0.0019252479639610888,0.0003660869303901613,-1,-1,0.9715384175999874
total_of_special_requests,0.0018963601030669262,-4.6699523886673654e-05,-1,-1,0.04381110614412975
stays_in_week_nights,0.001719447936773901,0.0003166920154863222,-1,-1,0.19043360049223523
required_car_parking_spaces,0.001522536349560963,0.00032288730432969133,-1,-1,0.7207694661145833
market_segment_Online TA,0.001397352591615964,-1592904211.9656067,-1,-1,0.41900416108789107
company,0.0013457954379345561,967160178.0980586,-1,-1,0.20199911693898998
reserved_room_type_E,0.001329388470051971,798541121.4374628,-1,-1,0.045445225803575795
arrival_date_month_July,0.0011656233939613112,663723949.615477,-1,-1,0.877075342531168
reserved_room_type_D,0.0011188769786348541,-924352207.8479618,-1,-1,0.12893423653883007
market_segment_Direct,0.0008292497835709181,7.523301825514249e-05,-1,-1,0.7173258745478759
customer_type_Transient-Party,0.0006540693878142773,-2791985931.8655787,-1,-1,0.16551822005022265
babies,0.00031325729231046967,-5.4875792536648314e-05,-1,-1,0.07487960116429626
adults,0.0002532627037535946,-8.288284431678001e-06,-1,-1,0.7046600538922085
reserved_room_type_F,0.0002061562310639482,3.3126827154098254e-05,-1,-1,0.5661747683643802
arrival_date_month_August,0.0001757599182480317,0.00013317233220832447,-1,-1,0.25252550759603565
reserved_room_type_C,0.00012941283602286522,-1134636385.3778849,-1,-1,0.6967062277159611
meal_FB,0.00012030141873512174,8.513782554293484e-05,-1,-1,0.9068148475911173
distribution_channel_Corporate,0.00010995658477192071,0.006168050790074306,-1,-1,0.9313323270711618
customer_type_Contract,0.0001095580350043593,9.258198145346619e-05,-1,-1,0.6846942792271811
reserved_room_type_G,8.849069640319867e-05,4.6558814430498604e-05,-1,-1,0.7943903801774531
market_segment_Corporate,7.132937782983367e-05,0.00011326322667374041,-1,-1,0.4484822200973677
reserved_room_type_H,4.930244291202575e-05,-2.5020881178235364e-05,-1,-1,0.6938033341630616
reserved_room_type_L,4.2616795052779736e-05,9.93290518679958e-06,-1,-1,0.7407151968369894
market_segment_Groups,3.5268527761524256e-05,2.4178539983481714e-05,-1,-1,0.9108491795966458
market_segment_Complementary,9.355963381580296e-06,6.352875387995658e-05,-1,-1,0.894913027927369
customer_type_Group,2.6868194028124623e-06,2.1778850607949446e-06,-1,-1,0.87025571997082
is_repeated_guest,0.0,-5.7404603447302105e-05,-1,-1,0.5465790228471932
previous_cancellations,0.0,-4.410774368675814e-06,-1,-1,0.34289796875027123
deposit_type_No Deposit,0.0,2.1938688796793967e-05,-1,-1,0.3974938280509851
previous_bookings_not_canceled,0.0,1571658432.0756316,-1,-1,0.7253506591483839
hotel_Resort Hotel,0.0,757080080.1429946,-1,-1,0.5504956819981569
