feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
arrival_date_week_number,0.1127112889294541,0.04423719983115664,0.20171428571428573,0.0988440578564531,0.3145802922041038
lead_time,0.08453065222903258,0.06326388888888887,0.178,0.1710489812255653,0.045680612683660526
adr,0.08189305956887746,0.042022218612521596,0.1682857142857143,0.20432862485419817,0.10100288318229544
required_car_parking_spaces,0.07873857938265705,0.024893389821282395,0.07857142857142857,0.07611452305850776,0.40728656125449514
agent,0.04585706135937975,-40783120900.73154,0.09,0.04217136499793704,0.7026568105420948
customer_type_Transient,0.042644968061877904,13443290910.96412,0.057428571428571426,0.029508888647038052,0.8559525530050779
stays_in_week_nights,0.039773740129447725,-54806987578.851364,0.07857142857142857,0.061754364106447385,0.35664914363383815
arrival_date_day_of_month,0.03464178938144682,0.00746058192485078,0.08542857142857144,0.07662928827451834,0.9435091414198641
meal_BB,0.032881052203870026,109425794897.54237,0.06485714285714285,0.020930594473810613,0.3821117317449527
total_of_special_requests,0.02690038111367927,668356571.0001485,0.038857142857142854,0.044607993436727764,0.7414513416854918
stays_in_weekend_nights,0.021668982019853917,0.008577563019392845,0.03657142857142857,0.0566859274342387,0.008478730772000675
reserved_room_type_D,0.012175805962838097,-32375020527.002712,0.023142857142857142,0.01617346625064696,0.9636673592151694
children,0.012156345203910348,0.008069367038473977,0.032285714285714286,0.029129398944926162,0.39813638851207556
reserved_room_type_E,0.010462096917123164,-0.011088804410665759,0.008571428571428572,0.015140840718355643,0.5163007974049364
adults,0.0101265790728332,11115391669.489851,0.011714285714285715,0.008033863925748744,0.2824021798278318
distribution_channel_TA/TO,0.009525157701383364,-0.009527909925014311,0.018571428571428572,0.0036327270011032556,0.6542201499705211
babies,0.007253344903074619,12712253483.713463,0.009142857142857144,0.011080038650771605,0.19488370652848808
meal_HB,0.006845614122453862,54806987578.86955,0.013428571428571429,0.0020644606312350913,0.8520270961329958
market_segment_Online TA,0.00470713647009932,32375020526.99939,0.00742857142857143,0.0029192629956469912,0.718462707337514
company,0.003997906378432173,-34793918813.58954,0.003714285714285714,0.0062842118843485645,0.09737983592836696
market_segment_Offline TA/TO,0.0025087528892953916,-0.0028491517225839947,0.0014285714285714288,0.0032444658682190667,0.09329086506976403
reserved_room_type_H,0.002337964528733277,-54712897448.76488,0.003428571428571429,0.00415329302724123,0.9302272034334854
reserved_room_type_A,0.0021972416834680785,-0.0029835225449396196,0.003142857142857143,0.002162977245479378,0.7688257151734421
arrival_date_month_August,0.002045968904361105,0.0022000340597182213,0.0031428571428571426,0.004325954490958755,0.1501866580820479
reserved_room_type_G,0.0020388033233693995,668356570.9945618,0.0017142857142857144,0.0044160785428537285,0.6513949150091937
reserved_room_type_C,0.0018293793619775262,-0.0017144461690746958,0.0031428571428571426,0.004614351457022671,0.16104702646595703
deposit_type_No Deposit,0.0,-0.0013201269237096665,0.0,0.0,0.7853518585204897
reserved_room_type_L,0.0,0.002113062015318403,0.0,0.0,0.34141528939813526
customer_type_Contract,0.0,1596861814.2221284,0.0,0.0,0.33902070888013824
reserved_room_type_F,0.0,-0.008498952481744563,0.0,0.0,0.7287206397111633
customer_type_Group,0.0,13443290910.949509,0.0,0.0,0.36031635570131804
market_segment_Complementary,0.0,-105785266719.48024,0.0,0.0,0.29011938096003975
distribution_channel_Direct,0.0,0.00048483258202176296,0.0,0.0,0.8074760338772813
distribution_channel_Corporate,0.0,-0.002830469954395622,0.0,0.0,0.8844020680758893
market_segment_Groups,0.0,-0.0020597131520759464,0.0,0.0,0.8852038728144223
market_segment_Direct,0.0,34793918813.59249,0.0,0.0,0.4631062230374876
market_segment_Corporate,0.0,-54712897448.76488,0.0,0.0,0.15153781087975182
meal_FB,0.0,0.005752101874794567,0.0,0.0,0.5863582035065616
arrival_date_month_July,0.0,-0.003510913440003043,0.0,0.0,0.5871755093043245
hotel_Resort Hotel,0.0,-105785266719.47664,0.0,0.0,0.807494333200605
previous_bookings_not_canceled,0.0,-0.0008052229204472437,0.0,0.0,0.973850742947436
previous_cancellations,0.0,40783120900.73352,0.0,0.0,0.7256881248640812
is_repeated_guest,0.0,0.0038483130112822632,0.0,0.0,0.7518422707218029
customer_type_Transient-Party,0.0,-7.12315086348627e-05,0.0,0.0,0.4309014457465179
