,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
Age,0.17413571568739342,0.3333333333333333,0.09591815052729051,1.0,0.5195895754863243
DailyRate,0.06093229227750777,-0.012577253264247116,0.1702706504941128,0.8194612733315517,0.5457121345948102
DistanceFromHome,-0.03690693399303419,-0.1627626456975081,-0.09985953295847334,0.5677498266176598,0.4668120200710189
Education,-0.006347867080217724,0.09050763668897906,-0.04679162252881386,0.5088712866709578,0.46984879800470775
EmployeeCount,0.016966809783757596,-0.11973804484276107,-0.09242318179918718,0.4115833431138918,0.5108183450988667
EmployeeNumber,0.06964751042281493,-0.1863798831743145,-0.025275564022274155,0.37079984160971885,0.4641002736297896
EnvironmentSatisfaction,0.04149785378333702,-0.17911325435797912,-0.07709355942855674,0.340088520609186,0.5015526194638449
HourlyRate,0.41979651920392075,-0.15933484969190634,0.03685022162190007,0.31865342469015556,0.6327981473969567
JobInvolvement,0.08726710247295806,-0.42807289012546645,0.058152099512239985,0.27039763651496695,0.5190656485026989
JobLevel,-0.10100088055188794,-0.6299126393463825,-0.11923919886848562,0.2592016953320473,0.5042256207738323
JobSatisfaction,0.1388141217720564,-0.3190504972015022,-0.1750044107821452,0.22457523808510552,0.6560560169107456
MonthlyIncome,0.08874585118368748,-0.37096244630468944,-0.1643536541420103,0.20845123346955471,0.6370556252261296
MonthlyRate,0.010867832274171374,-0.39275271108001536,-0.0834085141905339,0.18874781817032024,0.5604116913512346
NumCompaniesWorked,-0.2612644152253121,-0.22227000224587812,0.02379564344834928,0.1749474327770345,0.5234837020123213
PercentSalaryHike,0.10321694605997571,-0.32839912290988243,-0.01739810315620553,0.16202459119918144,0.5782748818994623
PerformanceRating,-0.10122684092241747,-0.37731287992614054,-0.08194145408333327,0.15267266727687448,0.5087265178885162
RelationshipSatisfaction,0.29250365382850924,-0.24288275827034753,-0.019230557644351814,0.14067182004810272,0.5959842991951648
StandardHours,-0.354513608904995,-0.2613084744465234,-0.15957753871433253,0.1305437248939926,0.6173289393771028
StockOptionLevel,0.1499932050233911,-0.29550525712770775,-0.20404281310843078,0.11954993544002263,0.7085297011607463
TotalWorkingYears,0.06839519468630992,-0.27885931605039177,-0.17229386146618764,0.10278164901814385,0.5772057923123829
TrainingTimesLastYear,0.08094321820339818,-0.29641838386277525,-0.1539024273840298,0.09706381426804468,0.5576007639558312
WorkLifeBalance,-0.07259426988389518,-0.2956791977562234,-0.21831427515127963,0.08834932425352025,0.5289530579475353
YearsAtCompany,-0.10830640717286544,-0.3044642255735902,-0.17109869443620795,0.08424569440627418,0.5972704277463606
YearsInCurrentRole,0.014185775137015357,-0.29325939080041824,-0.1727049166038088,0.0820818834217683,0.4777855414255385
YearsSinceLastPromotion,-0.050333059987915346,-0.307370633577772,-0.17381661414740449,0.0756189775563582,0.6085826032795801
