feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
MonthlyIncome,4.269297721261472e-08,-417940246.6785961,-1,-1,0.7326470523745189
MonthlyRate,4.080895537511342e-08,0.00045473639753353936,-1,-1,0.23661718596094694
DailyRate,5.165408490873365e-09,49657719.105018735,-1,-1,0.044929132085456236
EmployeeNumber,3.4348143501521386e-09,-7.561504243376034e-05,-1,-1,0.1062204353469155
TotalWorkingYears,4.90822815063172e-10,49657719.105009995,-1,-1,0.6119036246127176
HourlyRate,8.180986758315077e-11,8.394247328419729e-07,-1,-1,0.476413006511773
DistanceFromHome,4.900008964817589e-11,20251229.239409886,-1,-1,0.8520311842328123
YearsWithCurrManager,2.884777350367457e-11,-1.7141163117985652e-05,-1,-1,0.8406793551851768
PercentSalaryHike,2.4478787714134914e-11,-685130180.5624502,-1,-1,0.17399795895936454
Age,2.011057222850456e-11,123123526.25560506,-1,-1,0.40377385219611206
JobInvolvement,1.9492612611359285e-11,-8.525956230016273e-07,-1,-1,0.7599092813695562
YearsInCurrentRole,1.9012353167554864e-11,1.326220833142799e-05,-1,-1,0.7633519498580851
WorkLifeBalance,1.8187364409266702e-11,-4.7204470332201316e-06,-1,-1,0.8468018528069179
JobLevel,1.5703499293669657e-11,-2.290651209752378e-06,-1,-1,0.9813283962886282
YearsAtCompany,1.4691039248017084e-11,-1.2363075563195584e-06,-1,-1,0.07288169444746107
StockOptionLevel,1.3220313377822007e-11,1.7842165869611807e-05,-1,-1,0.06436990247612173
RelationshipSatisfaction,1.2763156431271191e-11,-1.680254360634309e-05,-1,-1,0.755813874105511
OverTime_Yes,9.522307026018039e-12,-1.7236684964706972e-05,-1,-1,0.6422323772918768
JobRole_Research Scientist,8.262527526492659e-12,417940246.6799999,-1,-1,0.8932910114916882
JobRole_Sales Executive,8.207032281473992e-12,-9.570707572932164e-06,-1,-1,0.3595610020636444
JobSatisfaction,7.650156430176082e-12,-5.006498909713717e-07,-1,-1,0.8085554832016547
MaritalStatus_Single,7.530040391108737e-12,-2.7756875889319343e-06,-1,-1,0.18530435623497665
OverTime_No,6.402598272006673e-12,87280730.35935724,-1,-1,0.9109885001799726
EducationField_Marketing,6.253803375849418e-12,29093576.786451492,-1,-1,0.43751485406494894
YearsSinceLastPromotion,5.457015185044741e-12,-3.563431485048575e-06,-1,-1,0.6065333011097762
EducationField_Medical,5.051658202663234e-12,6.4024935982031295e-06,-1,-1,0.2860893325917164
NumCompaniesWorked,4.542756448840728e-12,349522876.0621724,-1,-1,0.8997943094429032
Department_Research & Development,3.974502302752704e-12,1.3974456621436578e-06,-1,-1,0.9888708638950867
EnvironmentSatisfaction,3.3313319887042595e-12,-1.355723627100425e-06,-1,-1,0.934233908946233
Gender_Male,2.9333101564394733e-12,349522876.06216884,-1,-1,0.8086722179502562
Education,2.747364916859078e-12,-123123526.25555518,-1,-1,0.15917967432517044
TrainingTimesLastYear,2.164000644012582e-12,-89520030.42415501,-1,-1,0.1144737827585508
Department_Sales,2.038374979296378e-12,3.0108674905582874e-05,-1,-1,0.5737796616291122
MaritalStatus_Married,1.93296880946714e-12,4.7440687336430147e-07,-1,-1,0.07196511582070075
Gender_Female,1.4556353788703573e-12,-2.0649819515420706e-05,-1,-1,0.8138377407828676
PerformanceRating,1.4038473854545086e-12,-2.2930116834532733e-05,-1,-1,0.8924728511578102
JobRole_Laboratory Technician,9.806682307313354e-13,-685130180.5624614,-1,-1,0.6291156631695652
BusinessTravel_Travel_Rarely,8.84192095605851e-13,-6.437502209191455e-06,-1,-1,0.6987257260792674
JobRole_Manufacturing Director,6.4985520981116e-13,-89520030.42415233,-1,-1,0.20353961015670885
EducationField_Life Sciences,5.118249150347883e-13,4.880537628789919e-06,-1,-1,0.25249494233059144
MaritalStatus_Divorced,4.845806975693312e-13,1.323600706894212e-05,-1,-1,0.5465808426178332
BusinessTravel_Travel_Frequently,3.476913013550464e-13,-29093576.786451504,-1,-1,0.3211592145834937
JobRole_Healthcare Representative,3.1228145508396487e-13,-171460078.81358975,-1,-1,0.19229581271125595
JobRole_Manager,3.012908398288211e-13,-2.5987360808035783e-06,-1,-1,0.6686582497969725
BusinessTravel_Non-Travel,2.1646803338907466e-13,20251229.239409227,-1,-1,0.9235508454894068
Department_Human Resources,1.737422193896369e-13,171460078.81358975,-1,-1,0.37762894580674644
JobRole_Human Resources,1.3157746815623036e-13,9.570707572932164e-06,-1,-1,0.5821079464572895
JobRole_Research Director,1.249915415340588e-13,-3.009338361098671e-05,-1,-1,0.8100088472706272
EducationField_Technical Degree,1.1903781732556787e-13,-8.692793851244664e-07,-1,-1,0.16208958204137536
EducationField_Other,1.1756490256287207e-13,-6.153972540638748e-06,-1,-1,0.20119274215514882
JobRole_Sales Representative,1.1043347447616407e-13,-6.153972540638761e-06,-1,-1,0.4080273700378464
EducationField_Human Resources,6.576277887171867e-14,29093576.786451507,-1,-1,0.19973442849306722
Over18_Y,0.0,-1.166775643518418e-05,-1,-1,0.7299771156738967
EmployeeCount,0.0,342920157.62718004,-1,-1,0.09654044110522397
StandardHours,0.0,3.0345730927843707e-06,-1,-1,0.420056156235753
