feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
YearsInCurrentRole,2.5698220834312683e-09,14474.526585649788,-1,-1,0.48495514410483775
YearsWithCurrManager,1.882933971056276e-09,-14474.526585648822,-1,-1,0.11470886369900446
NumCompaniesWorked,1.7758810754929442e-09,9.539463087640302e-11,-1,-1,0.1441519004259202
YearsSinceLastPromotion,1.774305859537183e-09,-6049.586073353164,-1,-1,0.6877746969513585
MonthlyIncome,1.6668051574765858e-09,3.3783298325649623e-10,-1,-1,0.05302026645520819
OverTime_No,1.5604413279906025e-09,43069.05338745779,-1,-1,0.4761583989893381
DistanceFromHome,1.4803409721492122e-09,2606.951931050859,-1,-1,0.33348345454290274
JobSatisfaction,1.3840063446859944e-09,19215.267902835138,-1,-1,0.7393634223710848
BusinessTravel_Travel_Frequently,1.3691534597656803e-09,1.346383866204086e-10,-1,-1,0.6037906622879137
Education,1.3516317244484018e-09,2.32356114946542e-11,-1,-1,0.09739906208172533
MaritalStatus_Single,1.2269400073621479e-09,3802.2435271813665,-1,-1,0.7416647203238953
TrainingTimesLastYear,1.1753122003456643e-09,48598.85163216993,-1,-1,0.3108908289607021
PercentSalaryHike,1.0728871003471161e-09,-5312.275604237317,-1,-1,0.7404241186922673
JobInvolvement,9.121384043932478e-10,-3202.6932537432117,-1,-1,0.7404729394958726
MaritalStatus_Divorced,8.73935965572407e-10,1.2647827464511862e-11,-1,-1,0.6574653628519318
OverTime_Yes,8.656907486269963e-10,-43069.05338745736,-1,-1,0.29003618873245285
Gender_Male,8.345159575854564e-10,4290.927533713273,-1,-1,0.8417208034375927
Age,7.78429131196162e-10,2440.089083348667,-1,-1,0.8298942892713361
MonthlyRate,7.636108318919605e-10,-12313.388956851766,-1,-1,0.20506444958049075
Department_Sales,5.765866092165488e-10,10880.425757867106,-1,-1,0.4737424032737044
EducationField_Life Sciences,5.730707097271469e-10,5.487870899855994e-11,-1,-1,0.4438158749842188
Department_Research & Development,4.8721580751461e-10,-2606.9519310507508,-1,-1,0.2042936541408823
EmployeeNumber,4.841578844434104e-10,-1.714959656204998e-11,-1,-1,0.48146790035510734
DailyRate,4.71823642362978e-10,-1.7149596562049982e-12,-1,-1,0.6498799406517216
EducationField_Medical,4.3488121708730765e-10,4.1159031748919956e-11,-1,-1,0.12181141450944355
BusinessTravel_Travel_Rarely,3.960827892600313e-10,2.6170974682694543e-12,-1,-1,0.12103441744910592
YearsAtCompany,3.8053442033791064e-10,3802.2435271811646,-1,-1,0.006450800639516419
JobRole_Sales Representative,3.328405259261928e-10,7.202830556060992e-11,-1,-1,0.818550100509811
JobLevel,3.288623882860866e-10,-12313.38895685169,-1,-1,0.6744129993827706
JobRole_Research Scientist,3.0924490035557545e-10,-1936.6447562121998,-1,-1,0.6361971648160955
PerformanceRating,2.9352970266485103e-10,-50563.22027662088,-1,-1,0.4953046525746788
HourlyRate,2.878431622772376e-10,15805.571903824044,-1,-1,0.06086476982714739
Gender_Female,2.875509567733629e-10,-1.0289757937229989e-11,-1,-1,0.8202709573129404
JobRole_Laboratory Technician,2.457763937342082e-10,-737.3104691161174,-1,-1,0.6813204470212001
EnvironmentSatisfaction,2.0649414504664144e-10,-34689.911089603986,-1,-1,0.331307596447424
JobRole_Sales Executive,1.8943798930534314e-10,2.4009435186869975e-11,-1,-1,0.18480785296623536
TotalWorkingYears,1.810318492783718e-10,3.687163260840746e-11,-1,-1,0.30089220872699807
JobRole_Healthcare Representative,1.7933318947190027e-10,3.086927381168997e-11,-1,-1,0.5467192475517952
EducationField_Marketing,1.7046842601529945e-10,-50563.22027662088,-1,-1,0.0556531617495748
JobRole_Manufacturing Director,1.2855171265110942e-10,10868.93485270899,-1,-1,0.6171585181593636
RelationshipSatisfaction,8.953458736420789e-11,38980.838623317264,-1,-1,0.22354358356485016
StockOptionLevel,8.215719528696678e-11,-7666.241598965691,-1,-1,0.8522556957213244
MaritalStatus_Married,7.371123706709075e-11,-2440.0890833488243,-1,-1,0.17077549183007323
EducationField_Other,6.553594480062332e-11,2708.0917223027363,-1,-1,0.4045573360004985
EducationField_Human Resources,6.21810302471881e-11,-8172.334035564313,-1,-1,0.8327264525428749
JobRole_Research Director,5.6477734437426814e-11,6.859838624819993e-12,-1,-1,0.43235369880681007
EducationField_Technical Degree,5.611681625799719e-11,-1936.6447562122316,-1,-1,0.9826962663534576
BusinessTravel_Non-Travel,4.375615933384104e-11,-3409.695999011034,-1,-1,3.5711772904400974e-05
WorkLifeBalance,3.9157460497913826e-11,4.287399140512495e-12,-1,-1,0.9891586298982143
JobRole_Human Resources,2.5010087046820062e-11,3.4299193124099964e-12,-1,-1,0.8216864586827163
JobRole_Manager,2.4804652842722646e-11,48598.85163216987,-1,-1,0.8593138877910325
Department_Human Resources,1.4981231443926683e-11,3.086927381168997e-11,-1,-1,0.09686363672618625
StandardHours,0.0,-17568.3887105699,-1,-1,0.6756807613348076
Over18_Y,0.0,-6.859838624819993e-12,-1,-1,0.5466810256268906
EmployeeCount,0.0,17568.38871056992,-1,-1,0.29057692412617353
