feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
OverTime_Yes,0.0889081271491145,756497152030.353,0.13067150635208713,0.0751137746523015,0.17751505206801632
MonthlyIncome,0.04795743377074387,1543929119.41022,0.06660617059891108,0.12424675900974444,0.40269210321191773
TotalWorkingYears,0.04303829838744249,-27332190080.701363,0.08257713248638839,0.049163143528882215,0.21957976456871553
StockOptionLevel,0.039698631663051404,0.0013235234348381018,0.06569872958257714,0.020523313255942918,0.9589717172911971
YearsAtCompany,0.031189187964189853,-0.001956512903673716,0.079491833030853,0.027816095054675888,0.26617824464117834
MaritalStatus_Single,0.02667564694595249,-186071866337.10193,0.038475499092558985,0.02773464136928219,0.01273482789122593
DistanceFromHome,0.02599972488210579,-84162336304.11499,0.036297640653357534,0.049469370720924395,0.5021903919491799
YearsInCurrentRole,0.025564637385152838,0.017637388381646878,0.05934664246823956,0.031541526740733086,0.06584738591411499
Age,0.022241709741108534,207929599889.98096,0.039201451905626135,0.06087797048462136,0.43147363671709615
JobSatisfaction,0.021676427227650494,165974223973.51535,0.0353901996370236,0.021481315602575844,0.2940058945823433
DailyRate,0.019644283353760603,-9191076975.340511,0.0323049001814882,0.07398161496075638,0.15062004623508451
NumCompaniesWorked,0.018324022892603698,-472645924310.0133,0.022867513611615244,0.04255002742899582,0.5295627534944425
YearsSinceLastPromotion,0.018223276522123674,0.005179454311402775,0.028130671506352085,0.03203113754247322,0.1010319909115096
HourlyRate,0.017125386806282013,283851227720.32544,0.03956442831215971,0.049871702786906495,0.6486217482575962
EmployeeNumber,0.014868917069571276,255303142160.95386,0.022323049001814883,0.05041592655101854,0.2725888667239299
JobRole_Laboratory Technician,0.012412361930134517,186634771604.96567,0.024682395644283123,0.001949461441107693,0.4767583291164841
PercentSalaryHike,0.012034438860145562,-0.00469347305017316,0.021778584392014515,0.02697297773722871,0.49361622719927467
MonthlyRate,0.011942183680974442,-1125560065595.0164,0.02323049001814882,0.04029537266203479,0.5940491652185149
EnvironmentSatisfaction,0.01094301500411458,75511965593.02638,0.011252268602540834,0.024176690269633476,0.09781269765745393
JobRole_Sales Executive,0.009028448105511,0.004251099728202816,0.010526315789473684,0.002790650153209614,0.06945463394109497
TrainingTimesLastYear,0.00755111375709777,0.002962141476397835,0.015789473684210527,0.039972287324599794,0.053137771003383794
EducationField_Medical,0.006259882605001398,-0.003452669830012439,0.008529945553539019,0.02332771844150693,0.3476331132419348
YearsWithCurrManager,0.005589535505087013,-0.0009695336318389538,0.006896551724137931,0.009796022032795218,0.22646501572877376
JobInvolvement,0.004941052325331212,0.004001477993422294,0.006352087114337568,0.012100722877628398,0.7320016095639762
EducationField_Marketing,0.004911179394087648,-211458542383.91772,0.004718693284936478,0.01419176787316011,0.7857276514438948
JobRole_Healthcare Representative,0.0032085409899723564,-75511965593.02234,0.0032667876588021775,0.00568960875642146,0.5032401525063994
Gender_Male,0.0029517055141684945,-0.007523943004568774,0.003992740471869328,0.013836973676331106,0.09424256671278786
JobRole_Human Resources,0.0026402631587066285,-309128773532.5427,0.0029038112522686023,0.0009941376540684947,0.7004712270358081
Education,0.0025269679911973514,0.004074674345144499,0.0036297640653357526,0.0027646301051610696,0.5079268241952323
BusinessTravel_Travel_Rarely,0.0025136927345957476,-350027482005.55524,0.0016333938294010887,0.0055880086000567935,0.3919080897635625
RelationshipSatisfaction,0.0024795031669697753,0.000626177114051258,0.0036297640653357526,0.00655004671068928,0.6811605248590666
JobRole_Manufacturing Director,0.0020716604410822804,-0.006358666936939576,0.0038112522686025406,0.004829971419016684,0.9066677666301721
Department_Sales,0.0019758108620784114,121940874392.11096,0.0021778584392014516,0.007450678133409056,0.8795276708281322
Department_Research & Development,0.0015334110713979845,0.0008056229603362359,0.0012704174228675134,0.004257530361948032,0.7339243726735462
EducationField_Other,0.0014008140429764846,-0.0038554813101805575,0.001996370235934664,0.002607737346693173,0.2879925497312348
WorkLifeBalance,0.0012273833515678652,-1125560065595.0166,0.0012704174228675136,0.0055880086000567935,0.03568795751952003
EducationField_Life Sciences,0.0011923238033962043,9191076975.343042,0.0009074410163339382,0.0031931477714610243,0.20570537575355996
BusinessTravel_Travel_Frequently,0.0008558480691229142,-186071866337.10287,0.0010889292196007258,0.004257530361948032,0.7158233180981829
MaritalStatus_Divorced,0.0,0.0017263349150062196,0.0,0.0,0.899869221860292
JobRole_Sales Representative,0.0,-2014860572.118775,0.0,0.0,0.1873444120001443
JobRole_Research Director,0.0,1543929119.4007916,0.0,0.0,0.23861948527569
MaritalStatus_Married,0.0,-187269052258.52713,0.0,0.0,0.14183365525486336
Over18_Y,0.0,255303142160.95355,0.0,0.0,0.4746006908112954
OverTime_No,0.0,-0.0006042172202521768,0.0,0.0,0.3340541498424623
JobRole_Research Scientist,0.0,-0.00011508899433374798,0.0,0.0,0.3151124990093893
JobLevel,0.0,-520587315916.4621,0.0,0.0,0.42258837218531686
JobRole_Manager,0.0,350027482005.55646,0.0,0.0,0.3053241882664258
Gender_Female,0.0,-0.005466727230853029,0.0,0.0,0.7338822707765316
EducationField_Technical Degree,0.0,25317329508.586773,0.0,0.0,0.5963133967517213
Department_Human Resources,0.0,0.002956067420871234,0.0,0.0,0.1013042719653866
BusinessTravel_Non-Travel,0.0,84162336304.11754,0.0,0.0,0.6202207408809086
EmployeeCount,0.0,-0.002069322053582056,0.0,0.0,0.05315707207724896
StandardHours,0.0,-121940874392.11465,0.0,0.0,0.6463448572825211
PerformanceRating,0.0,-0.0028726991874424915,0.0,0.0,0.4335653417496722
EducationField_Human Resources,0.0,0.0031903322154545324,0.0,0.0,0.2682669497666631
