feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
OverTime_Yes,0.08848081775467694,-157033966643.16803,0.12395644283121596,0.0751137746523015,0.7631729910876932
MonthlyIncome,0.04971170512339795,307626570169.8065,0.073502722323049,0.12265018512401392,0.5037652518720269
TotalWorkingYears,0.04342713078391001,-372991160375.34674,0.08094373865698731,0.049163143528882215,0.1152981856244043
StockOptionLevel,0.03842923939835352,0.00717867602156753,0.0647912885662432,0.016265782893994885,0.031448050751681444
YearsAtCompany,0.03176548314187014,-0.0074269475594158675,0.07150635208711434,0.027816095054675888,0.1398152818325673
MaritalStatus_Single,0.027041449810609044,13598749058.362688,0.038112522686025406,0.02773464136928219,0.30017329782343627
YearsInCurrentRole,0.025329111774209705,0.008171318597696106,0.05789473684210526,0.02621961378829804,0.5868207612856549
Age,0.025185070822501928,267792234595.47092,0.042831215970961886,0.07490155669305085,0.03673109374690886
DistanceFromHome,0.02276401359192911,-37619729098.46369,0.027949183303085302,0.03631664299562065,0.3856806915678398
JobSatisfaction,0.02115057642958115,5108268723.462195,0.03375680580762251,0.021481315602575844,0.6996538264191929
YearsSinceLastPromotion,0.018415057190744683,0.006905339660024878,0.02686025408348457,0.03203113754247322,0.37228274765438896
DailyRate,0.017008392152764586,87698509765.39136,0.030127041742286753,0.06296525514921583,0.8347241922112031
HourlyRate,0.016967052877362915,-263864785688.4222,0.0353901996370236,0.05412923314885452,0.8109083226473461
NumCompaniesWorked,0.015491564864987501,-880252932165.7537,0.017241379310344827,0.028906577860025984,0.7942950298558928
JobRole_Laboratory Technician,0.012857358124199825,-38077637736.01479,0.018330308529945556,0.00673918309829923,0.45644567604046127
EmployeeNumber,0.012547430306580065,-0.0035497761689815394,0.019963702359346643,0.03618262146573922,0.7021874668736263
EnvironmentSatisfaction,0.012216915817310263,-73746242481.82434,0.012704174228675136,0.03215955969828604,0.34692153070873
MonthlyRate,0.012080838488730494,-68544815851.75377,0.023774954627949187,0.04348852043349582,0.8298576827580614
PercentSalaryHike,0.0112582107741699,143202805400.67535,0.01869328493647913,0.02697297773722871,0.09075750047916509
TrainingTimesLastYear,0.008396290122484234,-81084764456.49638,0.016515426497277674,0.04236714815319556,0.6583321812086825
JobRole_Sales Executive,0.008341138390210464,0.0009063258303782653,0.009618874773139746,0.002790650153209614,0.25257476958164904
JobInvolvement,0.006097269551219387,-183014761491.7172,0.005989110707803992,0.01742263583006344,0.7962714008144215
RelationshipSatisfaction,0.005743897435927175,0.0018348884945940305,0.010344827586206895,0.020075308342663477,0.2582138495017209
YearsWithCurrManager,0.005589535505087013,0.002078794960153323,0.007259528130671507,0.009796022032795218,0.3779101569824278
EducationField_Medical,0.004360542868053768,-5950774395.846096,0.006170598911070781,0.020349981432406374,0.10020768781834477
Education,0.004224891792496914,-5108268723.461954,0.005263157894736842,0.010215308238570125,0.5379487839990206
EducationField_Marketing,0.0034976526819828447,-263864785688.42194,0.0032667876588021783,0.009934237511212075,0.6478813134355833
Gender_Male,0.0032725402699509045,-5950774395.846397,0.005626134301270418,0.01436916497157461,0.1861607264879731
JobRole_Healthcare Representative,0.003192797414120377,-0.0026182746210927665,0.0034482758620689655,0.00568960875642146,0.02174996911740823
JobRole_Human Resources,0.0026254343107781483,0.0039993425530977424,0.0036297640653357535,0.0009941376540684947,0.8092213318989598
JobRole_Sales Representative,0.002384069496016148,-0.0019025649375797712,0.003992740471869328,0.011708208495357088,0.3732147783111178
EducationField_Technical Degree,0.002148621333043211,0.002344938259550115,0.001996370235934664,0.005122696959563137,0.3062756297196868
JobRole_Manufacturing Director,0.0020139203724404806,-34308717252.960564,0.003992740471869328,0.004829971419016684,0.4349684769731377
EducationField_Other,0.0018829152596114822,-0.0012372066890877908,0.0029038112522686023,0.002607737346693173,0.9131488230675796
Gender_Female,0.0014529901738063696,39437525228.86553,0.0010889292196007258,0.004257530361948032,0.4668412323801078
WorkLifeBalance,0.001253474099583956,62919926099.65958,0.0010889292196007258,0.0055880086000567935,0.18642551060922308
MaritalStatus_Married,0.0011923238033962043,239081754318.04224,0.0007259528130671506,0.0031931477714610243,0.6785558417525374
BusinessTravel_Travel_Rarely,0.0009530345080229172,-105198925779.8857,0.0012704174228675134,0.004257530361948032,0.7012882836506736
Department_Research & Development,0.0009090018704859171,-25980794848.538334,0.0007259528130671506,0.0031931477714610243,0.8693291015999322
JobRole_Research Scientist,0.0,143202805400.6806,0.0,0.0,0.8340964111953133
MaritalStatus_Divorced,0.0,62919926099.65715,0.0,0.0,0.33787826063154325
Over18_Y,0.0,37619729098.469986,0.0,0.0,0.9707656720950419
OverTime_No,0.0,0.004280771109554485,0.0,0.0,0.8774327131681371
JobRole_Research Director,0.0,0.00413466203471672,0.0,0.0,0.3993334805486505
Department_Sales,0.0,13598749058.361473,0.0,0.0,0.00789830206893749
JobRole_Manager,0.0,0.005826380338145991,0.0,0.0,0.5759652010686579
EducationField_Life Sciences,0.0,119162402192.5057,0.0,0.0,0.3347124780466544
EducationField_Human Resources,0.0,-0.0032224918413449434,0.0,0.0,0.4214077627323264
JobLevel,0.0,0.00187639647585349,0.0,0.0,0.20744695769385368
Department_Human Resources,0.0,-0.005524271728019903,0.0,0.0,0.629472079566748
BusinessTravel_Non-Travel,0.0,-0.00030640630011684414,0.0,0.0,0.5883907817399121
EmployeeCount,0.0,-0.002312584692151171,0.0,0.0,0.2106627970468672
StandardHours,0.0,0.0002925601532596763,0.0,0.0,0.4676881973508441
PerformanceRating,0.0,-880252932165.7556,0.0,0.0,0.7734089956486373
BusinessTravel_Travel_Frequently,0.0,-87698509765.39093,0.0,0.0,0.03384978564360763
