feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Age,0.2638637667922266,-177292679.57387102,0.000907441016333943,0.035246391827432756,0.25123936289630855
DistanceFromHome,0.2232135185106431,-0.00013229535024998697,0.0003629764065335772,0.03348493398576747,0.9362024987502184
MonthlyIncome,0.15395631759206693,27295076244.750595,-0.0001814882032667886,4.2057213746087033e-05,0.15034907661746022
TotalWorkingYears,0.1441587199113455,-14900688930.44465,0.0003629764065335772,0.02376820200722679,0.06110778916606874
DailyRate,0.11841147701926273,-0.00019977606194163772,-0.0001814882032667886,0.0003350973200698393,0.4628801659540618
YearsInCurrentRole,0.09450781757534799,0.00017240870830856388,0.0001814882032667886,0.031317599502384864,0.5591560891519723
YearsAtCompany,0.09165350300981191,-5.3498399709828165e-05,0.0003629764065335772,0.020477536616023886,0.3504527929152811
YearsWithCurrManager,0.07865719800101147,38915209271.64723,0.0005444646098003658,0.02674611663742162,0.6288217530707231
NumCompaniesWorked,0.047147289579194306,0.0008926702514607356,-0.0010889292196007317,0.022828433485400423,0.9769761339247407
HourlyRate,0.040181829155151456,-2202947476.207852,-0.0010889292196007317,0.0022497871354234793,0.5243784540525185
YearsSinceLastPromotion,0.01143302020593275,-27295076244.750477,-0.0003629764065335772,0.0050511012461457476,0.22602951038597108
EmployeeNumber,0.010407556775402048,0.0002708496974805087,-0.0005444646098003658,1.9872034787983233e-05,0.8523961747276906
JobSatisfaction,0.00945202382877186,0.0004102257426411429,-0.0001814882032667886,0.009882476526856346,0.41630294307489524
StockOptionLevel,0.007832939085027808,-50540114161.369026,0.0,0.011474767252061703,0.3310351304316116
EnvironmentSatisfaction,0.007686397719098754,8634215819.782526,-0.0003629764065335772,0.008089569223545258,0.1353392464238271
TrainingTimesLastYear,0.0059563057092100755,-7.146022097702194e-05,-0.0007259528130671544,0.006065671239511644,0.4686941027228121
OverTime_Yes,0.004539924719632614,-14900688930.44479,0.0,0.010975678330985675,0.16809938850008532
OverTime_No,0.004499082663550842,50540114161.36911,0.0,0.010876938969077075,0.47340683794995175
JobInvolvement,0.004302987484901837,177292679.57445648,0.0,0.007512983062916377,0.8294080158611418
PercentSalaryHike,0.004291843913336104,-20616773168.038597,0.0,0.0014000723175648935,0.3118405096342014
MonthlyRate,0.0036185857584253357,-73739379831.71144,0.0,5.858077387098784e-07,0.0670480131604545
MaritalStatus_Single,0.0031971067332994692,-0.0003146964688813421,0.0,0.0075052660576474025,0.871336583911532
MaritalStatus_Married,0.0019561556266696,105147670.0767637,0.0,0.003931008081312148,0.8072995821927899
Department_Research & Development,0.001844529690257691,0.00016594940625064972,0.0,0.004077167964382549,0.5844683850506179
RelationshipSatisfaction,0.0017000233118627344,-7895195361.501315,0.0,0.0018152838926887567,0.6940451718408454
Department_Sales,0.0016482748912880762,-0.0001510543050630442,0.0,0.0038886135868919504,0.305750320607981
WorkLifeBalance,0.001312807998434182,0.0001891831540158997,0.0,0.002392347157492804,0.15645302136817574
JobLevel,0.0012645355984999566,37290420357.65875,0.0,0.0015269230888922773,0.009821186346471444
MaritalStatus_Divorced,0.0012191749448814285,8634215819.78241,0.0,0.0034755186144689817,0.27723750447227713
EducationField_Life Sciences,0.0010204636660115023,9440162454.690834,0.0,0.0021034557429305723,0.4032683591120535
BusinessTravel_Travel_Frequently,0.0009372264964048158,36290653767.68947,0.0,0.0030053592054690185,0.27458061489602603
Gender_Male,0.0006929790462139687,-37290420357.65872,0.0,0.0014402717175279107,0.730658078316163
Gender_Female,0.000645471129494865,20616773168.03857,0.0,0.0013415323556626038,0.15242180304956643
EducationField_Medical,0.0006338122284136667,-0.00017263349150062197,0.0,0.0014644461417643096,0.5410169932365368
JobRole_Research Scientist,0.000621000991525833,35277547680.90241,0.0,0.0018984168360300514,0.3301601899836637
JobRole_Laboratory Technician,0.0004518489784244597,0.00034526698300124393,0.0,0.0015638867707341597,0.10232212488877834
BusinessTravel_Non-Travel,0.000380927693756881,-16686962258.824144,0.0,0.0021908393716807387,0.9278794988441517
JobRole_Sales Executive,0.00035059399236333437,38915209271.64697,0.0,0.0010384203963366813,0.7719786826774494
EducationField_Marketing,0.0003315016667156559,-0.0003812322937305402,0.0,0.0017466135193117249,0.254749384232702
