,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
battery_power,1.0,0.3333333333333333,0.03527806361653796,1.0,0.5818169523067702
blue,0.20788982522406155,-0.2875308942236125,-0.09037469771648406,0.44461227292123756,0.6004872504572686
clock_speed,0.16104046180278886,-0.3079218359395618,-0.2771360411047296,0.25829785832371804,0.6972010872030503
dual_sim,0.11774895337468594,-0.31871910756325345,-0.28647289161006917,0.21684264772237802,0.6357469672430984
fc,0.004544800419455059,-0.3287463610027779,-0.21805595713384238,0.11926423168658355,0.6034972066039949
four_g,0.003618298134408192,-0.32994544703046286,-0.29807240297480947,0.09315618617297224,0.594909478513741
int_memory,0.03151517481764008,-0.3313071698559192,-0.18365850931431907,0.06898351875790887,0.6586890829563439
m_dep,0.026933498615207,-0.3317615657673922,-0.2565257170711186,0.0622339436287109,0.6841088379833393
mobile_wt,0.037109416830294735,-0.33183458468215266,-0.2679887430096905,0.05572518364277925,0.6799049714205893
n_cores,0.021264434200620103,-0.3322634000502267,-0.27049041684757325,0.047295013993633894,0.6777235118314068
pc,0.007302950122425163,-0.33234186265081184,-0.2751954636951821,0.04189178893038787,0.4585709239210232
px_height,-0.33546949115028113,-0.33246987419240853,-0.14658297477820617,0.038012220527953784,0.6477900518265711
px_width,-0.027380047486869407,-0.3329687920020668,-0.2331083814281469,0.0358982576109052,0.4725241900198977
ram,0.005182335971586218,-0.3330259647275345,-0.2509723507371737,0.03165416435208324,0.6485158875746918
sc_h,-0.05206152658899765,-0.33315701078127535,-0.261579812128322,0.02520288213985135,0.6786208292619681
sc_w,-0.028524962165120484,-0.33328502274711824,-0.32257177631166595,0.020918683176222284,0.46294443503716937
talk_time,0.09718268852194983,-0.3333624201308143,-0.30095689956355587,0.01842470167739095,0.5632257131264617
three_g,-0.03988682585043414,-0.33331402495929147,-0.2513208416322103,0.015083299016042837,0.5418498294910943
touch_screen,-0.01119637523908358,-0.3333268972086527,-0.28025902720109436,0.013240317953487435,0.5626327378837997
wifi,0.02111201598658169,-0.3333494236450349,-0.2966126039125221,0.009450772088357809,0.4753421993747064
