feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ram,1.5872374504666894e-08,0.0011315163293922363,-1,-1,0.5627707542753085
battery_power,1.1400438135844767e-08,-8.825973310956635e-05,-1,-1,0.04387467579749693
px_width,8.934731964398773e-09,0.0001622136100022855,-1,-1,0.94667242918317
px_height,6.642395315570841e-09,3.658113835586446e-05,-1,-1,0.7403563930004606
mobile_wt,2.725210829837702e-09,-3.727586319047973e-06,-1,-1,0.9116551959223266
int_memory,7.821088624435001e-10,3.727586319047648e-06,-1,-1,0.4446664140255637
pc,2.8103735076753135e-10,9.775519095085247e-06,-1,-1,0.13920530775188655
fc,2.2473015718960718e-10,7.218223065137422e-06,-1,-1,0.8455384186904955
sc_w,1.8724481835125575e-10,1.6729932968261873e-05,-1,-1,0.36667564358068516
talk_time,1.5100717595638416e-10,-1.0236326467083386e-06,-1,-1,0.6989211993662525
sc_h,8.401588881866955e-11,-7.2182230651363375e-06,-1,-1,0.43809729439128675
n_cores,4.8716077842298487e-11,-1.2966095573374712e-05,-1,-1,0.10153772059405797
blue,4.708982295018052e-11,4.028921601942929e-06,-1,-1,0.1826777996377844
clock_speed,2.7080030710423028e-11,-1.607462294675903e-05,-1,-1,0.34007041056130516
three_g,2.7002523619927246e-11,-8.690627360787578e-06,-1,-1,0.020537605199283382
four_g,1.8914572098876707e-11,-2.7451839435990152e-06,-1,-1,0.22873252417018963
m_dep,1.313305264168859e-11,3.6581138355864825e-05,-1,-1,0.7007800262275422
touch_screen,7.57850680230435e-12,-2.7451839435984867e-06,-1,-1,0.5251752205020894
wifi,7.369103447949725e-12,1.0236326467122055e-06,-1,-1,0.6938120899221919
dual_sim,6.293802021849779e-12,3.1270165410304286e-05,-1,-1,0.6830331354109184
