feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ram,0.19361486204957043,0.18550740740740737,2.2346666666666666,0.47422294071184945,0.5827391854782779
battery_power,0.04223985283361973,0.012101481481481512,0.1156,0.07596815350507952,0.5005838745792136
px_width,0.024634044996982345,0.006094074074074075,0.029733333333333334,0.05148800214310943,0.20883660934497406
px_height,0.02101817274403404,0.011688888888888957,0.023866666666666668,0.05776030462453399,0.5896686616242348
int_memory,0.01576639743512778,0.007495555555555565,0.0028000000000000004,0.039641243081343674,0.4922272639238322
mobile_wt,0.01163404978688922,0.002816296296296291,0.0021333333333333334,0.03849649750761033,0.697124745063027
clock_speed,0.007908773197392393,0.002178888888888906,0.0004,0.030375661252834283,0.7559630769068791
m_dep,0.007692063288990678,0.0032614814814814555,0.0002666666666666667,0.025735431166250534,0.6696420737709267
talk_time,0.007060846625655905,0.002199259259259262,0.00013333333333333334,0.029550369436856468,0.5815832159045856
fc,0.006725610062157758,0.00425037037037036,0.0,0.0268729659364158,0.019255731331161652
sc_h,0.006556771801459205,0.002199259259259276,0.0,0.027200819748057527,0.007152373711627136
pc,0.006519197346920303,0.012101481481481472,0.0,0.02969084503229873,0.0401300206789702
n_cores,0.006482894546532228,0.0015162962962963326,0.0,0.023785053323321374,0.550031081348371
sc_w,0.005844707177849175,-0.006094074074074044,0.0,0.02786674189387554,0.7018242111848848
touch_screen,0.0031717486104864373,0.002178888888888881,0.0,0.007149909371523741,0.8985789703505983
dual_sim,0.002780777142082015,0.004250370370370372,0.0,0.0075190277477067,0.6702630027816353
four_g,0.002645850562009557,0.002084444444444463,0.0,0.006636107467105169,0.7655366755250052
three_g,0.0024053476198298692,-0.001516296296296268,0.0,0.006428196638673419,0.3681182303216206
wifi,0.00237860928719808,-0.004576296296296303,0.0,0.006503934676945545,0.16417917905138046
blue,0.0022395889755810064,0.00422962962962964,0.0,0.007107794734608595,0.3229502542877589
