feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ram,50.40658237734817,0.28633530726553086,2.274,0.05405698158317975,0.14761474316332557
battery_power,12.625603026364569,0.02463175819009317,0.2488,0.03285496636975661,0.28245625829865384
px_height,7.150690958170397,0.0008154270462967112,0.13146666666666668,0.019472397415372038,0.46493948083964654
px_width,6.902784782236101,0.006119567856190169,0.12519999999999998,0.018539545246513554,0.9098066240026038
mobile_wt,2.0659804149440983,0.003921310972017296,0.03386666666666667,0.06707771015384223,0.6516349661647399
int_memory,0.6342381711547175,-2.2968659795613616e-05,0.013866666666666666,0.04027076754147458,0.14405960065203438
n_cores,0.5612452018085765,0.008518275352903736,0.008666666666666666,0.2803011888743792,0.7623736293719949
pc,0.46091514715074805,0.005785709397108488,0.0064,0.08956425036222539,0.07870967215770219
talk_time,0.40747629168219746,-0.0054619953072227445,0.007066666666666667,0.08524307428328397,0.5938450652669316
sc_w,0.3665401932033484,-0.0031643644691578218,0.006266666666666668,0.10199749515407004,0.5552643623722971
sc_h,0.34394186206137384,0.0003275914398552841,0.004933333333333334,0.0944541627808308,0.6258898703904409
wifi,0.21004834125613603,-0.004617789042111581,0.003333333333333334,0.4200996698876959,0.27355205607371946
blue,0.10886635129626222,0.006119567856190135,0.0004000000000000002,0.21778845643736786,0.7907093046308227
touch_screen,0.09025500888302757,0.003053867849673445,0.0012000000000000001,0.18051804079009112,0.10774487209992833
dual_sim,0.08497955820555587,-0.0008154270462967286,0.0017333333333333337,0.17013333294404395,0.8185865346543566
fc,0.05926348707616929,0.0023108975386177577,0.0,0.01677133487635972,0.010914015011318057
clock_speed,0.052034671384184744,0.004890552903185447,-0.0005333333333333334,0.07199590365029145,0.42299132571105724
m_dep,0.04943740399841067,-0.004890552903185454,0.0,0.198064688497233,0.025283694482007846
three_g,0.04514433171369062,-0.005461995307222766,-3.4694469519536144e-19,0.12446329791594939,0.7584615671194122
four_g,0.041924419063237794,0.005029206968738782,-0.0001333333333333334,0.08407618011751324,0.2609878793674709
