,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
V1,0.3801071846683815,0.1670881157340985,0.20219396811259407,1.0,0.5553934552138511
V2,0.21210482694336844,0.12403887177330282,0.18719251812588036,0.6976285584461793,0.5622993876715757
V3,-0.15650459274451275,-0.08085346816572155,-0.011091533535555254,0.6448297828973207,0.5612324231398816
V4,0.29583900451420675,0.1179172502334267,-0.0009215908038264775,0.5480386009007067,0.6864624892186545
V5,0.17854005564703854,-0.10464297990537681,-0.06839852016727684,0.5088708984055786,0.582453384827684
V6,-0.0046983121761197495,-0.05226386362471817,-0.13778798875107331,0.45983575643812746,0.5306272351383182
V7,0.10900928392664004,-0.12333463746270863,-0.0669241310883597,0.43752801895075444,0.4805259687379129
V8,-0.41505160274520825,-0.08865107031125463,-0.14339658102647154,0.41955509623114207,0.5395219511947404
V9,0.24037675035543868,-0.08238715277777775,-0.06303357197277208,0.3782821701761931,0.5568080148568147
V10,-0.20064607176698898,-0.15199145804154998,0.018143399022959583,0.36207241471913115,0.5409639909825276
V11,-0.05419447014510903,-0.14305997233751222,-0.12121013138967078,0.3492076561265404,0.6573223531096035
V12,0.11234201132073152,-0.14746765296565786,-0.12399579085236112,0.32989053712200106,0.554580692329718
V13,-0.005411475239370235,-0.1933892730110337,-0.09498143147420961,0.3167498951617264,0.538813295003344
V14,0.043845626815272286,-0.195831866410182,-0.10970874537753672,0.28977150512481836,0.655362824511423
V15,0.10367973521760748,-0.27796827763117443,-0.07965859207309674,0.2786858369281178,0.6987087201928358
V16,0.04454910902318945,-0.2065288488362825,-0.021258642352988206,0.2615561362614361,0.661332662650304
V17,0.11853515734273541,-0.2966714704174353,-0.17443151610690935,0.25321380936374516,0.5819156786210228
V18,0.16339490185500383,-0.24688205261779508,-0.1583612718736562,0.2445027142196974,0.5898662310972936
V19,-0.07535633845423552,-0.26753661881419233,-0.08145070377658208,0.22463336363380673,0.4419338244144777
V20,0.030560009927800846,-0.232283924621678,-0.09845916608754297,0.21515408434402036,0.47098010981716504
V21,-0.07627262561668806,-0.2249028877302954,-0.11258643048191619,0.2073159643234572,0.46235452001766414
V22,0.1798711679347702,-0.25978027643984425,-0.09539605760421632,0.20004812600773972,0.545655102441503
V23,-0.1694973275633286,-0.29256167571195146,-0.19378446609883468,0.19349571773288024,0.49550701287519644
V24,-0.1003659341885008,-0.2996124387254902,-0.08590518231734916,0.18696596154758616,0.5172314285167474
V25,0.01045790177310361,-0.26610824487315254,-0.26334733487948825,0.17419347419677592,0.6333491042835547
V26,-0.186163752674304,-0.3187372238021225,-0.19410895849213325,0.16890947511098242,0.5058384663635435
V27,-0.06893690796153303,-0.31218571282679736,-0.1599799212902628,0.15988812149781087,0.5227969926267108
V28,0.21984344399626432,-0.33468863066059756,-0.2620374144438861,0.1562698193625184,0.48019323061937086
V29,0.08134456671498753,-0.3246082567935711,-0.23891966944489484,0.15370367931535664,0.7051279098521683
V30,0.05453165452090505,-0.32349132335861175,-0.2509196360470215,0.14716453222918383,0.4366716461454647
V31,0.029391977487888864,-0.3108896973423516,-0.2128446672375425,0.14250551498495487,0.46499641011085546
V32,0.11807942636786355,-0.34621498599439776,-0.19001060083511098,0.13569213495152763,0.4311940818465783
V33,-0.12101326177570489,-0.31030812324929974,-0.17949496525000538,0.13168611864084867,0.5545313394992949
V34,-0.0063418224944395045,-0.30509103641456586,-0.2209371244004615,0.1269722101724631,0.6380588915180246
V35,0.006267230341647982,-0.32986344537815127,-0.20566557278216827,0.11913616653533333,0.4916742232816415
V36,0.06691586071854537,-0.3042296918767507,-0.12429930904335036,0.11539223723770843,0.6447141906900341
V37,0.20626210904703168,-0.3101295518207283,-0.13355970769175762,0.11255573536335045,0.592453573627777
V38,0.13069638605935063,-0.2981478445036551,-0.14323440487123193,0.11012960758368756,0.5957139474215859
V39,-0.22442829261937927,-0.3500350140056023,-0.2580323072247476,0.10409137566259302,0.6709224592870675
V40,0.005637540608005902,-0.3371288515406163,-0.16078116001656725,0.10253941911266012,0.5463674908266712
V41,-0.22775328206174686,-0.34239845938375346,-0.23042433841368373,0.10021932131859163,0.45996220551744216
V42,0.04621254551172458,-0.3471183473389356,-0.23590272424046052,0.09496421876185351,0.46955849898674185
V43,0.0339519580140158,-0.33526610644257704,-0.1970179164261756,0.09168157700747948,0.433807658967984
V44,0.14324550785918802,-0.3440196078431373,-0.18930236463561598,0.08862123118803379,0.47757874655367843
V45,0.11957443607457639,-0.3430987394957983,-0.25067655268028244,0.08255427555122864,0.49186387627810735
V46,0.030727197345102996,-0.3189425770308123,-0.16084878550305037,0.07957230347494344,0.515836040392068
V47,0.01478954340930011,-0.30538165266106443,-0.22868300891297486,0.07813319865005526,0.727132489527245
V48,0.13002877063201534,-0.31262605042016806,-0.19465677923375066,0.07712363808898905,0.6169383686688802
V49,0.006471282955587915,-0.28043810207009634,-0.19921086037249083,0.0755146469774667,0.5128869918470768
V50,-0.12571068181132541,-0.3595868347338936,-0.2223252193844639,0.0736130737737465,0.5091253815598368
V51,-0.012520698745099784,-0.32477591036414566,-0.10233832416585457,0.06985161935891461,0.5912322516834054
V52,0.16662191481187968,-0.32304271708683474,-0.15755382832788423,0.06841815406752655,0.563543607934674
V53,-0.1018770854730387,-0.3297163865546218,-0.2741554404359297,0.06688375524159462,0.5860491731009904
