feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
V40,3.465269903153935e-08,36343926110.22239,-1,-1,0.45484079766095153
V5,2.1642703360342694e-08,1.6844822444045898e-05,-1,-1,0.7300177546449778
V112,1.906880394399187e-08,-47696181282.15856,-1,-1,0.6970821108516606
V2,1.0740602820131939e-08,2.0345052083333332e-05,-1,-1,0.5915808712951018
V63,8.278900295410417e-09,13710185879.007744,-1,-1,0.9453222297877379
V92,7.937132782070315e-09,46713901734.32566,-1,-1,0.5266825991091119
V58,7.519442836223804e-09,-30417262459.003727,-1,-1,0.7876918441404788
V3,6.7214429985628324e-09,-40541070030.39117,-1,-1,0.836989026239238
V61,6.170270964120533e-09,7.2479248046875e-05,-1,-1,0.735760785134459
V33,5.982277230087063e-09,-25578402414.28822,-1,-1,0.09072950494237364
V102,5.845077188156671e-09,6.357828776041667e-05,-1,-1,0.9408758870000417
V8,5.429687873943051e-09,26683952512.29057,-1,-1,0.32729594733006295
V100,5.1636580128426855e-09,0.0002950032552083333,-1,-1,0.945365322330766
V6,5.014819749738713e-09,78209726647.12685,-1,-1,0.7361788591191059
V107,4.627079051179526e-09,36343926110.22193,-1,-1,0.8979458598704027
V116,4.399899424134342e-09,-11046031120.180887,-1,-1,0.6272761972448995
V90,4.261218863751963e-09,-10444429803.120789,-1,-1,0.3452265817851621
V108,4.058905729828114e-09,34733307624.05842,-1,-1,0.2883726876844205
V104,3.966917343523207e-09,260850424.9938914,-1,-1,0.8919032132922037
V106,3.746158818529802e-09,-1.0172526041666666e-05,-1,-1,0.08017040335150427
V1,3.4907491485322146e-09,11924021405.589096,-1,-1,0.9956643373999193
V62,3.413882956095697e-09,-0.00012715657552083334,-1,-1,0.054811675211313915
V72,3.357110878815266e-09,-27433205815.25159,-1,-1,0.0670059141573176
V91,3.3301348537901964e-09,-78209726647.12679,-1,-1,0.4862269051481045
V32,3.258104052239801e-09,0.0008341471354166666,-1,-1,0.6476401984613512
V23,3.1692060160670053e-09,-34733307624.05702,-1,-1,0.8212913207560718
V39,3.120103800255778e-09,-76277822345.53145,-1,-1,0.024413473728453927
V89,3.1180907017400474e-09,10908312175.366539,-1,-1,0.06336918005953562
V60,3.026745635929517e-09,22880011006.131138,-1,-1,0.8808472479559084
V103,2.8494151880581217e-09,40708911920.04737,-1,-1,0.06562759122515893
V59,2.802715423418271e-09,7.2479248046875e-05,-1,-1,0.0809590415690482
V16,2.7927476044683188e-09,71738329460.00726,-1,-1,0.040058679813694154
V38,2.777343634676172e-09,-7.120768229166667e-05,-1,-1,0.7472866966103026
V15,2.6859427883237294e-09,-73274583696.44551,-1,-1,0.9801840412931456
V71,2.60496680222386e-09,-26819072462.038586,-1,-1,0.5587904580300573
V115,2.5512465900179277e-09,20350497888.920547,-1,-1,0.52068763935644
V4,2.529644213421081e-09,219008128.64038968,-1,-1,0.27917087833958754
V7,2.4572221845750207e-09,-10347513971.094553,-1,-1,0.2466541770684081
V24,2.3296503421626256e-09,-10347513971.093744,-1,-1,0.4524413682169097
V31,2.2385968715064026e-09,0.0014546712239583333,-1,-1,0.29579042821423995
V80,2.126586483417176e-09,6040702107.134877,-1,-1,0.5801193853551997
V79,1.415302480384063e-09,0.0003255208333333333,-1,-1,0.9391479324719096
V35,1.1481925558723276e-09,34809015642.98071,-1,-1,0.30483660222443065
V110,1.1298505546121905e-09,-26819072462.03864,-1,-1,0.10936492059205627
V109,1.0783711681421657e-09,-4.0690104166666664e-05,-1,-1,0.9566269299160488
V111,9.71215149948532e-10,5204506417.278958,-1,-1,0.275942736208622
V36,9.343964156800494e-10,3.4332275390625e-05,-1,-1,0.7033044879085036
V97,8.895314045671708e-10,-3.0517578125e-05,-1,-1,0.2922643531261263
V37,8.504638199906971e-10,-3.5603841145833336e-05,-1,-1,0.8579221112309455
V47,7.302814922520796e-10,-2649307053.4307632,-1,-1,0.6334023028713736
V48,6.746579613553633e-10,0.0003865559895833333,-1,-1,0.860382650996037
V113,6.299059160692359e-10,-5.086263020833333e-06,-1,-1,0.4963287349827443
V64,5.72444466344971e-10,-219008128.64039102,-1,-1,0.6746529665886649
V57,5.602190815345623e-10,-19183391187.80211,-1,-1,0.7944787532623591
V18,5.270855934722904e-10,-59061175300.44229,-1,-1,0.7686063908354664
V55,4.97910339616979e-10,0.000244140625,-1,-1,0.9460954935290011
V17,4.897979375165921e-10,5.054473876953125e-05,-1,-1,0.4706526304295383
V34,4.767059483263456e-10,5171598103.573464,-1,-1,0.4797829513924986
V20,4.576712420122747e-10,-78969910789.01389,-1,-1,0.5311217262917768
V70,4.452360938553531e-10,83361663972.99095,-1,-1,0.1752674031866539
V25,4.3511993904701115e-10,-57588809645.79009,-1,-1,0.240511492513802
V10,4.3495179644436505e-10,13710185879.007528,-1,-1,0.8918226281365728
V30,4.2183398194114736e-10,5.4395597703816904e-05,-1,-1,0.1327120017886585
V114,4.0807371957479426e-10,1853338897.0080101,-1,-1,0.8749931395370971
V99,4.036451983142411e-10,-6233047559.40092,-1,-1,0.7999038671948497
V27,3.914360219155915e-10,-26683952512.290264,-1,-1,0.012422991493045044
V69,3.7714419185755763e-10,78044508716.4231,-1,-1,0.3655711439731195
V26,3.691077804202191e-10,-32129699637.30907,-1,-1,0.5584869664391777
V118,3.5387126514465154e-10,20719657309.82401,-1,-1,0.9695746055424465
V28,3.5040586358231724e-10,-4.132588704427083e-06,-1,-1,0.7317862838999784
V29,3.5012987211916807e-10,5204506417.278968,-1,-1,0.9499338956028706
V41,3.189135142803484e-10,-58519198729.092865,-1,-1,0.7718350078063004
V42,3.173639380322362e-10,-9.5367431640625e-06,-1,-1,0.8741990380222714
