feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
V97,0.00030184222713770424,0.00012969970703125,-1,-1,0.0477328729373212
V15,0.0002635799663425332,0.000690460205078125,-1,-1,0.08523386169981673
V71,0.0002556261141005407,-109389113556.52553,-1,-1,0.19729575426112622
V99,0.00023002696284846655,117440208850.74767,-1,-1,0.12474980539632496
V100,0.00022946691898222777,-10312971957.753912,-1,-1,0.2979611126514917
V112,0.00020382819698180454,-113879151.7925555,-1,-1,0.2845354949453649
V73,0.00019852837249229084,53910242804.14893,-1,-1,0.03697017235631861
V47,0.0001923102009595098,-63735527913.73346,-1,-1,0.7133695170214084
V59,0.00018529755263977827,33028423946.520355,-1,-1,0.5277917356073935
V24,0.0001831227777932692,16408920232.474604,-1,-1,0.8017686786414895
V62,0.00017976252588967293,-0.00010172526041666667,-1,-1,0.4461890507033418
V103,0.0001781140749825351,4.3233235677083336e-05,-1,-1,0.9829505625076392
V26,0.00016910601483299096,27415287276.33107,-1,-1,0.40930931939233284
V60,0.00016305274127937576,-0.00019200642903645834,-1,-1,0.9204505916451052
V1,0.00016174355848552744,-2637476492.9978185,-1,-1,0.5058966167151256
V116,0.00016151406629250935,5606914491.295319,-1,-1,0.7143509788637289
V68,0.0001610462855107349,-117440208850.74763,-1,-1,0.8876748965071967
V70,0.00015507400649683952,66381239311.89538,-1,-1,0.4045057056501532
V16,0.00014580367432016558,0.00045013427734375,-1,-1,0.37243635740279957
V65,0.00014572090321360475,111174829172.34514,-1,-1,0.7883415789767165
V58,0.00013940410089325497,-56967554000.02236,-1,-1,0.27978074476278214
V23,0.00013008569520638465,0.0006378094355265299,-1,-1,0.22818200393016874
V32,0.00012943487294720936,0.00021489461263020834,-1,-1,0.14558430589848648
V2,0.00012650104866468364,0.00010585784912109375,-1,-1,0.7325518941170924
V28,0.00012126507601971622,36141534007.99064,-1,-1,0.8523904794168121
V7,0.00012008097448671473,0.0003465016682942708,-1,-1,0.8485950917146379
V4,0.00011790340803294378,0.000527727709287577,-1,-1,0.6470929709355302
V57,0.00011674652749450195,70441646410.47691,-1,-1,0.007902233503785383
V18,0.00011658219301671827,80754618368.23032,-1,-1,0.3606434064316779
V29,0.00011256743749107559,1.0028481483459473e-05,-1,-1,0.7946073463722961
V5,0.00010829898334805335,-1.9365942854072383e-05,-1,-1,0.3346075253126083
V90,0.00010756696334183665,0.0003306070963541667,-1,-1,0.7265092463995954
V8,0.00010620780743213035,-56967554000.02175,-1,-1,0.4391084609153618
V80,0.00010228364655972234,0.0007476806640625,-1,-1,0.09281956785672607
V31,9.654153692699364e-05,53092949861.63125,-1,-1,0.029762927014966967
V108,9.577545308121539e-05,0.0004145304361979167,-1,-1,0.6277443518155853
V104,9.24758951233405e-05,73619181702.96703,-1,-1,0.8053875621092175
V89,9.167914935607264e-05,0.0003153483072916667,-1,-1,0.7741577871437526
V72,9.020579572808695e-05,0.000217437744140625,-1,-1,0.3015314123353431
V25,8.937304667359884e-05,-80508237137.96074,-1,-1,0.41340941874697845
V6,8.741574844589967e-05,72547353879.3425,-1,-1,0.1377724641783793
V39,8.710391229679439e-05,32355049642.636097,-1,-1,0.1643246817147156
V102,8.223398718768412e-05,-3.1789143880208336e-05,-1,-1,0.4531471605522952
V98,7.842004227550518e-05,-1.7801920572916668e-05,-1,-1,0.6509624193708824
V63,7.511588467745787e-05,7.661183675130208e-05,-1,-1,0.2051335713832062
V48,7.461652915746533e-05,0.00066375732421875,-1,-1,0.6603616317794719
V69,7.426382405477345e-05,11734791260.975473,-1,-1,0.7815630931314602
V91,7.315074926746398e-05,95524110799.26518,-1,-1,0.9869547002410485
V76,7.230999718740344e-05,-0.0003039042154947917,-1,-1,0.74005222231057
V30,7.09007140768733e-05,0.00037364353765481184,-1,-1,0.36177436965510434
V74,6.619184708721476e-05,-6.357828776041667e-06,-1,-1,0.3344929247349019
V79,6.519230568368404e-05,79869497313.98494,-1,-1,0.28392785946827015
V10,6.4584240588223e-05,0.0003237724304199219,-1,-1,0.7690331638350156
V66,6.190691822086076e-05,0.000308990478515625,-1,-1,0.6520370873968587
V17,5.736699336352518e-05,-813369437.0609279,-1,-1,0.7548452125117824
V42,5.715440991348862e-05,-63735527913.733925,-1,-1,0.6601761722752366
V78,5.666890584467252e-05,-36058439092.05903,-1,-1,0.9919239695429073
V20,5.481574213970801e-05,0.00013725173892533823,-1,-1,0.15161121452753434
V3,5.0224837174540844e-05,31322709064.17419,-1,-1,0.09929423894208467
V106,4.892680288995761e-05,949961085.1617419,-1,-1,0.5655972265798384
V22,4.706924204146692e-05,9.059906005859375e-05,-1,-1,0.4217222093583326
V107,4.336264312406253e-05,-36141534007.98995,-1,-1,0.8943388978953616
V92,3.890768899647766e-05,0.00012652079264322916,-1,-1,0.11044190624345962
V61,3.643530844428935e-05,-20455704093.22006,-1,-1,0.7002950638826048
V9,3.586245629557573e-05,-63677758706.80985,-1,-1,0.4157498387189157
V27,3.507723395457998e-05,5.086263020833333e-06,-1,-1,0.4587530639159719
V14,3.485242404747004e-05,33028423946.520733,-1,-1,0.5050227282290294
V110,3.41226080556985e-05,-0.000213623046875,-1,-1,0.5955489146250329
V21,3.350230059900207e-05,20455704093.220146,-1,-1,0.7535071710471084
V67,3.1378554232401994e-05,5.340576171875e-05,-1,-1,0.6974709655735687
V46,3.117758829301661e-05,-0.0002644856770833333,-1,-1,0.6316075621548821
V41,2.9490102009331772e-05,0.0003814697265625,-1,-1,0.7591923850558231
V75,2.945168458129864e-05,-2637476492.998647,-1,-1,0.7250986823356191
V96,2.8348760879124135e-05,72547353879.3424,-1,-1,0.35447334590414925
V45,2.831377509811841e-05,2243277126.3486686,-1,-1,0.05780982954601177
V12,2.7994884332923042e-05,66381239311.89559,-1,-1,0.8091452157025287
V19,2.7405388940857564e-05,-2.2400057377178783e-06,-1,-1,0.6649952549148446
V49,2.6801385314562178e-05,0.00014241536458333334,-1,-1,0.5197783632029678
V36,2.6477742054348182e-05,-11446832660.522669,-1,-1,0.08477821453141887
V53,2.4991919857189847e-05,21572080639.473164,-1,-1,0.5536104282255945
V115,2.466914754556801e-05,0.00011698404947916667,-1,-1,0.6724338020382187
V77,2.367478406220132e-05,-57169030943.45841,-1,-1,0.1260056459938712
V50,2.306811525612214e-05,5.5948893229166664e-05,-1,-1,0.29572442486364614
V34,2.177213597890826e-05,2.7974446614583332e-05,-1,-1,0.8062468656700007
V13,2.1470730334584854e-05,0.00015302251798933266,-1,-1,0.341320069780635
V51,2.1174725665781887e-05,95524110799.2649,-1,-1,0.4020028180314812
V55,2.0456431680742986e-05,-11734791260.97547,-1,-1,0.7426975020296516
V111,1.9774794191346202e-05,1031351372.9111685,-1,-1,0.350337135040772
V43,1.9691496225434666e-05,-0.00015131632486979166,-1,-1,0.64146575444156
V44,1.8495911177979793e-05,-36058439092.05892,-1,-1,0.9025111315738951
V64,1.6910347541884732e-05,52047101063.49381,-1,-1,0.5444252910044765
V11,1.6678196644939754e-05,3.550930065221265e-05,-1,-1,0.24531606461713729
V40,1.6619989283680892e-05,0.00020726521809895834,-1,-1,0.061468328485386525
V56,1.571504416339854e-05,-61690906510.426,-1,-1,0.9092308532011312
V35,1.511691005113861e-05,0.00028228759765625,-1,-1,0.9436428403078108
V33,1.0906966850508416e-05,-0.00010553995768229167,-1,-1,0.009948713463736492
V52,1.0872769053585295e-05,-109389113556.52538,-1,-1,0.6808706574200868
V114,9.207839926188925e-06,9.663899739583333e-05,-1,-1,0.7148544682023356
V37,9.052114422407785e-06,-105562823266.62384,-1,-1,0.314804571879289
V38,9.049078014984883e-06,53910242804.14915,-1,-1,0.9819449243871319
V109,8.775906881620458e-06,-0.00016276041666666666,-1,-1,0.5332886565066558
V101,6.763593617920336e-06,-0.00012461344401041666,-1,-1,0.736858695784311
V95,6.3455842169053175e-06,-6.103515625e-05,-1,-1,0.6269895323179615
V54,6.177110698510541e-06,0.00018056233723958334,-1,-1,0.3043230229731726
V118,4.506854008771564e-06,0.00018056233723958334,-1,-1,0.24763333130796938
V93,2.2436007712024844e-06,56137679570.54724,-1,-1,0.05994573862540298
V87,2.1415644575390603e-06,111174829172.34508,-1,-1,0.5925036017499132
V113,1.85861793010075e-06,-813369437.0610708,-1,-1,0.7847892628243508
V105,1.699623338301292e-06,-1063840236.954764,-1,-1,0.9890000788986222
V94,1.410169776652976e-06,-79869497313.98485,-1,-1,0.3729788680356476
V88,1.0906934434297003e-06,-0.00017801920572916666,-1,-1,0.24133977914027105
V117,5.513631749791473e-07,43038709151.603615,-1,-1,0.5196666474455023
V82,8.226386148840361e-10,-6.230672200520833e-05,-1,-1,0.5213358651154404
V84,7.203357467496794e-10,-0.000274658203125,-1,-1,0.16002734022901755
V85,7.121166794156453e-10,11446832660.522776,-1,-1,0.027891225295657907
V81,4.6549312499738696e-10,-5606914491.295105,-1,-1,0.5517858513612479
V83,4.0640899406666954e-10,-105562823266.62392,-1,-1,0.7570463242805414
V86,3.9880500237840767e-10,5.9763590494791664e-05,-1,-1,0.7965986992413747
