feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
V30,0.029229609506676774,51778187266.786804,0.01584,0.4009721831655718,0.6500863878069779
V6,0.013614039328970548,0.0012599628159263427,0.010586666666666666,0.21626388303280683,0.3846626387437041
V4,0.012457218549735706,46163919150.99881,0.00824,0.01926157799151276,0.882695863558678
V60,0.006477020598233047,0.001678466796875,0.006213333333333333,0.11766559538500569,0.8140262175544687
V107,0.004779689537314216,-0.00060272216796875,0.00776,0.010430150287264326,0.15370338356962976
V98,0.004730226797510215,240807140569.49088,0.00456,0.007732444161943736,0.3771982270526456
V101,0.003766901779132911,57775456931.57412,0.006613333333333334,0.012934321803890928,0.13006653011537228
V91,0.0037623471025175245,0.00011189778645833333,0.0041333333333333335,0.010645317868015787,0.9642898231260307
V92,0.0030506632960477804,0.00011698404947916667,0.006026666666666666,0.021858420388135617,0.29417772180449153
V59,0.0030447789143968813,0.0012664794921875,0.005146666666666666,0.008136971978651188,0.03230638324232715
V117,0.0028866122953843136,-115831775044.39575,0.0024,0.03405925652933633,0.3178590053721895
V97,0.0024995263266994186,-108149439597.85881,0.00304,0.014156614243295826,0.5138468527745739
V69,0.0024775715527118876,-21365372221.671246,0.002586666666666667,0.03554269509031106,0.7988217524895704
V105,0.0016524790331537151,-17253116178.468464,0.0010133333333333335,0.007371598148701324,0.7096892963163141
V70,0.0014228664152758851,111888375190.0778,0.0010133333333333335,0.016284523189161036,0.28763865450722026
V89,0.0012868069028252231,-0.0004425048828125,0.0015733333333333335,0.01260111913446985,0.6033869772886415
V58,0.001049473401198124,0.0005289713541666666,0.00072,0.013193479435662878,0.753593948045165
V68,0.0010105086518028697,-77723059308.58057,0.0008,0.011294720648588271,0.7843071728708866
V47,0.0006070328885771201,129304729576.83574,0.0004,0.0017622209058610055,0.02527214125447208
V61,0.0005904738617345673,-302551108774.8107,0.0016,0.0022165045451913723,0.1024800063379766
V42,0.0005844273464891476,31241904000.782715,0.0007733333333333333,0.0001010243568216953,0.8413893024169117
V113,0.0005344944055227542,-0.0003865559895833333,0.0007199999999999999,0.001017782699322561,0.4905509411536766
V110,0.0004993923945509069,-122037267427.52136,0.0006400000000000002,0.0023404211730251017,0.9323818655711908
V115,0.00043281444572507616,-151236655577.8336,0.0002666666666666667,0.006785217995483765,0.35808558816373937
V28,0.0003706113457733514,-0.0009765625,0.0004,0.0033926089977418827,0.672373713051317
V103,0.00027116165846956144,-1.52587890625e-05,0.0002666666666666667,0.0030156524424372285,0.255016148132422
V33,0.00026194816422959625,-9.250452080722393e-06,0.0003733333333333334,0.004440215738134373,0.6943119737273263
V66,0.00023185092709636756,-0.0002721150716145833,0.00010666666666666667,0.002261739331827922,0.5612705527908106
V10,0.00015061059617065513,-64074540109.86381,0.00013333333333333334,0.002261739331827922,0.27359587995611123
V96,0.0,-0.00023396809895833334,0.0,0.0,0.17379513185530515
V73,0.0,0.00017293294270833334,0.0,0.0,0.3875546486419903
V79,0.0,-101276612689.39906,0.0,0.0,0.2513411283723057
V78,0.0,69002608811.11281,0.0,0.0,0.012965237674638308
V77,0.0,0.000274658203125,0.0,0.0,0.5521245975330635
V76,0.0,-43463542753.229614,0.0,0.0,0.31265398089463414
V75,0.0,208817641859.14502,0.0,0.0,0.9758227220561263
V74,0.0,14676082991.997091,0.0,0.0,0.9567019700118268
V71,0.0,33219740199.610626,0.0,0.0,0.6644935685916236
V72,0.0,-302551108774.8105,0.0,0.0,0.9264848111687796
V108,0.0,98785837085.65532,0.0,0.0,0.32263002989351997
V109,0.0,-0.0011494954427083333,0.0,0.0,0.05085544119522678
V111,0.0,30296472963.123615,0.0,0.0,0.61560867609933
V112,0.0,62735441609.2853,0.0,0.0,0.661890210964939
V114,0.0,239847331940.9434,0.0,0.0,0.57267699055493
V116,0.0,-0.00020090738932291666,0.0,0.0,0.7840314485705014
V80,0.0,-0.00010172526041666667,0.0,0.0,0.620561695611849
V81,0.0,2.0345052083333332e-05,0.0,0.0,0.7809248928758854
V95,0.0,-129304729576.83586,0.0,0.0,0.18697658153232366
V104,0.0,-150274474185.00818,0.0,0.0,0.3305627887422691
V99,0.0,-9.1552734375e-05,0.0,0.0,0.42850781440073427
V94,0.0,0.0002593994140625,0.0,0.0,0.6826588517015352
V93,0.0,30296472963.1236,0.0,0.0,0.17742589848826318
V100,0.0,0.0004069010416666667,0.0,0.0,0.5565986205953329
V102,0.0,1.0172526041666666e-05,0.0,0.0,0.5839860576839312
V90,0.0,240807140569.49057,0.0,0.0,0.7761467451223322
V88,0.0,100668202261.28491,0.0,0.0,0.5466151367012413
V82,0.0,0.00011189778645833333,0.0,0.0,0.8701180923213351
V87,0.0,0.0004170735677083333,0.0,0.0,0.7551077052085499
V86,0.0,0.0006917317708333334,0.0,0.0,0.6476323855500006
V85,0.0,-57962727317.658,0.0,0.0,0.7046290688927878
V106,0.0,0.00013224283854166666,0.0,0.0,0.15480569779828623
V84,0.0,152060955083.60965,0.0,0.0,0.9114863770737386
V83,0.0,204790549070.77994,0.0,0.0,0.8299834819551445
V67,0.0,-11832470378.98234,0.0,0.0,0.2375954725662045
V1,0.0,-11832470378.982115,0.0,0.0,0.1283817820515778
V65,0.0,160624285494.62888,0.0,0.0,0.7424127358728605
V32,0.0,-108964963309.36388,0.0,0.0,0.5038934390432497
V29,0.0,-74346979389.863,0.0,0.0,0.9813354962348673
V27,0.0,-200583622553.59726,0.0,0.0,0.3452935808985811
V26,0.0,-0.00011185493414377484,0.0,0.0,0.29057949547925066
V25,0.0,7.362717749578125e-05,0.0,0.0,0.6241675892053882
