feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
V6,0.008093353075373625,0.000408172607421875,0.0005066666666666668,0.0651297840097011,0.39885849695774833
V28,0.003855003336962451,0.0007024284293782103,0.0,0.06881537918068341,0.8854130386418814
V1,0.0037718889143334186,0.0005082383797254495,0.0,0.028470685449645733,0.32317084668686213
V99,0.003716484887096168,-21723430508.121662,0.0005066666666666668,0.02505035465817205,0.6184993744874929
V2,0.003661894618695035,0.0005868275960286459,0.0,0.034601861120282414,0.05553502398580301
V3,0.003498540159402017,0.0014131863911946614,0.0,0.029970761823725992,0.07072408904996674
V29,0.0034788815187475346,-11140338074.855856,0.00013333333333333334,0.05015271161774061,0.47643968662976766
V30,0.0033754083296444128,-6501870366.317859,0.00013333333333333334,0.03161000903832345,0.5630570769335385
V26,0.0033667063491319435,0.0004285176595052083,0.0,0.059081339966352404,0.5126532256593649
V25,0.003227069827503565,-4492115925.25295,0.0,0.04820677292764626,0.832052874322659
V4,0.0032236654947953728,-32367827556.856995,0.0,0.027803395135983337,0.951900188641932
V62,0.0029694964938330026,5432575258.875876,0.0,0.01887071306891496,0.6608552539371698
V60,0.0029200396104742004,118724380990.4388,0.00021333333333333333,0.03513812079257314,0.4249135212080136
V65,0.0021919927420526513,-3.3060709635416664e-05,0.00010666666666666667,0.016656323392155108,0.254860204350709
V97,0.002070289251481661,35879127083.56821,0.0,0.01357210312938491,0.6018874401294544
V59,0.002027482638689182,-0.0003636678059895833,0.0,0.02323512818739646,0.10763217144199888
V27,0.001900623294202912,-111747107623.76195,0.00013333333333333334,0.024011561366248078,0.4896230358290852
V89,0.0016984615358319965,0.00069427490234375,0.00010666666666666667,0.017016000184570525,0.5343760029816271
V91,0.0014918681861169274,7.375081380208333e-05,0.0,0.013460307784586248,0.11667826036590778
V98,0.0014829008239018798,-5974970927.236043,0.00010666666666666667,0.00824125399010028,0.48672249393761136
V68,0.0014600952063847986,-5432575258.876033,0.0,0.011240281644290848,0.11393549099949118
V61,0.001445092914960282,0.001079559326171875,0.0,0.015156629757881337,0.09448436248791581
V58,0.0014101619860231976,-0.000335693359375,0.0,0.01129664337651634,0.0450949036584386
V90,0.001399261192805765,-84491965843.45763,0.0,0.015423781989028964,0.0058470695833402475
V11,0.0013222654139858848,53939460518.94928,0.00013333333333333334,0.008360760921551217,0.852345833243599
