,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
gender,0.42572267633059696,0.3333333333333333,0.05331166065378179,1.0,0.5747628126246279
ssc_p,0.5734040533190582,-0.016145380292075757,-0.0734629845314347,0.7240699100617495,0.7648194861718514
ssc_b,-0.17010735662404375,-0.06220890313039681,-0.09911377393877041,0.6095264599003137,0.5388268774392256
hsc_p,-0.02845963550654514,-0.15042025763891206,-0.04414446696580421,0.4183350414155615,0.7109256529502783
hsc_b,0.0530658078179429,-0.23061548387175193,-0.10571256587163975,0.24583780952028098,0.5872392015586531
hsc_s,-0.025788820204378265,-0.27466378775600503,-0.02617585306840431,0.19884775202485258,0.5004481035273222
degree_p,0.11542296503794876,-0.304734515992883,-0.08497153343143941,0.14621368903684606,0.7142219199270564
degree_t,0.019480370870881825,-0.30439082192938066,-0.09642620364824428,0.12145683651191909,0.6934289720218466
workex,0.03572303360648614,-0.3230651497604287,-0.21574711726189477,0.08569615661591862,0.4495855739935492
etest_p,-0.014055208862447143,-0.3167530712809683,-0.27944502611994265,0.07228685827831667,0.688177637189988
specialisation,0.029528460351741923,-0.33509700176366847,-0.2752605610860729,0.030856884265955186,0.6640009193339665
mba_p,0.0032901199948714263,-0.33055555555555555,-0.31804021613359756,0.012593742655359256,0.47934341040019723
