feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
etest_p,2.0297599422489412e-08,-0.0004358253421826252,-1,-1,0.5668861282384499
hsc_p,1.891308594768315e-08,-0.0005214766888254292,-1,-1,0.7123232482004954
ssc_p,1.3151858391514108e-08,-0.0018426701426506042,-1,-1,0.27198059502135374
degree_p,1.2765307580967179e-08,-0.00025158531814711014,-1,-1,0.4551977776794275
mba_p,5.734125602246003e-09,-1.4288676163511552e-05,-1,-1,0.2551160810390781
hsc_s,1.2540406527774024e-09,-1.6462510314129857e-05,-1,-1,0.07707003128638534
degree_t,1.213785440005447e-09,0.000521476688825429,-1,-1,0.3601238955217533
workex,5.053390716833831e-10,-2.936340657655809e-05,-1,-1,0.49961000576138326
specialisation,3.9141872512810364e-10,0.0005214766888254294,-1,-1,0.3676877778568117
gender,3.801800977481301e-10,-1.6462510314130033e-05,-1,-1,0.8071078466573698
hsc_b,3.142564642849368e-10,7.998154564837926e-06,-1,-1,0.576651674714184
ssc_b,2.606781325952957e-10,4.9436736139770446e-06,-1,-1,0.06387198912314807
