feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,3.972255148272237e-08,8.359270568957123e-09,-1,-1,0.9288452089854253
degree_p,1.349328269203415e-08,1.969595419887075e-09,-1,-1,0.306823229297958
hsc_p,1.1816204704624382e-08,1.2258037069957771e-08,-1,-1,0.22323721398064245
mba_p,3.763962458814886e-09,1.9695954198870764e-09,-1,-1,0.9486981598499029
specialisation,1.8499260114205562e-09,-6.26874074254816e-10,-1,-1,0.9487881042212877
etest_p,1.5293028353191244e-09,-5.446144738889087e-10,-1,-1,0.728830955935999
hsc_s,1.3231314506964189e-09,-1.5011638753047358e-09,-1,-1,0.1753516299902208
hsc_b,1.2683116212984359e-09,2.7168159697251336e-11,-1,-1,0.5889501557831036
ssc_b,1.088076891909993e-09,1.8004897480346652e-09,-1,-1,0.7869917925955768
gender,1.0009921657457173e-09,-1.7394801802665218e-09,-1,-1,0.693560398292543
degree_t,8.625623167655598e-10,-8.327511303986142e-10,-1,-1,0.6884984395989572
workex,1.6987855934991194e-10,-1.969595419887077e-09,-1,-1,0.1273483647235355
