feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,0.231930410519758,0.05900621118012422,0.22236024844720498,0.41113386323363943,0.23816759452086567
hsc_p,0.12913664517747805,0.03381642512077292,0.10062111801242238,0.18494006131938584,0.05989507565318963
mba_p,0.09541944525437618,0.016563146997929587,0.1267080745341615,0.14225578817142617,0.37249197407408075
degree_p,0.09536139559594083,0.0424430641821946,0.09937888198757763,0.12779063714851904,0.09302663835808822
etest_p,0.02859876581262427,0.005693581780538304,0.043478260869565216,0.0541859627289397,0.519759218492037
gender,0.01594492347685594,-0.004485852311939272,0.017391304347826087,0.032815047752154665,0.5298144890600125
workex,0.015172137550198686,-0.002415458937198061,0.011180124223602483,0.018751455858374098,0.8972874719314592
hsc_b,0.012729648252517295,-0.005693581780538303,0.014906832298136646,0.028127183787561145,0.9969592701075485
ssc_b,0.0,-0.0058661145617667455,0.0,0.0,0.4920288768498976
hsc_s,0.0,-0.01449275362318841,0.0,0.0,0.7116524747001027
degree_t,0.0,-0.004485852311939274,0.0,0.0,0.9212744029721064
specialisation,0.0,0.009661835748792282,0.0,0.0,0.7008469096986796
