feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,1.7723856488717638,0.06208744417347595,0.17267080745341612,0.19516481574513161,0.03464944373150591
mba_p,1.1173167794569174,-0.012405213822053666,0.058385093167701865,0.23245238774261978,0.884652516224965
hsc_p,0.869697052990342,0.031038182279260227,0.08198757763975154,0.10216688452270666,0.24578477924524544
workex,0.6063937670198071,0.006368093370411321,0.04099378881987577,1.360188026559399,0.27977598743897136
degree_p,0.5909608843528912,0.011913615232158484,0.04099378881987577,0.10396006378992365,0.5506886652039805
degree_t,0.5599988520760958,-9.294629387091592e-05,0.021118012422360243,1.0915724353033898,0.06097906893284277
ssc_b,0.4008679364509682,0.0016224503136372515,0.008695652173913038,0.8032543120551595,0.6191765488458958
gender,0.36573929046193215,-0.011913615232158475,0.014906832298136644,0.8061503527265089,0.8834237988936261
etest_p,0.24941508845046678,0.0003844677012653181,0.012422360248447204,0.022101805806396677,0.1372360171320648
hsc_s,0.1938607728648449,0.0012535606933429778,0.01614906832298136,0.33989888348414804,0.41199220629616506
hsc_b,0.030666890881356185,-0.0007576210872537291,0.0,0.06558716819600939,0.29510516299971645
specialisation,0.023384491125135465,-0.00636809337041131,0.0,0.04729630106543666,0.19945780666658663
