feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,0.1230499369584826,0.038892339544513474,0.10062111801242235,0.2581189872458911,0.06046885958820569
degree_p,0.10627168467024908,0.02135093167701863,0.08322981366459628,0.20275875500975438,0.4154319943754019
hsc_p,0.10348620142240797,0.03439268461007591,0.06832298136645962,0.23344010985804087,0.506610604274927
mba_p,0.030706947312349516,0.00520703933747411,0.021118012422360246,0.10871685544247608,0.2774677357345601
specialisation,0.029112202478525195,0.003171152518978601,0.011180124223602483,0.026646345648863635,0.616047055666748
workex,0.028149818044768495,0.02135093167701863,0.007453416149068323,0.030716721971013463,0.08242781192464588
etest_p,0.014632267552277194,0.0017080745341615002,0.009937888198757763,0.05884056691939927,0.5365648160700154
gender,0.014481431858591595,-0.0014113181504486017,0.0,0.01995310246984969,0.03982686193718976
hsc_s,0.007096919967966482,0.0032332643202208438,0.0,0.019688051063325735,0.5010489655070751
degree_t,0.006214725233591818,0.00239820565907523,0.0,0.015611555764693044,0.7018106386235163
ssc_b,0.0060821942597110564,0.005552104899931025,0.0,0.013397778455959228,0.7892899989930914
hsc_b,0.0060319868104225,0.003053830227743247,0.0,0.01211117015073344,0.628570696060576
