feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,1.385485091001614,0.052418209838175134,0.15527950310559008,0.1525615729709177,0.31887756732937955
hsc_p,0.8028342794270157,0.013187656938742404,0.0857142857142857,0.09431223991741089,0.8957647816143137
mba_p,0.7069382240135635,-0.00357734146872119,0.03975155279503105,0.1470751009739188,0.10013433730495758
degree_p,0.6648371079698115,0.020667762961149333,0.03850931677018633,0.1169561471570717,0.9915313234305708
workex,0.38559925533846423,0.004160102951457286,0.008695652173913038,0.8649288938757642,0.7668421684502729
degree_t,0.3463467718083998,0.004274545931403382,-0.001242236024844723,0.6751131502515815,0.5294322919654316
hsc_s,0.3076563003632888,0.0131876569387424,-0.0037267080745341684,0.5394182198130958,0.05859123027811852
specialisation,0.3073771163397381,0.003698741257794775,0.0062111801242236,0.6216855674658514,0.9739798617335022
gender,0.2430517810140472,0.004026943994327822,-0.0012422360248447255,0.5357266339851291,0.17981587369786922
etest_p,0.20805832216274875,-0.003630803438539758,-0.0037267080745341684,0.01843699457564707,0.9996057468113461
ssc_b,0.10560641202845213,0.000805646738867879,-0.002484472049689446,0.2116128483448908,0.21902018807309453
hsc_b,0.007792145275653166,0.001422902073576586,0.0,0.016665032812723246,0.7785382813284745
