,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
MinTemp,0.17543318820573642,0.3333333333333333,0.3333333333333333,1.0,0.7003531609261159
MaxTemp,-0.09797839669704184,-0.13009419466621355,-0.0007924607532735125,0.5404771106076733,0.6669324231680546
Rainfall,0.09355440141025273,-0.21837924311087584,-0.052257633406634474,0.40916970249016704,0.5891677464221786
WindGustSpeed,0.3654000697205099,-0.24630779209491935,-0.18849868901922592,0.31769618033601515,0.5089987128867223
WindSpeed9am,0.21561113190140832,-0.27336460090974574,-0.21437304900024648,0.2745096385720849,0.6137128119087364
WindSpeed3pm,-0.01900786744906227,-0.29241887623194335,-0.22085902000951294,0.2438776996503462,0.7039950227782753
Humidity9am,0.009935806316389548,-0.2971297930365781,-0.24419796572628882,0.2247959181171496,0.6178362063651716
Humidity3pm,-0.09085155189295317,-0.29164061060986657,-0.23998710531635212,0.20226241948545506,0.6693608232789492
Pressure9am,-0.05849241042223649,-0.30193748139238824,-0.24681250890248088,0.1936165600020774,0.4546468105620191
Pressure3pm,-0.016224952341025663,-0.30719194563255847,-0.2643058502362591,0.17831505495332353,0.5969322165632321
Temp9am,0.2294591745093664,-0.3118659313000569,-0.25969114208482336,0.16733899598269167,0.6709526166857914
Temp3pm,-0.03567362549244304,-0.3084114237951951,-0.27316250942556636,0.157378881544014,0.6087387197398044
RainToday,-0.2602521054293879,-0.31342100992863237,-0.2592216828040507,0.14845234537531524,0.5392636959209792
WindGustDir_E,-0.23170971588093622,-0.31823874988926243,-0.2785820148073417,0.13925978169841813,0.4679401152827176
WindGustDir_ENE,-0.050659023614331944,-0.3215685495279484,-0.2942290125711109,0.12707299970220928,0.6392855863055121
WindGustDir_ESE,-0.030554679349839704,-0.3238233174772924,-0.2948458780820538,0.11669292672501892,0.5365580259104018
WindGustDir_N,0.15110804838046782,-0.3225221422682142,-0.29595627466937907,0.11222733610669512,0.5564293950101119
WindGustDir_NE,0.04695674794635315,-0.3263753484968647,-0.29981737590428953,0.10518944421488619,0.5429625458568239
WindGustDir_NNE,-0.15154094013062902,-0.3290803173728413,-0.3056570921383621,0.09943317130374119,0.6397657955581323
WindGustDir_NNW,0.016547789124642692,-0.32324131455050886,-0.30217082656691346,0.0948014234910508,0.7370317478451601
WindGustDir_NW,-0.007695633730110081,-0.3287788633016269,-0.30901677586348947,0.08858277494991139,0.4783530144939648
WindGustDir_S,0.009722191172431763,-0.3267672666001186,-0.30445840389846635,0.08495580786230399,0.5645005975432607
WindGustDir_SE,0.2666650503327516,-0.3289488308584649,-0.3115169136438068,0.07991314320312076,0.6226834799992615
WindGustDir_SSE,-0.04360580998287078,-0.3314468670942024,-0.3087722458137958,0.07546405129959587,0.6723601153512665
WindGustDir_SSW,-0.11751329935000011,-0.32668794520356065,-0.3101418643373544,0.07282378045061134,0.5689117443563886
WindGustDir_SW,0.06016014113194664,-0.32795298802606004,-0.3031265733860385,0.0692929103411493,0.5424243250148019
WindGustDir_W,0.00018066697342712193,-0.3267068096857822,-0.31063593353125213,0.06732149590906226,0.6269551746624392
WindGustDir_WNW,-0.15788068977547307,-0.330824358750278,-0.3134840730961381,0.06386807442132772,0.7385343910083657
WindGustDir_WSW,0.2041407897489913,-0.32800718868002504,-0.31609372444279077,0.060399880919677594,0.5958924283721397
WindDir3pm_E,0.04985346215728428,-0.32727327151732855,-0.31579257175610437,0.05411780896405911,0.649862671325436
WindDir3pm_ENE,-0.16839815869067357,-0.3287541389148016,-0.31834843828608234,0.050753553290633024,0.5391475988914486
WindDir3pm_ESE,-0.31818488636404957,-0.32906923540927757,-0.3122679296363246,0.0473586520785965,0.5710309698791106
WindDir3pm_N,-0.07135804184390794,-0.32790194498624653,-0.31766846999731707,0.045084392315397424,0.6492616051380268
WindDir3pm_NE,-0.05098357065369135,-0.3310392559559099,-0.3104199302605313,0.042630772106443116,0.6022823069645282
WindDir3pm_NNE,-0.10062698495733084,-0.3299255552808642,-0.3260674883622215,0.04131811957731963,0.622075983842283
WindDir3pm_NNW,0.16517331263165083,-0.330725912487156,-0.313321281732611,0.04001032347806322,0.6297168294349675
