feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
WindGustDir_WSW,4.2676182536241454e-08,-4602896600.928175,-1,-1,0.4902688541442253
WindGustDir_SW,4.1757255714600914e-08,0.00011295355400919601,-1,-1,0.4789819109983633
WindDir3pm_WSW,2.4058113213855357e-08,0.00020050660731582657,-1,-1,0.852792737295575
WindDir9am_SSE,2.3749705905011032e-08,9.350980789617024e-05,-1,-1,0.426764006260958
WindDir3pm_W,2.2262614308744924e-08,0.0001915152796335025,-1,-1,0.09917846167904198
WindGustDir_NE,2.0457008924950957e-08,-7472712519.681693,-1,-1,0.9454156429701063
WindGustDir_WNW,1.950744802022982e-08,8.122085710963983e-05,-1,-1,0.6860974960622327
WindDir3pm_ENE,1.8779398770954585e-08,151423288.28515863,-1,-1,0.0734907157664505
WindGustDir_W,1.876829919282862e-08,0.00014360836182611961,-1,-1,0.4016172545125605
WindDir3pm_NE,1.8695453029292625e-08,9.643198939292555e-05,-1,-1,0.06568223332011391
WindDir3pm_E,1.8645781025099952e-08,371160498.0160981,-1,-1,0.9097008291152293
Humidity9am,1.7731507419064983e-08,-10545729300.893885,-1,-1,0.32377146196202244
WindDir3pm_NW,1.657646889426772e-08,4.675490394808512e-05,-1,-1,0.5483564340483605
WindDir3pm_NNE,1.6541916924210625e-08,5.507188205423487e-05,-1,-1,0.2750159995579532
RainToday,1.348168093795435e-08,-6081653949.28007,-1,-1,0.47624596542325026
Temp3pm,1.2669139679129782e-08,7.06048985499745e-05,-1,-1,0.7456652750339957
WindSpeed9am,1.1861329410054395e-08,454269936.3326725,-1,-1,0.7899846642347539
WindDir9am_N,1.1759282001191435e-08,-5641180230.272668,-1,-1,0.2150230663274969
WindSpeed3pm,9.55116548755466e-09,-9160810049.01472,-1,-1,0.23793160609046304
Temp9am,8.711582258544689e-09,8.099199290238787e-05,-1,-1,0.5260855265978671
MaxTemp,7.702861268047138e-09,5641180230.272748,-1,-1,0.6610576425973168
MinTemp,7.3596458382692974e-09,4897485096.399681,-1,-1,0.17449712090139347
WindDir9am_W,6.519057454950173e-09,488607766.74645007,-1,-1,0.15263892476872376
Pressure9am,6.0084469204217585e-09,454269936.33269,-1,-1,0.05239901786117651
WindDir9am_NE,5.997617554157409e-09,7.37288869950573e-05,-1,-1,0.4515549159652815
Humidity3pm,5.448732511813463e-09,-5364073411.370289,-1,-1,0.1742462014061772
WindDir9am_SE,5.3600464514554404e-09,4534294998.405945,-1,-1,0.09508583927563086
WindDir9am_E,4.965069535471713e-09,-8606326473.8899,-1,-1,0.6509166648813054
WindDir9am_WSW,4.4721513356133205e-09,8606326473.890121,-1,-1,0.06713330813664775
WindDir3pm_WNW,4.46916167640694e-09,0.00022377166769384007,-1,-1,0.7017794185460662
WindGustSpeed,4.233663483081303e-09,7.265781077677392e-06,-1,-1,0.014860327230708847
WindDir3pm_S,4.232551363881375e-09,-668136252.8127729,-1,-1,0.32518544331866794
WindDir9am_ESE,3.870436637046585e-09,0.00019960747454759415,-1,-1,0.7208399166575992
Pressure3pm,3.773619215784578e-09,-6157556218.997527,-1,-1,0.7417180569541495
