feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Humidity3pm,0.003804847244196039,0.00873204027028504,-1,-1,0.15969966213016096
Humidity9am,0.002837417252914117,-12071492772.44972,-1,-1,0.8653075017207177
MinTemp,0.001851920668523279,0.0002961368224077766,-1,-1,0.24791888252554561
RainToday,0.0018288850347474219,0.002823276892249755,-1,-1,0.4982655420599088
Temp3pm,0.0017276379723522313,0.0019834868867206878,-1,-1,0.7631213751386285
Pressure9am,0.001683628154811561,0.0013340109390413885,-1,-1,0.32743582080119493
WindDir9am_W,0.0016360680616144092,8914351504.807129,-1,-1,0.45698855928287396
WindDir9am_ESE,0.001297946717947084,-1326615434.423569,-1,-1,0.7948972283809458
WindDir3pm_NE,0.0012806088899983761,0.00024231628103863343,-1,-1,0.365937352517563
WindGustDir_N,0.0012427290501203399,5528044933.861155,-1,-1,0.023176298216351032
WindDir9am_SW,0.0011899363782184678,20321457023.046906,-1,-1,0.47374415039519
WindDir3pm_WSW,0.0010345788974910968,0.0006536695225049593,-1,-1,0.11881101972358954
WindGustSpeed,0.0010332369744114882,-3146196961.3712664,-1,-1,0.38414983350160603
Pressure3pm,0.0010326644345850784,-19005722636.05015,-1,-1,0.5776870378935964
WindDir3pm_SE,0.0009531012716406087,0.00025984937001916536,-1,-1,0.07353174974284182
WindDir3pm_NW,0.000910664617438943,4631772132.357978,-1,-1,0.19465530188771907
WindDir9am_SE,0.00087068500756975,0.0002364719180451228,-1,-1,0.04530335246707473
WindDir9am_E,0.0007663379701525556,0.0002958146807484616,-1,-1,0.975082815413784
WindDir9am_NE,0.0007392354124516719,0.00028884640179466047,-1,-1,0.9389485669553754
WindGustDir_NE,0.0007290685757336646,6.473755931273324e-05,-1,-1,0.9452328040692373
WindDir9am_S,0.0006969622778380292,0.00028435073795349844,-1,-1,0.5000779035706439
WindDir3pm_N,0.0006545339454431088,11033069341.69372,-1,-1,0.7638567641619896
WindDir3pm_SSW,0.000631718273423295,1326615434.4237912,-1,-1,0.7644041147072396
WindDir3pm_SW,0.0005951901855356996,0.0003704427005117513,-1,-1,0.279720677623982
WindDir3pm_S,0.0005456965216957038,0.00014627766223180956,-1,-1,0.5532229266211517
WindDir3pm_SSE,0.0005331514179483931,0.00010744636580377253,-1,-1,0.5042555291232047
WindDir3pm_NNE,0.000457868899545022,0.0001474577739901146,-1,-1,0.4005816210147566
WindGustDir_WSW,0.00042810697187529865,0.0002677396710330019,-1,-1,0.8471723653934679
MaxTemp,0.00041625007777764046,0.0009493198679893722,-1,-1,0.09681165256057145
WindGustDir_NNW,0.0003987619665600361,7250268815.976947,-1,-1,0.9666866305524754
WindGustDir_NNE,0.00039248026427383866,4631772132.358036,-1,-1,0.5054444630237716
Rainfall,0.0003643985241925246,-13619340713.279562,-1,-1,0.2902120049699015
WindGustDir_ESE,0.00033550074096279033,3146196961.3726125,-1,-1,0.3085404820544293
WindDir3pm_WNW,0.0003344961086977125,-5528044933.860596,-1,-1,0.6803986401188608
Temp9am,0.00033024496612612966,0.00012093335732725862,-1,-1,0.31271492086227304
WindDir9am_SSE,0.0003059513936862349,0.0006284938049944519,-1,-1,0.1370363735675204
WindDir3pm_NNW,0.0002779030199609699,17029117692.482256,-1,-1,0.5702816438810293
WindDir3pm_ENE,0.00027690733357122095,4437488901.690109,-1,-1,0.8824557309185929
WindGustDir_NW,0.00026885344445002506,19005722636.05163,-1,-1,0.2151444225262411
WindDir9am_WNW,0.0002528912339480088,8.519282979002048e-05,-1,-1,0.6062605224038041
WindDir3pm_ESE,0.0002439808431588716,6487976449.4133415,-1,-1,0.7275080633593919
WindSpeed9am,0.0002177020201029592,-7056040382.723914,-1,-1,0.6153774441639687
WindDir3pm_E,0.00020793880886596082,13619340713.280107,-1,-1,0.4309277693475405
WindDir9am_NW,0.00019896816287605704,9.800547173733227e-05,-1,-1,0.5091225162251821
WindGustDir_W,0.00017909147365670653,-6487976449.412736,-1,-1,0.4705868533681957
WindGustDir_SW,0.00017105480568762858,0.00023916931634982002,-1,-1,0.6542600368896171
WindDir9am_SSW,0.00016689177628175962,8.707538902350708e-05,-1,-1,0.3330407053527672
WindGustDir_SSE,0.00015804858216876178,-13651440525.280401,-1,-1,0.4948942035251763
WindDir9am_NNE,0.0001536700727948936,20985844277.258232,-1,-1,0.7549651722927939
WindGustDir_ENE,0.00013566787015450692,-20321457023.04656,-1,-1,0.49875970839765416
WindDir9am_N,0.00012746044063928748,0.00019578616028260643,-1,-1,0.3390852999525653
WindGustDir_SE,0.00012107360007536441,-11033069341.693031,-1,-1,0.05054040462789189
WindDir9am_ENE,0.0001166016684632303,0.0001182359590225614,-1,-1,0.39390371272860714
WindDir3pm_W,0.00010413121096044776,0.0009139684589082408,-1,-1,0.9890907006207226
WindDir9am_WSW,9.140710360556834e-05,0.0003612265896373691,-1,-1,0.5155057321472539
WindSpeed3pm,8.967842952156714e-05,7250268815.976942,-1,-1,0.2482702803811866
WindGustDir_WNW,8.52679613232612e-05,0.00031649473441780696,-1,-1,0.536690749288927
WindGustDir_E,6.1006509877658315e-05,21466606594.172123,-1,-1,0.5147248392314845
WindDir9am_NNW,4.437771323733177e-05,-13651440525.28052,-1,-1,0.19905788155244997
WindGustDir_S,4.4353698443032035e-05,7056040382.724213,-1,-1,0.35289508885635534
WindGustDir_SSW,2.383740421943367e-05,0.00011281633490764219,-1,-1,0.8823394763682011
