feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Humidity3pm,1.1045939676625158,0.03047700431200564,0.11625779625779627,6.315006800260225,0.7509644766184729
WindGustSpeed,0.44869928079209986,-198576866455.12186,0.018711018711018712,4.245046594885172,0.49437716901043693
Pressure3pm,0.3501010647209194,0.00449569906729556,0.008565488565488565,3.3746266999566554,0.10658729656353894
MinTemp,0.23478485527625945,-4869344928.366928,0.0037422037422037424,1.4924748902382092,0.6297653807377137
Temp3pm,0.20566747072834335,526922253876.9897,0.0028274428274428277,1.2365944351956963,0.17588668170653166
MaxTemp,0.17717438299464242,-21211828525.706886,0.002328482328482329,1.061696400921137,0.1944352367397093
WindDir3pm_W,0.1653725928529777,45968548198.41753,0.0035758835758835763,0.7797499073746181,0.3197095684187623
WindDir3pm_WSW,0.1328929067527707,0.0009566772653992801,0.0052390852390852395,0.891815634041878,0.13837406151615572
Humidity9am,0.10560852348236935,0.0010128730634138055,0.0014137214137214138,0.6049667991943216,0.00554481813803176
WindGustDir_WNW,0.10203144834679967,144626893482.55972,0.002494802494802495,0.5419652350457135,0.830569169721415
Pressure9am,0.0965700473291325,481567767697.8062,8.316008316008316e-05,0.8498219641881951,0.7700461885740251
WindDir9am_SE,0.08649453298612941,-2.8772248583436995e-05,0.0015800415800415802,0.35804008121072556,0.9048384783401769
WindGustDir_NNE,0.07934211991412392,-21211828525.70834,0.0029106029106029108,0.8302760220873387,0.8014166017222645
WindDir3pm_SW,0.07674957095262233,21236014008.515842,0.0015800415800415802,1.0653262230123384,0.2717151070821846
WindDir9am_W,0.0765999356176749,363687296705.5151,0.0038253638253638255,0.623976754675745,0.7655945761180695
WindDir9am_ENE,0.07418388551053462,1.4386124291718498e-05,0.0002494802494802495,0.7201914915877292,0.6939498122990523
WindDir3pm_N,0.07377972729134885,107801753009.7465,0.002079002079002079,0.6728851894455126,0.25919154846501935
WindSpeed3pm,0.06605142445019653,-3.102008050401801e-05,0.0009147609147609148,0.5319286327972753,0.6560580111117841
Temp9am,0.0601904291515441,10504631569.022686,-0.0002494802494802495,0.4173547527322098,0.4251461939427341
WindDir3pm_NNE,0.05554248750695685,481567767697.806,0.0031600831600831604,0.5392171985713476,0.6376614367761563
WindDir3pm_SSE,0.048406225434927334,71539358945.14864,-0.0014137214137214138,0.3531515896218215,0.07748335386473582
WindDir9am_WSW,0.047362852109795586,-144626893482.55942,0.0016632016632016633,0.4631410324165012,0.0058960835839930725
WindGustDir_SE,0.04439664627552895,468895129728.90936,-0.000997920997920998,0.2704227836521541,0.9500396084431559
WindDir3pm_NNW,0.0416168397355062,231157733492.8964,-0.000997920997920998,0.47675349861588673,0.7658136842971655
WindDir3pm_NE,0.040118408883879915,10504631569.02312,0.000997920997920998,0.37860316518940046,0.24723973750965955
WindDir9am_NE,0.038056419328664846,180429399347.16473,0.00033264033264033264,0.43596609389479235,0.4075993696665867
WindGustDir_N,0.03638307846913657,234457063066.3102,0.002162162162162162,0.3340603279039661,0.8483363473516597
WindGustDir_W,0.033171197549190276,-5.437799711868945e-05,0.0005821205821205822,0.13212724942253282,0.504778164824402
WindDir9am_ESE,0.03120416751522765,198576866455.12735,0.0019126819126819127,0.22765256455788338,0.7064191416945522
WindDir9am_WNW,0.030024884967443478,-0.00031649473441780696,0.0016632016632016633,0.3439585764979546,0.38038102892771164
