,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
alcohol,-9.808554641859244,0.14205376808909156,0.29103972535598155,1.0,0.49048060613378563
malic_acid,-10.20934616196502,0.3333333333333333,-0.006564848716975676,0.837984814404971,0.6292627350564312
ash,-4.618028721206092,-0.08598365450510921,0.06660318740867181,0.46355616893684454,0.6527114205636341
alcalinity_of_ash,0.09838300481726032,-0.24134582814324604,0.04212500044407075,0.3088766714656665,0.592876276049917
magnesium,0.24214347666160596,-0.26064155409155515,-0.0998010651964294,0.24528396058677457,0.5975312189675575
total_phenols,-0.08556681949658505,-0.317389457663184,-0.04484256956199776,0.1777321595614388,0.8101964112025176
flavanoids,0.17104335892595404,-0.3187792337584594,-0.2104703535036435,0.13712924611589705,0.46591494427011027
nonflavanoid_phenols,-0.10066566849652399,-0.3282494495682789,-0.24214618915472405,0.09688890436915336,0.8113363702825392
proanthocyanins,0.12808238761626933,-0.3399759281242707,-0.18352671835405007,0.0754265687648011,0.6489911631209738
color_intensity,0.19751725129386674,-0.33326294402337686,-0.19164345171347566,0.06745496589095924,0.7249109318433106
hue,0.019769985482261453,-0.32750053267585916,-0.12270056221250869,0.048969928183524615,0.6361308663100963
od280/od315_of_diluted_wines,-0.010021334978128153,-0.33357176919408676,-0.24955849307226444,0.02162439603661925,0.5034314392648669
proline,0.09969769186658213,-0.3333333333333333,-0.29760548862693165,0.010431888480410148,0.5559231297598098
