feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
proline,8.646676955060914e-09,-0.0009742763948470428,-1,-1,0.008081842345599721
magnesium,4.08455749382723e-09,-0.00015477424700656778,-1,-1,0.7543736350368234
alcalinity_of_ash,1.554184706697969e-09,-0.0009742763948470427,-1,-1,0.9597413513936472
color_intensity,6.472325406484301e-10,-3.676516694034302e-05,-1,-1,0.3086744144806972
malic_acid,2.739080047496249e-10,4.349688788480308e-07,-1,-1,0.31166685808094063
proanthocyanins,2.0141657431355366e-10,-7.916693151645168e-06,-1,-1,0.14740906260552822
alcohol,1.6635164385475263e-10,-1.1971526924727032e-05,-1,-1,0.0604911828613337
od280/od315_of_diluted_wines,9.82118518310934e-11,7.654226687717739e-06,-1,-1,0.3688299951722551
flavanoids,7.228386459882882e-11,-3.4963016521935097e-06,-1,-1,0.885221910038171
total_phenols,4.826381347358583e-11,-4.3496887884809406e-07,-1,-1,0.3111882402275943
ash,2.628521525897984e-11,-2.5804404327933733e-07,-1,-1,0.43584812814836005
hue,2.070797256225013e-11,2.9147331079265847e-06,-1,-1,0.3429003156055803
nonflavanoid_phenols,2.062627299767165e-11,7.65422668771756e-06,-1,-1,0.7754956643702439
