feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
magnesium,0.02996523128968516,-0.003112756917151996,-1,-1,0.7003165397244652
proline,0.028474600781573822,0.004823303337184807,-1,-1,0.7332439529305443
alcalinity_of_ash,0.00723648959301557,0.0008964611523930157,-1,-1,0.4563066240160304
color_intensity,0.007228127404871937,0.009214349059931118,-1,-1,0.17512628745326964
malic_acid,0.0039305421619047175,0.0006917778063338376,-1,-1,0.2879117849938506
od280/od315_of_diluted_wines,0.00333898683894424,0.0021801913840230934,-1,-1,0.8999646203051247
total_phenols,0.002320400145990693,0.0012456670391031727,-1,-1,0.7116479336645214
alcohol,0.0018094385594386872,0.0009051190880605752,-1,-1,0.737290710889568
flavanoids,0.0010883095728919235,0.0008971556685024635,-1,-1,0.2974487274221358
ash,0.0009482779836730708,-0.00023242196343596817,-1,-1,0.8809940734423388
proanthocyanins,0.0007340101613438916,-3.292994790010691e-05,-1,-1,0.8099847648281149
hue,0.000732133679249161,0.0006442541068259614,-1,-1,0.2491348175673045
nonflavanoid_phenols,0.00040441529193813354,-0.00035031668922755186,-1,-1,0.6130275117116392
