feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
flavanoids,0.204784185142201,0.12238930659983299,0.7939849624060151,0.4158936651583709,0.7374441789509951
color_intensity,0.2036017943607439,0.10066833751044284,0.20902255639097742,0.40331707202111616,0.07444036690142164
proline,0.1284206529189807,0.09482038429406847,0.27518796992481204,0.1384566370021822,0.3108058576497742
malic_acid,0.013826579306039796,-0.009607351712614842,0.010526315789473684,0.01998197115384615,0.005159284113786189
ash,0.008928805309279178,0.010442773600668346,0.015037593984962405,0.022350654664484465,0.19460813950528066
alcohol,0.0,-0.0075187969924812035,0.0,0.0,0.44886149701656375
alcalinity_of_ash,0.0,-0.010025062656641626,0.0,0.0,0.08180890142990982
magnesium,0.0,0.006056808688387645,0.0,0.0,0.5718196169113584
total_phenols,0.0,0.02046783625730995,0.0,0.0,0.025371938871328825
nonflavanoid_phenols,0.0,0.007101086048454462,0.0,0.0,0.9780956111069691
proanthocyanins,0.0,0.006265664160400965,0.0,0.0,0.42382025687229397
hue,0.0,0.005012531328320803,0.0,0.0,0.24998416153249747
od280/od315_of_diluted_wines,0.0,0.00605680868838764,0.0,0.0,0.16448157525974982
