feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
color_intensity,1.283911036405403,0.10336453328924823,0.2796992481203007,0.7248847238031262,0.22692630233865885
proline,1.1950143431382352,0.10248921203872118,0.30225563909774433,0.004715000021362153,0.5158253504857692
alcalinity_of_ash,0.43689279903517564,0.031015270138616893,0.02857142857142857,0.1643597771614892,0.6553085074714624
flavanoids,0.4045773108341105,0.039855554103955575,0.024060150375939848,0.4681191457925334,0.7611605372390811
malic_acid,0.30600834603262644,0.013127722680048672,0.012030075187969924,0.3375396520312391,0.4057584838707843
od280/od315_of_diluted_wines,0.2606393119078368,0.01279671926236696,-0.006015037593984962,0.4129738918720787,0.47443825180622323
magnesium,0.19701066249122767,-0.0047165341799066335,0.010526315789473684,0.01719505407217312,0.47200399379500024
total_phenols,0.1317577367447104,-0.004716534179906638,-0.006015037593984962,0.23762001040716094,0.5126469730531769
alcohol,0.10737702009924799,-0.012796719262366972,-0.013533834586466165,0.1541621776399468,0.4038111414448544
proanthocyanins,0.09661386728419248,0.008964857230258694,-0.003007518796992481,0.21835378859069157,0.3975052850513048
hue,0.023923835706494024,0.006017800183440949,-0.006015037593984962,0.12537959440522295,0.749137075318955
ash,0.01918120664428174,0.008197622468556482,0.0,0.09189544562339523,0.5799537804559325
nonflavanoid_phenols,0.0006270803825904193,-0.0103589283361794,0.0,0.005869691121528396,0.14928114313979535
