feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
color_intensity,0.09150594164979452,0.002804928989139493,0.024060150375939848,0.17948023540698332,0.5086138053843069
flavanoids,0.08362180860638344,0.07144110275689218,0.03308270676691729,0.16119979474758997,0.47066729360071724
proline,0.07885992143579208,-0.0028049289891394925,0.010526315789473684,0.16808744540745713,0.5091585172285593
alcohol,0.06548464348372228,0.023423141186299068,0.010526315789473684,0.12164185483210957,0.8728514919166157
od280/od315_of_diluted_wines,0.061310365053901465,0.025499164578111924,0.0,0.1291016023623715,0.6450715642507096
hue,0.029727637968736887,0.01664578111946537,0.0,0.0625174568188473,0.7513080379547333
total_phenols,0.023930891841134054,0.025499164578111966,0.0,0.04429875031566772,0.08140770185489365
magnesium,0.01830603212361707,0.009502923976608162,0.0,0.02768973460371324,0.20923757349922167
alcalinity_of_ash,0.013342451020964057,0.005534670008354214,0.0,0.0269123245739711,0.8858342877700227
proanthocyanins,0.012299990861158768,0.00906015037593985,0.0,0.028263410258734103,0.06487304096991964
malic_acid,0.011466310285042232,0.0234231411862991,0.0,0.024042774834675058,0.8515026383718064
nonflavanoid_phenols,0.005114850481352622,0.005401002506265645,0.0,0.01313842403446023,0.6635021985686306
ash,0.004664882128832326,0.0014076858813700504,0.0,0.013626191803419853,0.9683843075043128
