feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
color_intensity,0.7925674605702261,0.03448732675610075,0.1308270676691729,0.4474765217061227,0.19782499435619172
proline,0.6610122637679874,0.06707002047913134,0.18796992481203006,0.0026080631213195224,0.7188366739026049
flavanoids,0.5112717707678649,0.03999785168303845,0.1518796992481203,0.5915707534519256,0.7655327346914205
alcohol,0.3394275885336596,0.030304076655497295,0.024060150375939848,0.4873193179607644,0.0737311568698783
alcalinity_of_ash,0.2805749732614344,0.018456950184191342,0.016541353383458645,0.10555275844367322,0.29057621538943135
od280/od315_of_diluted_wines,0.2741661068203131,0.024448578158709735,0.018045112781954885,0.43440662624614773,0.8853822295516643
malic_acid,0.24484867400555813,0.03448732675610075,0.009022556390977442,0.27007804622209475,0.03001758869507609
magnesium,0.17409035194847822,-0.0032498091925556843,0.007518796992481203,0.015194573620252783,0.19440344446401725
proanthocyanins,0.14028757367367214,-0.0019494497590784188,-0.0015037593984962405,0.317059280048652,0.02968557327332244
total_phenols,0.13897158156649717,0.0019494497590785695,0.0,0.2506299020763684,0.5856863924317715
ash,0.12051592037499145,0.0032498091925556535,0.009022556390977442,0.577380996563898,0.11518929259778532
hue,0.035337999587723136,-0.003480524866212572,0.0,0.18519873275162055,0.17414660914946367
nonflavanoid_phenols,0.00957300764904738,0.0014102261795271712,0.0,0.08960669088676947,0.043904825861076024
