,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
echoing,0.718255944625082,0.0,0.75,0.75,0.6186555484142054
echoing green,0.6761208355970934,0.0,0.642031791043223,0.6353232474291898,0.6610486513380838
epsilon,0.462312097909074,0.0,0.2525138815177994,0.20682768408371827,0.5173727224236462
iota,0.0022167669307972954,0.0,0.260659297819691,0.19011949514375653,0.6509750781624786
lambda,0.14277815581270878,0.0,0.2043848913996878,0.13960715668122545,0.6942585194206177
omicron,-0.11066742992646073,0.0,0.17432817678165707,0.11640989442151005,0.7799281395798746
pi,0.025474112315096407,0.0,0.1470230667331711,0.07794611290176157,0.7487997251382996
rho,0.20791721181913403,0.0,0.12270302796404521,0.0635747566429311,0.6646489948413767
sigmaf,0.0719072098209311,0.0,0.11312183665046383,0.05608049802082733,0.6921815041671293
tau,0.07481221441104803,0.0,0.0872514633322807,0.03673410327092358,0.7342902034748915
