feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
pi,4.0838213266797835e-05,5.109339873285431e-06,0.0,0.5003573981652283,0.06921251846838361
echoing green,4.082362558759642e-05,5.1093398732854345e-06,0.0,0.49964260183477155,0.05792516649418755
echoing,0.0,9.251905595928933e-18,0.0,0.0,0.30751412540266143
epsilon,0.0,-3.0831999280056532e-18,0.0,0.0,0.8780095992040405
iota,0.0,5.1093398732854345e-06,0.0,0.0,0.9469494452979941
lambda,0.0,5.109339873285432e-06,0.0,0.0,0.08565345206787878
omicron,0.0,-3.08409549823821e-18,0.0,0.0,0.4859904633166138
rho,0.0,-3.084018018970586e-18,0.0,0.0,0.7606021652572316
sigmaf,0.0,3.0837617617524674e-18,0.0,0.0,0.7658344293069878
tau,0.0,-3.0845754885282543e-18,0.0,0.0,0.1283914644997628
