feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
echoing,1.985664992264796e-05,6.0977651909303424e-09,0.0,0.019671131344835904,0.10964913035065915
echoing green,1.985664992264796e-05,6.155787413759168e-09,0.0,0.019671131344835904,0.62744604170309
tau,9.774338736395866e-06,3.294491571523593e-09,0.0,0.013801301436501743,0.8607797022344981
iota,9.335099340700921e-06,2.9712864051894496e-09,0.0,0.013487635494763067,0.42215996679968404
omicron,5.836330361195372e-06,1.6998945738687546e-09,0.0,0.010664642019114986,0.38161928650653676
epsilon,5.169898174623031e-06,1.2747254887448787e-09,0.0,0.010037310135637632,0.7920793643629641
rho,2.9080677232251804e-06,7.482533882620221e-10,0.0,0.007527982601728224,0.529114345099137
lambda,2.4435846840989666e-06,3.3655563829664796e-10,0.0,0.0069006507182508715,0.06352770615195713
pi,2.226489350594437e-06,7.720090030212854e-10,0.0,0.006586984776512195,0.9961213802400968
sigmaf,2.0194914744620528e-06,5.225763988203644e-10,0.0,0.006273318834773519,0.9710783776136181
