feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
echoing green,2.1721819414841685e-05,3.76835283755206e-06,0.0,0.28805456863355866,0.6498780576394535
echoing,1.1573902723453986e-05,2.1009973595208386e-06,0.0,0.17094767617708023,0.9951493566608947
rho,7.75306971573834e-06,1.0995511244529504e-06,0.0,0.10500351964833486,0.5883087184572333
epsilon,6.666507466764217e-06,1.2363253503178127e-06,0.0,0.12789866515933887,0.43810008391450406
omicron,6.602514022902602e-06,9.050053224786875e-07,0.0,0.08684727047492699,0.22469733703155736
iota,5.43338732202593e-06,9.92163836101134e-07,0.0,0.0685622442309726,0.5175758410355906
pi,3.7053920876814608e-06,8.176223875475429e-07,0.0,0.05423586060907793,0.33808556214745533
sigmaf,2.7568434145072314e-06,9.050053224786877e-07,0.0,0.04263843736966529,0.230114732596577
tau,2.674900488826945e-06,4.95832724378698e-07,0.0,0.04648945575448835,0.22021738445155947
lambda,1.2278545826933716e-06,2.048131080413361e-07,0.0,0.009322301942556238,0.12100419586826572
