,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
lead_time,-0.09683781224440507,0.9545123726346434,0.5143426427911486,1.0,0.6349913544971335
arrival_date_week_number,0.007862803932951377,0.8770335613545152,0.6199858617878234,0.8130402698209801,0.5242596620146256
arrival_date_day_of_month,-0.3867570451858574,0.8348132867545299,0.5023858141442668,0.7090585745173441,0.597386892898403
stays_in_weekend_nights,-0.1511465749958174,0.44687052353533463,0.4915044137507398,0.6125485307670702,0.5607714639532003
stays_in_week_nights,0.22487215415143394,0.39157621865957093,0.3078483750932419,0.4740331961236358,0.6784153575908876
adults,0.3440577084268225,0.2999728500926012,0.2922499577541577,0.4283710641028856,0.6067231038366322
children,-0.0243730139941773,0.2787379926425935,0.2624441059722078,0.3761633012372873,0.6425471355818567
babies,-0.025501859525775824,0.23632373428187006,0.15817224322578197,0.3286781819172552,0.6229172185503158
is_repeated_guest,0.17140595605132705,0.19347782067184885,0.18620188715501287,0.30855840226581677,0.7201517996307127
previous_cancellations,0.0425958427154786,0.14521845827838667,0.2140413471251692,0.25929047925210186,0.7190420223049834
previous_bookings_not_canceled,0.02272288814022495,0.11670228085524259,0.17645801737638003,0.23501562304426338,0.576595829834908
agent,0.11302336058336598,0.10056211229962175,0.1707248174947036,0.21113309594346708,0.5296670856865319
company,-0.08497229154316215,0.09176079547149268,0.16673028264419312,0.18971822947603276,0.46280900767449695
required_car_parking_spaces,0.13167621053556366,0.08109695086397442,0.09614445909951502,0.16432521149881862,0.5058869747801293
total_of_special_requests,-0.2677194167821866,0.04740064568702458,0.079611370058182,0.15328154850882572,0.46555394214096335
adr,0.005347742893620826,0.04840549710813803,0.11119175137982712,0.14061549146295355,0.5966065683085161
hotel_Resort Hotel,-0.2292877086563393,0.06214847085518943,0.08475692167970841,0.12339916673456401,0.5952553157360755
arrival_date_month_August,-0.1723050073449073,0.06565265970056798,0.06405415524352472,0.1086998116854433,0.7582852619577755
arrival_date_month_July,0.0898801542612869,0.06390725209299547,0.09751824190994607,0.10033975587879748,0.573414392113227
meal_BB,0.038495311430899064,0.05003704864679273,0.07322442467088378,0.09405717849655673,0.5025657024065011
meal_FB,-0.010890424995450693,0.021166829603056256,0.03228353408037861,0.08103709520849539,0.6908551955826503
meal_HB,0.029693122008426085,0.04389564221723896,0.12534025124160775,0.07360743049973723,0.6849564571143856
market_segment_Complementary,0.0756500192739662,0.005276133466162794,0.09076503763118235,0.06006047395023864,0.5677225628590069
market_segment_Corporate,0.0011631714125020778,0.014246061896435567,0.10576563974635947,0.05327879165599699,0.32793269309202133
market_segment_Direct,-0.07670233462769084,0.01463173693660406,0.07293104307395509,0.04174220731952484,0.42752458747062405
market_segment_Groups,0.03019215520465182,0.009538741106790084,0.06691262646536107,0.037756807054578255,0.6451975959956058
market_segment_Offline TA/TO,0.02219669755816283,0.00537992517233863,0.020685442014496618,0.028006432169758212,0.679145322080034
market_segment_Online TA,-0.4698141827823042,0.016122987681678903,0.06578045408841676,0.023808436111086496,0.7243686716747911
distribution_channel_Corporate,0.07178689791533457,0.010664307811215145,0.05833278839357134,0.021063552931133378,0.7125239404694019
distribution_channel_Direct,-0.0003168410545537313,0.007052619001064512,0.08046400014155924,0.01974381099906878,0.4755330637712816
distribution_channel_TA/TO,0.07339083761570242,-0.00480143063079914,0.032359347378066144,0.017847587377664835,0.6537459392413711
reserved_room_type_A,0.3425300863482281,-0.002780032614484789,0.016760979651647447,0.010846064472300188,0.6229201429633596
reserved_room_type_C,-0.08700364039232489,-0.004160694915436556,0.014480022309021623,0.009087854846919662,0.5399585095323729
reserved_room_type_D,-0.1470567213794355,0.0023763839266022725,0.03225854980703759,0.006398167926699453,0.6641645202328268
reserved_room_type_E,0.016239935405221926,0.004059885610103952,0.03690374337998622,0.005962002966158442,0.5657554788322363
reserved_room_type_F,0.01446487368213178,-0.00020101512638826728,0.08770926129915792,0.003768571523629931,0.6917632064437123
reserved_room_type_G,-0.12828127201893536,-0.0012437810945273911,0.009794534855232066,0.0018953186988205227,0.615971512782074
reserved_room_type_H,0.025522493308398352,0.0,0.003509874489045026,0.0005249471920635551,0.6130190432980804
reserved_room_type_L,0.2691887882728429,0.0,0.000624808224843352,0.0001873097520118542,0.6504142897965569
deposit_type_No Deposit,-0.21336548003182443,0.0,0.020566961170727847,0.0,0.6123337329152512
customer_type_Contract,0.10342423688837371,0.0,0.0,0.0,0.6312465824143124
customer_type_Group,0.6349494714839752,0.0,1.728096742803254e-14,0.0,0.6843435678076378
customer_type_Transient,0.04491435055558622,0.0,0.0,0.0,0.6731850138093962
customer_type_Transient-Party,0.007751755316071301,0.0,0.020566961170727847,0.0,0.7068616709188078
