feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
arrival_date_week_number,0.1127112889294541,75425367342.53973,0.20171428571428573,0.0988440578564531,0.6908181366549706
lead_time,0.08453065222903258,-75425367342.44302,0.178,0.1710489812255653,0.07860496211651757
adr,0.08189305956887746,-540061936408.09326,0.1682857142857143,0.20432862485419817,0.7545502714552252
required_car_parking_spaces,0.07873857938265705,267375116367.07166,0.07857142857142857,0.07611452305850776,0.06624736116562635
agent,0.04585706135937975,-0.002453634866144886,0.09,0.04217136499793704,0.11892221799887193
customer_type_Transient,0.042644968061877904,46502651796.661415,0.057428571428571426,0.029508888647038052,0.21401538640616213
stays_in_week_nights,0.039773740129447725,-76335065645.39175,0.07857142857142857,0.061754364106447385,0.7746923080403721
arrival_date_day_of_month,0.03464178938144682,0.008350659339058047,0.08542857142857144,0.07662928827451834,0.7840297230461403
meal_BB,0.032881052203870026,370230575431.77954,0.06485714285714285,0.020930594473810613,0.9011748671533497
total_of_special_requests,0.02690038111367927,0.0027362084657889547,0.038857142857142854,0.044607993436727764,0.6675864235332041
stays_in_weekend_nights,0.021668982019853917,0.012068337448488085,0.03657142857142857,0.0566859274342387,0.07773529752199648
reserved_room_type_D,0.012175805962838097,-0.004156749948695852,0.023142857142857142,0.01617346625064696,0.578133678162426
children,0.012156345203910348,0.004715209385160959,0.032285714285714286,0.029129398944926162,0.04251694080495083
reserved_room_type_E,0.010462096917123164,41115039105.60037,0.008571428571428572,0.015140840718355643,0.01398431158690705
adults,0.0101265790728332,0.003695496390962429,0.011714285714285715,0.008033863925748744,0.7573340343776902
distribution_channel_TA/TO,0.009525157701383364,-38167532822.69896,0.018571428571428572,0.0036327270011032556,0.2418225221701653
babies,0.007253344903074619,-0.0009833588306123573,0.009142857142857144,0.011080038650771605,0.10781738186473178
meal_HB,0.006845614122453862,0.003370027738774313,0.013428571428571429,0.0020644606312350913,0.3515336664710873
market_segment_Online TA,0.00470713647009932,71268678402.50642,0.00742857142857143,0.0029192629956469912,0.16055733602596878
company,0.003997906378432173,35711607732.28476,0.003714285714285714,0.0062842118843485645,0.2530124712234847
market_segment_Offline TA/TO,0.0025087528892953916,-0.004128503398837499,0.0014285714285714288,0.0032444658682190667,0.3478365417734032
reserved_room_type_H,0.002337964528733277,-0.0005644022578199683,0.003428571428571429,0.00415329302724123,0.2818567914647866
reserved_room_type_A,0.0021972416834680785,540061936408.1341,0.003142857142857143,0.002162977245479378,0.5702353571976501
arrival_date_month_August,0.002045968904361105,0.0039893642727154505,0.0031428571428571426,0.004325954490958755,0.9200980708136556
reserved_room_type_G,0.0020388033233693995,0.003697070633371696,0.0017142857142857144,0.0044160785428537285,0.1915475201924428
reserved_room_type_C,0.0018293793619775262,-0.0007656707133073331,0.0031428571428571426,0.004614351457022671,0.09910568460514024
deposit_type_No Deposit,0.0,-0.00980732333468058,0.0,0.0,0.5371264890158841
reserved_room_type_L,0.0,-267375116367.0526,0.0,0.0,0.9016602915079732
customer_type_Contract,0.0,35711607732.289276,0.0,0.0,0.9735799038808745
reserved_room_type_F,0.0,0.0009190233963571505,0.0,0.0,0.21699807581165154
customer_type_Group,0.0,0.004302507444542288,0.0,0.0,0.09868571850830388
market_segment_Complementary,0.0,-46502651796.63942,0.0,0.0,0.09077931303945908
distribution_channel_Direct,0.0,-0.001667255911362479,0.0,0.0,0.7285540894639225
distribution_channel_Corporate,0.0,0.00041484161768542293,0.0,0.0,0.5006344153046767
market_segment_Groups,0.0,38167532822.697,0.0,0.0,0.9487916050832819
market_segment_Direct,0.0,-0.004132706620630031,0.0,0.0,0.9418449795050595
market_segment_Corporate,0.0,0.0016614605420653614,0.0,0.0,0.8458615224525183
meal_FB,0.0,0.0029081449603566485,0.0,0.0,0.18478182457834957
arrival_date_month_July,0.0,370230575431.7715,0.0,0.0,0.20540118655266637
hotel_Resort Hotel,0.0,0.0033975303133163687,0.0,0.0,0.7823708141132708
previous_bookings_not_canceled,0.0,0.00486096334556465,0.0,0.0,0.059265237071233545
previous_cancellations,0.0,41115039105.60251,0.0,0.0,0.5134791925041092
is_repeated_guest,0.0,-71268678402.50821,0.0,0.0,0.7930551816507342
customer_type_Transient-Party,0.0,0.003121156207150579,0.0,0.0,0.5041952718145907
