feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
arrival_date_week_number,0.053136431439811053,8527375316.398526,0.04742857142857143,0.07711802280872625,0.9252903155418308
required_car_parking_spaces,0.0506755218979434,-48351371829.885925,0.06257142857142858,0.05436043342537101,0.5819186239961532
lead_time,0.040076093216471126,24095206373.208923,0.057999999999999996,0.12797953482309862,0.10172215656513084
adr,0.039052484836250484,0.014186200651123235,0.05914285714285714,0.13195583612858233,0.7894927322937862
arrival_date_day_of_month,0.037014867493733034,-3815811610.407956,0.04428571428571428,0.10493362568452563,0.9778533292466641
agent,0.028587716857017838,-27036435935.246696,0.036571428571428574,0.058440237756760716,0.27851833227885514
total_of_special_requests,0.01790297179659756,0.0064381608000666085,0.029428571428571432,0.04549251245850939,0.27297279057132406
market_segment_Online TA,0.01708501843870297,4702572044.520922,0.01,0.01442884319478988,0.6283710296631083
stays_in_week_nights,0.016929569651457296,0.007205918526152217,0.021142857142857144,0.07449375483945422,0.975207494192469
arrival_date_month_August,0.016397024994383943,152163398.66133732,0.0028571428571428567,0.01454578282216688,0.40023552891684544
arrival_date_month_July,0.015254595513855027,0.0004521097222189328,0.001142857142857143,0.013556959761178987,0.4758262832960263
stays_in_weekend_nights,0.015140172823827057,22130346571.768276,0.016285714285714285,0.04515491961357579,0.06471041115902354
customer_type_Transient,0.013578581513847542,0.0060520881277074095,0.005714285714285715,0.014493668248767298,0.7927314152272181
distribution_channel_Direct,0.011263979522360159,0.0034262485882674255,0.004,0.008600506697210379,0.09960339023022613
distribution_channel_TA/TO,0.009419401078511016,0.004167155663421473,0.0014285714285714288,0.008309211341061308,0.05285242073470697
meal_BB,0.009115850087750111,0.0015875025884010867,0.003428571428571428,0.019435397688891385,0.6031654324392886
meal_HB,0.008947768836640533,-4702572044.512542,0.006571428571428573,0.020219799282052992,0.4845328592614421
customer_type_Transient-Party,0.008461715190277731,-3815811610.41768,0.003142857142857143,0.011875139458417531,0.20193175445171385
children,0.008188532260864296,0.0008623532260421472,0.007142857142857143,0.020051671719001626,0.5949608299436382
market_segment_Offline TA/TO,0.0077537282334058395,152163398.65838885,0.001142857142857143,0.010835511219689004,0.49727378212527773
reserved_room_type_A,0.007230128134305596,0.0049995990522470396,0.006571428571428573,0.02003954639894916,0.06822867317598236
reserved_room_type_D,0.006608104830624239,0.0009201840127129828,0.009428571428571429,0.01890342165627011,0.972072550498662
market_segment_Direct,0.0061809477485870075,27036435935.26147,0.001142857142857143,0.006597546657033346,0.10803666801892264
adults,0.005993965024518486,-6325288632.656985,0.0031428571428571426,0.02064133822266383,0.3386316463370881
reserved_room_type_E,0.004456294629809199,-6325288632.657168,0.002285714285714286,0.012619458308736498,0.38263298276501834
customer_type_Contract,0.004251670091580724,0.001193048078266279,0.0,0.0058018085058331855,0.7516097465153702
reserved_room_type_G,0.002802543801977357,0.0009394603424664178,0.00028571428571428574,0.00897613953625887,0.15273665117288082
babies,0.002128826452072659,-8527375316.385642,0.0017142857142857144,0.00455065093945332,0.9906613186321335
market_segment_Groups,0.0015818548911893853,11065173285.881712,0.0,0.0013861356737515842,0.25068986035392715
reserved_room_type_C,0.0015455014450133752,0.0004754774518704628,0.0,0.0071296248532186106,0.6781074406709439
company,0.0014773704802157803,99990712659.68813,0.0,0.0038836842088673064,0.7134938073603224
reserved_room_type_F,0.0011918971672513303,0.00252074620602831,0.001142857142857143,0.004924251659628721,0.679204362086623
reserved_room_type_H,0.000826416882211868,-48351371829.90161,0.0,0.0029554622426311915,0.6219667615237282
reserved_room_type_L,0.00060647693790663,-11065173285.881712,0.0014285714285714288,0.0019441832556077203,0.09633362859615269
meal_FB,0.0005810388429986318,-6219453776.6554,0.0,0.0016872826585301107,0.4044435991907358
distribution_channel_Corporate,0.0002688282139354828,0.0001510915176743161,0.0,0.0005252634785632795,0.13460838071795933
market_segment_Corporate,0.00024412592947457,-0.0008331301958540981,0.0,0.0008323753737167041,0.7679995555775966
market_segment_Complementary,0.00012222761599207235,-0.0006373517323403292,0.0,0.00017417113486387965,0.2788906331909753
customer_type_Group,7.012687966327115e-05,-0.0008460002488199203,0.0,0.00014628626359130184,0.7675721085979603
is_repeated_guest,0.0,0.0010541137919637998,0.0,0.0,0.12276216769866366
deposit_type_No Deposit,0.0,-0.0005957506379387263,0.0,0.0,0.07651725903958528
previous_cancellations,0.0,0.0006802194039028995,0.0,0.0,0.8381091313414588
previous_bookings_not_canceled,0.0,106210166436.3433,0.0,0.0,0.7252005003326394
hotel_Resort Hotel,0.0,24095206373.18396,0.0,0.0,0.6438311781229455
