,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
Age,0.1882829354197984,1.0,0.6438772257909358,1.0,0.4892201922122259
DailyRate,-0.004074895896285544,0.4811341201036293,0.7542753182888071,0.8127020373966964,0.5235837098585738
DistanceFromHome,0.2790238043995492,0.25585603145373786,0.3502137013683531,0.6559851178120185,0.4950655917306891
Education,0.21332535229971838,0.719094788366802,0.4295401607630525,0.5824043545716843,0.6233896184814887
EmployeeCount,-0.005043250750005883,0.3203929327358584,0.361343150179796,0.4617799545717126,0.5503351734021182
EmployeeNumber,-0.4905389390081255,0.2204301752385283,0.462137219559952,0.42007959841903464,0.5453760335948054
EnvironmentSatisfaction,-0.0078034110015943285,0.23133011846303134,0.3840781397978092,0.3811560628934001,0.4864720635733203
HourlyRate,0.4235209366727641,0.26099772546214045,0.5552784887507209,0.35646616104685225,0.684764298800331
JobInvolvement,0.08926555883574411,-0.16988711296597758,0.5874584748325506,0.2867669799753138,0.6884345541549995
JobLevel,-0.0997050158895443,-0.3893134034640184,0.31838031225427627,0.2647364264854221,0.44687604793042657
JobSatisfaction,-0.23932008902899612,-0.006353523580030988,0.2018596569651784,0.23069164197886374,0.473982031355194
MonthlyIncome,-0.6634903066711841,0.05466744165407695,0.2893829364289481,0.21281519653944922,0.46103517974418906
MonthlyRate,0.034510798300966976,-0.03357351106446745,0.3751041741529213,0.1904221349029263,0.5553822125307991
NumCompaniesWorked,-0.00823005630147236,0.16659499663118285,0.5358590551301682,0.18125119346968824,0.5835908541170078
PercentSalaryHike,-0.12727680110149187,0.09073464896850963,0.47406650250454596,0.16844749646818255,0.5840695239100522
PerformanceRating,0.010428646711274355,-0.06596931988921084,0.3772149469298205,0.15607501461221365,0.5962085264356023
RelationshipSatisfaction,-0.2993899832505267,0.13567586259447875,0.4712947736070579,0.14208785501335633,0.7739500122418465
StandardHours,0.061142637021017354,0.10803728833021492,0.2607967151597156,0.13110231375960263,0.7287940890014886
StockOptionLevel,-0.17531887224830553,0.056742114308438354,0.1510440156236832,0.1186278881426947,0.45492409938053185
TotalWorkingYears,-0.04321014307169426,0.08171102592441234,0.2850691820337091,0.10610311595193288,0.555328468674166
TrainingTimesLastYear,-0.3052862557420301,0.05537242420583717,0.269146289933084,0.09803119965858242,0.6977956782354676
WorkLifeBalance,0.04547056054594478,0.0564812033656649,0.1726109868516586,0.09113140922588692,0.5277876994511307
YearsAtCompany,-0.15429059231266123,0.0433036616396147,0.24340506331851275,0.08551062716634691,0.5956009414171034
YearsInCurrentRole,0.31787717398139115,0.06011091379937265,0.2410052723705135,0.08324619500535688,0.5981367974893849
YearsSinceLastPromotion,-0.09334366343104845,0.03894404963334204,0.23936965904065022,0.0761854289710536,0.6184005882316699
YearsWithCurrManager,0.23919591528197823,0.0218449546968683,0.17937185312395637,0.07067370747278316,0.5347058387767641
BusinessTravel_Non-Travel,-0.30872019061724737,0.035049250656314125,0.11446130017338246,0.06472993133863626,0.6001307749920937
BusinessTravel_Travel_Frequently,-0.0694968035469712,0.02495543775484237,0.18751549103758092,0.06262708002423323,0.489942018827205
BusinessTravel_Travel_Rarely,-0.031811916111376556,0.027657245939970234,0.14128803511993454,0.059411432452527876,0.5485759730565114
Department_Human Resources,-0.1299834324412067,0.04076968745708057,0.160156176812488,0.05330111772645838,0.7388633678916079
Department_Research & Development,0.0440421243293105,0.02835289998300103,0.17894816254955986,0.04970963407513629,0.6815027847298104
Department_Sales,0.03832257827563004,0.0318424189373112,0.16092518927960234,0.04369002711282789,0.5830803707609912
EducationField_Human Resources,-0.04781000592833322,0.0163704070668044,0.06674921589522323,0.040542672729046894,0.6231231891762288
EducationField_Life Sciences,-0.13989041167059643,0.017751671321656955,0.11142907130753978,0.037444860210556694,0.6015355075141138
EducationField_Marketing,0.02715809900340469,0.016571521154595092,0.13863993852649528,0.03401216674178736,0.6297271000286394
EducationField_Medical,-0.10003758646568747,0.011421243276437678,0.07313559297813345,0.03006969180510219,0.7708089731850084
EducationField_Other,0.08446656733489649,-0.0017404675422777087,0.08214735886272095,0.02816995350186998,0.536872161022064
EducationField_Technical Degree,-0.12407623040988305,0.008950223335404678,0.06302509574822576,0.025533064989832793,0.5715093587141004
Gender_Female,-0.18891398111414312,0.009338370798406792,0.06407626332409058,0.02180953952750012,0.678548468337963
Gender_Male,0.03230457840001625,-0.005820145132129716,0.1060080317618424,0.020132042770830534,0.5946172096411304
JobRole_Healthcare Representative,0.023693008150690018,0.01069142085840938,0.10558662835503405,0.01827692059977685,0.6256591982083688
JobRole_Human Resources,0.00046124726383584697,0.0029069767441860096,0.08549086425516304,0.016362731839474808,0.6153981721468977
JobRole_Laboratory Technician,-0.1343430281770948,0.0025664363375188445,0.0469433233059206,0.013428191206326264,0.5777886963544238
JobRole_Manager,-0.10242351566342907,0.0016237585754265873,0.05813321312462944,0.01270732971795392,0.591485624375829
JobRole_Manufacturing Director,0.2138030763922314,-0.0022847165465488067,0.03461640900789362,0.011759213666420236,0.5103374278699863
JobRole_Research Director,0.26818813161446947,0.004019924709611867,0.04938499307913789,0.00969156685345076,0.6819600889851181
JobRole_Research Scientist,-0.2027756359338816,-1.216739826238625e-17,0.030743156779528776,0.006618881812085192,0.5677855915933635
JobRole_Sales Executive,0.08178780257758411,0.00122439755306238,0.029297280922496005,0.006018146507073187,0.6255186230330841
JobRole_Sales Representative,0.050706277039473294,0.00761417391088972,0.019234553976505985,0.00464280638302687,0.5356255375465877
MaritalStatus_Divorced,-0.02604834527652198,0.00039936102236420726,0.02806590432176776,0.003899618913007656,0.5276796032224238
MaritalStatus_Married,-0.24313880172990154,0.0,0.011511718732262503,0.0030612934467370155,0.6084912289689985
MaritalStatus_Single,0.07126602728917204,0.0,0.004569843555899791,0.0021609964419637287,0.5654942230939958
Over18_Y,-0.47142253223987796,0.0,0.0006779376927071254,0.0,0.5251661194013405
