feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
OverTime_Yes,0.0889081271491145,-488674836250.87836,0.13067150635208713,0.0751137746523015,0.1459428521154308
MonthlyIncome,0.04795743377074387,0.006042172202521769,0.06660617059891108,0.12424675900974444,0.19866371962725327
TotalWorkingYears,0.04303829838744249,-288540502983.7514,0.08257713248638839,0.049163143528882215,0.9231123518834261
StockOptionLevel,0.039698631663051404,-0.008883431750136173,0.06569872958257714,0.020523313255942918,0.9481092171592271
YearsAtCompany,0.031189187964189853,-73543207927.55937,0.079491833030853,0.027816095054675888,0.9068447805119795
MaritalStatus_Single,0.02667564694595249,0.008890624812282031,0.038475499092558985,0.02773464136928219,0.6771886511844633
DistanceFromHome,0.02599972488210579,-841100683410.7444,0.036297640653357534,0.049469370720924395,0.6857533783489183
YearsInCurrentRole,0.025564637385152838,0.011048543456039806,0.05934664246823956,0.031541526740733086,0.9741275717498725
Age,0.022241709741108534,-0.00037810042347247467,0.039201451905626135,0.06087797048462136,0.7631627032912742
JobSatisfaction,0.021676427227650494,-894547244700.7694,0.0353901996370236,0.021481315602575844,0.7995286679401794
DailyRate,0.019644283353760603,-0.000668654331835326,0.0323049001814882,0.07398161496075638,0.8469604298026571
NumCompaniesWorked,0.018324022892603698,-0.005581816225186777,0.022867513611615244,0.04255002742899582,0.1818892538062794
YearsSinceLastPromotion,0.018223276522123674,213245061769.83148,0.028130671506352085,0.03203113754247322,0.19826620267170036
HourlyRate,0.017125386806282013,-5.754449716687399e-05,0.03956442831215971,0.049871702786906495,0.26067987958698735
EmployeeNumber,0.014868917069571276,-0.006387439185523013,0.022323049001814883,0.05041592655101854,0.4783654799573558
JobRole_Laboratory Technician,0.012412361930134517,0.0012372066890877908,0.024682395644283123,0.001949461441107693,0.8619367242858739
PercentSalaryHike,0.012034438860145562,-1951998840953.9326,0.021778584392014515,0.02697297773722871,0.8763900129297377
MonthlyRate,0.011942183680974442,0.0018845822822151231,0.02323049001814882,0.04029537266203479,0.414496424552795
EnvironmentSatisfaction,0.01094301500411458,213245061769.83228,0.011252268602540834,0.024176690269633476,0.735172108810468
JobRole_Sales Executive,0.009028448105511,-73543207927.55205,0.010526315789473684,0.002790650153209614,0.8563377276555146
TrainingTimesLastYear,0.00755111375709777,283725579555.3133,0.015789473684210527,0.039972287324599794,0.6471066893041368
EducationField_Medical,0.006259882605001398,0.0011508899433374797,0.008529945553539019,0.02332771844150693,0.43515873531519855
YearsWithCurrManager,0.005589535505087013,490675226403.62054,0.006896551724137931,0.009796022032795218,0.7012611542033469
JobInvolvement,0.004941052325331212,894547244700.7706,0.006352087114337568,0.012100722877628398,0.6874668716864318
EducationField_Marketing,0.004911179394087648,0.0030786305984277585,0.004718693284936478,0.01419176787316011,0.7185834238368101
JobRole_Healthcare Representative,0.0032085409899723564,0.003121788971302914,0.0032667876588021775,0.00568960875642146,0.7135637119646769
Gender_Male,0.0029517055141684945,0.005150232496435222,0.003992740471869328,0.013836973676331106,0.11851234901311947
JobRole_Human Resources,0.0026402631587066285,-0.0022442353895080857,0.0029038112522686023,0.0009941376540684947,0.19054416526893014
Education,0.0025269679911973514,0.0012873137068427673,0.0036297640653357526,0.0027646301051610696,0.7926422949091957
BusinessTravel_Travel_Rarely,0.0025136927345957476,-0.0003236877965636662,0.0016333938294010887,0.0055880086000567935,0.42890336811835117
RelationshipSatisfaction,0.0024795031669697753,-0.011048543456039806,0.0036297640653357526,0.00655004671068928,0.8843414304434549
JobRole_Manufacturing Director,0.0020716604410822804,144270251491.87988,0.0038112522686025406,0.004829971419016684,0.28796197285088165
Department_Sales,0.0019758108620784114,-283725579555.3137,0.0021778584392014516,0.007450678133409056,0.3679201541105127
Department_Research & Development,0.0015334110713979845,0.0027333636154265144,0.0012704174228675134,0.004257530361948032,0.08906126736128972
EducationField_Other,0.0014008140429764846,0.009063258303782653,0.001996370235934664,0.002607737346693173,0.9199890489003425
WorkLifeBalance,0.0012273833515678652,-0.007077973151525501,0.0012704174228675136,0.0055880086000567935,0.6266273575179818
EducationField_Life Sciences,0.0011923238033962043,486245566627.089,0.0009074410163339382,0.0031931477714610243,0.1173505188086249
BusinessTravel_Travel_Frequently,0.0008558480691229142,-0.010473098484371066,0.0010889292196007258,0.004257530361948032,0.4010349111110273
MaritalStatus_Divorced,0.0,-0.0036828478186799354,0.0,0.0,0.9952074499732918
JobRole_Sales Representative,0.0,-144270251491.87988,0.0,0.0,0.6000827864972248
JobRole_Research Director,0.0,0.0011221176947540429,0.0,0.0,0.4941681577419751
MaritalStatus_Married,0.0,0.0015069465195575126,0.0,0.0,0.2829672450326983
Over18_Y,0.0,0.00612848894827208,0.0,0.0,0.4183309911219021
OverTime_No,0.0,841100683410.748,0.0,0.0,0.40852410191642885
JobRole_Research Scientist,0.0,0.002229849265216367,0.0,0.0,0.13019933127841787
JobLevel,0.0,-0.0077613140553821295,0.0,0.0,0.8267686093418332
JobRole_Manager,0.0,-0.0006905339660024879,0.0,0.0,0.7821219434306237
Gender_Female,0.0,29625560495.14236,0.0,0.0,0.6736100427370446
EducationField_Technical Degree,0.0,-0.0037475853779926687,0.0,0.0,0.4537078650836456
Department_Human Resources,0.0,0.0026830121804055,0.0,0.0,0.26015777997114653
BusinessTravel_Non-Travel,0.0,-0.0014961569263387238,0.0,0.0,0.16875595636504115
EmployeeCount,0.0,29625560495.141075,0.0,0.0,0.31939912923790437
StandardHours,0.0,0.0032224918413449434,0.0,0.0,0.22448713347863125
PerformanceRating,0.0,0.000489128225918429,0.0,0.0,0.9447571548423099
EducationField_Human Resources,0.0,-486403211672.3295,0.0,0.0,0.9472435084524966
