feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Age,0.26325598477804646,118502085052.66646,0.0001814882032667886,0.03516520552710101,0.06550023607119881
DistanceFromHome,0.22163920064641146,0.00022607533946248496,-0.00036297640653357166,0.03324876580873164,0.3375942570699695
MonthlyIncome,0.15514683658335726,32742338028.382927,-0.0001814882032667886,4.238243529248789e-05,0.5879892335998746
TotalWorkingYears,0.14359426708459547,43320344990.40315,0.000907441016333943,0.02367513771796288,0.33596746248551745
DailyRate,0.11704139582089265,62149189245.764915,-0.0001814882032667886,0.00033122007312208604,0.30491245623284047
YearsInCurrentRole,0.09431159275332941,0.00020320400562052378,0.0,0.03125257535363119,0.6148278735542364
YearsAtCompany,0.09126515154074565,18828844255.362003,-0.0001814882032667886,0.020390769813157225,0.33953942482640753
YearsWithCurrManager,0.0784773252081934,49532534625.54458,0.0,0.02668495378368573,0.43599113227247166
NumCompaniesWorked,0.047105601584216145,0.0003389730536236171,-0.0005444646098003658,0.022808248409460895,0.3777375934299345
HourlyRate,0.03315325293428107,-22462173131.003296,-0.0010889292196007317,0.0018562560121637432,0.568049404880105
EmployeeNumber,0.014243987388707939,-2.7999420278608675e-05,-0.0003629764065335772,2.7197258589738897e-05,0.460909386409579
YearsSinceLastPromotion,0.011479049844412854,-118502085052.66586,-0.0001814882032667886,0.0050714371119186296,0.3633343053566497
JobSatisfaction,0.009459438646303773,-14187878153.443373,-0.0005444646098003658,0.009890229021088007,0.6959584762878708
StockOptionLevel,0.007830796412493126,32381196195.456192,0.0,0.011471628370427879,0.6751112953268611
EnvironmentSatisfaction,0.007690565795453696,-6.473755931273324e-05,0.0,0.008093955926320024,0.8633685217982011
TrainingTimesLastYear,0.005960145515989731,2.382701835815876e-05,-0.0003629764065335772,0.006069581550144732,0.5027685225863544
OverTime_Yes,0.004537648496719267,10279944852.837072,0.0,0.01097017535636619,0.45322860532671394
OverTime_No,0.0044982045636540995,-1.0789593218788873e-05,0.0,0.010874816083213477,0.6249638759744854
PercentSalaryHike,0.004483172110331025,22462173131.002987,0.0,0.0014624868222839083,0.39030079038755117
JobInvolvement,0.0043052859389401624,7.912368360445174e-05,0.0,0.007516996145994452,0.9014098452118979
MonthlyRate,0.0035503063423113525,0.0001025011355784943,0.0,5.747540804509763e-07,0.9857647815087015
MaritalStatus_Single,0.0031946798355200453,-0.00027108852962207043,0.0,0.007499568871081944,0.2000769854658413
MaritalStatus_Married,0.001955366961544744,-11283665630.929644,0.0,0.0039294232130445165,0.5399475791555118
