,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
battery_power,1.0,1.0,0.5529170894541464,1.0,0.5545633969779583
blue,0.07914511151694609,0.06870365866458125,0.3644379534252739,0.27518814284680815,0.5761082494821566
clock_speed,0.04258287633061246,0.03811724609065731,0.08429594569245166,0.13066684945608104,0.6181799834949876
dual_sim,0.024002879898221245,0.021921338655119842,0.07029066329381961,0.10787608852245978,0.5222238631964239
fc,0.05365407831822872,0.006880458495833182,0.1729160127623423,0.05623473340382905,0.5390833838318446
four_g,0.013964248635682795,0.005081829454305706,0.05289139240434652,0.03713415364431601,0.7049827443990184
int_memory,0.0111757524314526,0.0030392452161211803,0.22451221060406162,0.019052904892090244,0.5414043142857372
m_dep,0.005561207268154324,0.0023576513489117724,0.11521139877620931,0.017274975860631293,0.8000538623692824
mobile_wt,0.05671983444000856,0.0022481229767710507,0.09801686827188921,0.015870976998759306,0.7461900634533987
n_cores,-0.06449238262582577,0.0016048999246599512,0.09426436590043732,0.014037625673396604,0.7004027276144389
pc,0.0030532399341493977,0.001487206023782219,0.08720679593316699,0.013164660787969181,0.581723031220537
px_height,-0.04736967106810219,0.0012951887113871823,0.28012552925223166,0.011740035607107424,0.6029896537753212
px_width,0.0019575418230189066,0.000546811996899782,0.1503374249543972,0.010067331633863162,0.46223436127615203
ram,0.0075663649135653275,0.0004610529086982324,0.12354147240434112,0.0089587457416894,0.66004468337302
sc_h,-0.005102088755716264,0.0002644838280869828,0.10763028038392998,0.0050604380605198465,0.7160207779046495
sc_w,0.008273105197626815,7.246587932264347e-05,0.016142334179937746,0.0042373717357803336,0.611904198622655
talk_time,0.0017610290126416157,-4.363019622151953e-05,0.048564649444770756,0.003446012253001653,0.5280686861204142
three_g,-0.004817629694718486,2.8962561062732876e-05,0.12301873655582642,0.003157316404212415,0.4237968590850921
touch_screen,-0.00942414066503784,9.654187020910944e-06,0.0796114578483757,0.0029829737829240176,0.5170103379487301
wifi,-0.009538884308941453,-2.413546755227743e-05,0.05508109295267072,0.002693873383270221,0.5964960174085436
