feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ram,0.29208510911107444,0.14888888888888882,2.2928,0.6212116184260875,0.6558541219427368
battery_power,0.07245114720211801,0.03629629629629629,0.24253333333333335,0.1383032422821729,0.3015637667831649
px_height,0.03444444532122357,0.006611111111111148,0.11826666666666667,0.08643367391765275,0.9330949483666525
px_width,0.026426853911228666,0.015444444444444655,0.0864,0.06567949133483929,0.14864294810432221
mobile_wt,0.00867478540073702,0.1488888888888889,0.02626666666666667,0.023169162502330934,0.7113066822192337
talk_time,0.004734368261823832,0.014333333333333413,0.011066666666666667,0.014104687105376237,0.7213434636358226
pc,0.0034504085609658322,0.006611111111111165,0.011333333333333334,0.00466984277885796,0.0021787648030665574
clock_speed,0.0033388520696673854,0.0001111111111112284,0.008533333333333334,0.010464104617710893,0.34838568326385444
m_dep,0.0026416792476764246,-0.005222222222222566,0.007200000000000001,0.006515079890092147,0.8107194148524451
fc,0.002623271252780988,0.00011111111111119143,0.005866666666666666,0.006125113002430341,0.916234355414292
int_memory,0.002316942570373939,-0.00122222222222228,0.0064,0.006545501600964885,0.932881834100194
n_cores,0.0022803670767303644,0.001592592592592563,0.003999999999999999,0.00608448424908772,0.0763694926266083
sc_w,0.001461830145590251,0.001814814814814641,0.004399999999999999,0.004877532154739279,0.3905995744965627
sc_h,0.0014521831544266094,-0.003592592592592741,0.003333333333333333,0.003594049001220919,0.32025600334838167
dual_sim,0.000728331509096268,0.003425925925925952,0.0013333333333333335,0.001333450281861757,0.103922562830845
wifi,0.00038296223408690116,0.0023888888888889113,0.0008,0.0008889668545745045,0.06731363470229523
blue,0.0,-0.0012222222222220936,0.0,0.0,0.8175625449940975
four_g,0.0,-0.0001111111111112188,0.0,0.0,0.6617317152702249
three_g,0.0,0.002388888888888912,0.0,0.0,0.785546094002867
touch_screen,0.0,-0.0034259259259259035,0.0,0.0,0.4784320132035744
