feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ram,2.370280486309285,0.08011733440374316,2.0544000000000002,0.0025419340600439265,0.3373369905648651
mobile_wt,0.9433592112104094,-0.008737913080241376,0.028666666666666663,0.030628739402760136,0.743557938487175
px_height,0.3231053988887171,0.0023167212385357704,0.058399999999999994,0.0008798641657173805,0.29950769595939286
px_width,0.2283090005282381,-0.004403201241033619,-0.023999999999999987,0.0006131938310422584,0.41152248324869134
int_memory,0.2040992295085794,-0.00044542462260797167,-1.1102230246251566e-17,0.012959221000479752,0.14971722487671446
battery_power,0.1538420428748292,0.0008683068109430784,0.01586666666666666,0.0004003353451199522,0.030185730359603924
talk_time,0.023507661220099133,0.0010410658936341128,0.007733333333333314,0.004917747001521342,0.2867690705602367
sc_h,0.018976810392990772,-0.0023167212385357557,0.0015999999999999903,0.0052114584923677425,0.7813969079021151
pc,0.018549498297510236,0.0010718430909649958,0.00239999999999998,0.0036045070765888714,0.6985639255401921
sc_w,0.006972119659720244,-0.00107184309096501,0.0026666666666666393,0.001940138501567784,0.6952470243961321
fc,0.00629448061941104,0.002020627831658606,0.0014666666666666606,0.001781313377750065,0.5691831546356378
n_cores,0.0033203537954228863,-0.08011733440374316,0.0021333333333333204,0.0016582754085762853,0.7481071243245156
clock_speed,0.0004429033396064785,-0.0027621919277003534,0.0,0.0006128072939918991,0.07899329248849896
dual_sim,0.0001413575631947074,-0.0016876214772067173,0.0,0.00028300492343101254,0.077065296564085
touch_screen,0.0001355016941920237,-0.0027621919277003373,0.0,0.0002710154335144258,0.8811571422402135
four_g,0.00012208887833873677,-0.0003643684909103971,0.0,0.0002448398035061548,0.8137112588919316
wifi,0.00011551333724988209,-0.00391315192369683,0.0,0.0002310283173677986,0.03211910727749456
blue,0.00010486135578394421,0.002401657972804916,0.0,0.00020977641432996092,0.3652442182695679
three_g,9.88104534920575e-05,-0.0017564545678925346,0.0,0.0002724212419000722,0.15588733598590487
m_dep,5.816948873368706e-05,-0.0017632270888320691,0.0,0.00023304867841465363,0.1824245115352029
