feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ram,0.19878130413168463,0.18081851851851857,2.2768,0.4789731507902522,0.31371870018331427
battery_power,0.039167273612024045,0.017684444444444444,0.09359999999999999,0.07556823742234563,0.6103872329509038
px_height,0.02423307591624989,0.0050914814814814555,0.03626666666666666,0.05855717779890915,0.08716768398070529
px_width,0.022619993790873726,0.005529259259259258,0.023866666666666665,0.052674565441516004,0.09411399405306464
int_memory,0.01396363270389213,0.007357777777777792,0.0016,0.03681477332689658,0.14262252126870534
mobile_wt,0.010774402099300735,0.003476666666666677,0.0021333333333333334,0.04070170819946572,0.5471360524560039
m_dep,0.008910825878070797,0.006211111111111102,0.0008,0.02502652970696484,0.8704574801738731
pc,0.007939020140510946,0.005529259259259251,0.0005333333333333334,0.02918857957588439,0.7814455173547181
sc_h,0.007374288531767865,0.005693333333333369,0.0005333333333333334,0.030371678703677175,0.9340559713215245
clock_speed,0.007197457200811939,0.003476666666666665,0.0,0.028329544465992527,0.15240140681639947
talk_time,0.0067572696102598875,-0.0015125925925926305,0.0,0.029592049786628855,0.28011732232951836
fc,0.006481603525428921,-0.0012681481481481582,0.00013333333333333334,0.025281092106278477,0.49752282423828564
sc_w,0.006252047893136411,0.0016207407407407288,0.00013333333333333334,0.028043347432703647,0.16147248497725897
n_cores,0.006021261818159946,0.0010696296296297022,0.0,0.020647906565315944,0.9689471185012387
touch_screen,0.003646952751012707,0.0019244444444444662,0.0,0.006991247627811066,0.08922924154351586
four_g,0.002989818890867574,-0.0024777777777778595,0.0006666666666666666,0.0072370983451848616,0.8047264442961048
dual_sim,0.002195278660528208,0.0005837037037037103,0.0,0.007760433745321313,0.6277896463454107
wifi,0.002098351353151177,-0.0008637037037037913,0.0,0.0066811183360999385,0.17918625258397325
blue,0.001976282664493114,-0.0008162962962962954,0.0,0.006476999801793332,0.07499828903388717
three_g,0.0016068433787865502,-0.00509148148148149,0.0,0.005082760820958255,0.3633282657963669
